Year,State,Primary_Type,Poll_Source,Date,Date_Start,Date_End,Sample,MoE,Candidate,Party,Pct,Incumbent,Date_Original
2002,New Hampshire,Republican Primary,University of New Hampshire,2002-08-26 to 2002-09-03,2002-08-26,2002-09-03,335 (LV),5.0,Bob Smith,R,34%,True,"August 26 – September 3, 2002"
2002,New Hampshire,Republican Primary,University of New Hampshire,2002-06-23 to 2002-07-01,2002-06-23,2002-07-01,230 (LV),6.0,Bob Smith,R,40%,True,"June 23 – July 1, 2002"
2002,New Hampshire,Republican Primary,American Research Group,2002-06-21 to 2002-06-25,2002-06-21,2002-06-25,600 (LV),4.0,Bob Smith,R,41%,True,"June 21–25, 2002"
2002,New Hampshire,Republican Primary,American Research Group,2002-06-03 to 2002-06-05,2002-06-03,2002-06-05,600 (LV),4.0,Bob Smith,R,38%,True,"June 3–5, 2002"
2002,New Hampshire,Republican Primary,American Research Group,2002-04-30 to 2002-05-02,2002-04-30,2002-05-02,600 (LV),4.0,Bob Smith,R,29%,True,"April 30 – May 2, 2002"
2002,New Hampshire,Republican Primary,University of New Hampshire,2002-04-10 to 2002-04-14,2002-04-10,2002-04-14,237 (LV),6.4,Bob Smith,R,30%,True,April 10–14 2002
2002,New Hampshire,Republican Primary,American Research Group,2002-04,2002-04-01,2002-04-30,600 (LV),4.0,Bob Smith,R,33%,True,April 2002
2002,New Hampshire,Republican Primary,American Research Group,2002-02-06 to 2002-02-10,2002-02-06,2002-02-10,600 (LV),4.0,Bob Smith,R,34%,True,"February 6–10, 2002"
2002,New Hampshire,Republican Primary,University of New Hampshire,2002-01-25 to 2002-02-05,2002-01-25,2002-02-05,230 (LV),6.5,Bob Smith,R,37%,True,"January 25 – February 5, 2002"
2002,New Hampshire,Republican Primary,American Research Group,2002-01-05,2002-01-05,2002-01-05,600 (LV),4.0,Bob Smith,R,27%,True,"January 5, 2002"
2002,New Hampshire,Republican Primary,American Research Group,2001-11-16 to 2001-11-20,2001-11-16,2001-11-20,600 (LV),4.0,Bob Smith,R,47%,True,November 16–20 2001
2002,New Hampshire,Republican Primary,University of New Hampshire,2001-10-19 to 2001-10-29,2001-10-19,2001-10-29,202 (LV),6.7,Bob Smith,R,35%,True,"October 19–29, 2001"
2002,New Hampshire,Republican Primary,American Research Group,2001-10-16 to 2001-10-18,2001-10-16,2001-10-18,600 (LV),4.0,Bob Smith,R,47%,True,"October 16–18, 2001"
2002,New Hampshire,Republican Primary,University of New Hampshire,2002-08-26 to 2002-09-03,2002-08-26,2002-09-03,335 (LV),5.0,John Sununu,R,56%,False,"August 26 – September 3, 2002"
2002,New Hampshire,Republican Primary,University of New Hampshire,2002-06-23 to 2002-07-01,2002-06-23,2002-07-01,230 (LV),6.0,John Sununu,R,52%,False,"June 23 – July 1, 2002"
2002,New Hampshire,Republican Primary,American Research Group,2002-06-21 to 2002-06-25,2002-06-21,2002-06-25,600 (LV),4.0,John Sununu,R,48%,False,"June 21–25, 2002"
2002,New Hampshire,Republican Primary,American Research Group,2002-06-03 to 2002-06-05,2002-06-03,2002-06-05,600 (LV),4.0,John Sununu,R,55%,False,"June 3–5, 2002"
2002,New Hampshire,Republican Primary,American Research Group,2002-04-30 to 2002-05-02,2002-04-30,2002-05-02,600 (LV),4.0,John Sununu,R,56%,False,"April 30 – May 2, 2002"
2002,New Hampshire,Republican Primary,University of New Hampshire,2002-04-10 to 2002-04-14,2002-04-10,2002-04-14,237 (LV),6.4,John Sununu,R,59%,False,April 10–14 2002
2002,New Hampshire,Republican Primary,American Research Group,2002-04,2002-04-01,2002-04-30,600 (LV),4.0,John Sununu,R,51%,False,April 2002
2002,New Hampshire,Republican Primary,American Research Group,2002-02-06 to 2002-02-10,2002-02-06,2002-02-10,600 (LV),4.0,John Sununu,R,44%,False,"February 6–10, 2002"
2002,New Hampshire,Republican Primary,University of New Hampshire,2002-01-25 to 2002-02-05,2002-01-25,2002-02-05,230 (LV),6.5,John Sununu,R,51%,False,"January 25 – February 5, 2002"
2002,New Hampshire,Republican Primary,American Research Group,2002-01-05,2002-01-05,2002-01-05,600 (LV),4.0,John Sununu,R,51%,False,"January 5, 2002"
2002,New Hampshire,Republican Primary,American Research Group,2001-11-16 to 2001-11-20,2001-11-16,2001-11-20,600 (LV),4.0,John Sununu,R,39%,False,November 16–20 2001
2002,New Hampshire,Republican Primary,University of New Hampshire,2001-10-19 to 2001-10-29,2001-10-19,2001-10-29,202 (LV),6.7,John Sununu,R,53%,False,"October 19–29, 2001"
2002,New Hampshire,Republican Primary,American Research Group,2001-10-16 to 2001-10-18,2001-10-16,2001-10-18,600 (LV),4.0,John Sununu,R,41%,False,"October 16–18, 2001"
2002,Texas,Republican Primary,The Texas Tribune,through 2001-09-10,,2001-09-10,,,Henry Bonilla,R,14%,False,"Before September 10, 2001"
2002,Texas,Republican Primary,Montgomery & Associates (D),through 2001-09-10,,2001-09-10,,,Henry Bonilla,R,24%,False,"Before September 10, 2001"
2002,Texas,Republican Primary,The Texas Tribune,through 2001-09-10,,2001-09-10,,,John Cornyn,R,27%,False,"Before September 10, 2001"
2002,Texas,Republican Primary,The Texas Tribune,through 2001-09-10,,2001-09-10,,,Tony Garza,R,7%,False,"Before September 10, 2001"
2002,Texas,Republican Primary,The Texas Tribune,through 2001-09-10,,2001-09-10,,,David Dewhurst,R,16%,False,"Before September 10, 2001"
2002,Texas,Republican Primary,Montgomery & Associates (D),through 2001-09-10,,2001-09-10,,,David Dewhurst,R,44%,False,"Before September 10, 2001"
