Year,State,Primary_Type,Poll_Source,Date,Date_Start,Date_End,Sample,MoE,Candidate,Party,Pct,Incumbent,Date_Original
2006,Arizona,General,Arizona State University,2005-10-28,2005-10-28,2005-10-28,,,Kyl,R,50%,False,"October 28, 2005"
2006,Arizona,General,Behavior Research Center,2006-01-22,2006-01-22,2006-01-22,,,Kyl,R,55%,False,"January 22, 2006"
2006,Arizona,General,SurveyUSA,2006-02-27,2006-02-27,2006-02-27,,,Kyl,R,57%,False,"February 27, 2006"
2006,Arizona,General,Zogby,2006-03-30,2006-03-30,2006-03-30,,,Kyl,R,47%,False,"March 30, 2006"
2006,Arizona,General,Arizona State University,2006-04-20 to 2006-04-23,2006-04-20,2006-04-23,,,Kyl,R,42%,False,"April 20–23, 2006"
2006,Arizona,General,SurveyUSA,2006-05-08,2006-05-08,2006-05-08,,,Kyl,R,52%,False,"May 8, 2006"
2006,Arizona,General,Arizona State University,2006-06-20,2006-06-20,2006-06-20,,,Kyl,R,43%,False,"June 20, 2006"
2006,Arizona,General,Zogby,2006-06-21,2006-06-21,2006-06-21,,,Kyl,R,48%,False,"June 21, 2006"
2006,Arizona,General,SurveyUSA,2006-07-17,2006-07-17,2006-07-17,,,Kyl,R,52%,False,"July 17, 2006"
2006,Arizona,General,Zogby,2006-07-24,2006-07-24,2006-07-24,,,Kyl,R,50%,False,"July 24, 2006"
2006,Arizona,General,Behavior Research Center,2006-07-26,2006-07-26,2006-07-26,,,Kyl,R,45%,False,"July 26, 2006"
2006,Arizona,General,Zogby,2006-08-28,2006-08-28,2006-08-28,,,Kyl,R,48%,False,"August 28, 2006"
2006,Arizona,General,Arizona State University,2006-08-29,2006-08-29,2006-08-29,,,Kyl,R,46%,False,"August 29, 2006"
2006,Arizona,General,Harstad Strategic Research (D),2006-09-07,2006-09-07,2006-09-07,,,Kyl,R,47%,False,"September 7, 2006"
2006,Arizona,General,Zogby,2006-09-11,2006-09-11,2006-09-11,,,Kyl,R,50%,False,"September 11, 2006"
2006,Arizona,General,SurveyUSA,2006-09-19,2006-09-19,2006-09-19,,,Kyl,R,48%,False,"September 19, 2006"
2006,Arizona,General,Arizona State University,2006-09-26,2006-09-26,2006-09-26,,,Kyl,R,49%,False,"September 26, 2006"
2006,Arizona,General,Zogby,2006-09-28,2006-09-28,2006-09-28,,,Kyl,R,51%,False,"September 28, 2006"
2006,Arizona,General,Behavior Research Center,2006-10-04,2006-10-04,2006-10-04,,,Kyl,R,40%,False,"October 4, 2006"
2006,Arizona,General,Northern Arizona University,2006-10-17,2006-10-17,2006-10-17,,,Kyl,R,49%,False,"October 17, 2006"
2006,Arizona,General,SurveyUSA,2006-10-17,2006-10-17,2006-10-17,,,Kyl,R,48%,False,"October 17, 2006"
2006,Arizona,General,Zogby,2006-10-19,2006-10-19,2006-10-19,,,Kyl,R,50%,False,"October 19, 2006"
2006,Arizona,General,Arizona State University,2006-10-24,2006-10-24,2006-10-24,,,Kyl,R,47%,False,"October 24, 2006"
2006,Arizona,General,Zimmerman,2006-10-25 to 2006-10-30,2006-10-25,2006-10-30,,,Kyl,R,46%,False,"October 25–30, 2006"
2006,Arizona,General,SurveyUSA,2006-11-03,2006-11-03,2006-11-03,,,Kyl,R,53%,False,"November 3, 2006"
2006,Arizona,General,Mason-Dixon,2006-11-05,2006-11-05,2006-11-05,,,Kyl,R,49%,False,"November 5, 2006"
2006,Arizona,General,Arizona State University,2005-10-28,2005-10-28,2005-10-28,,,Pederson,D,28%,False,"October 28, 2005"
2006,Arizona,General,Behavior Research Center,2006-01-22,2006-01-22,2006-01-22,,,Pederson,D,26%,False,"January 22, 2006"
2006,Arizona,General,SurveyUSA,2006-02-27,2006-02-27,2006-02-27,,,Pederson,D,33%,False,"February 27, 2006"
2006,Arizona,General,Zogby,2006-03-30,2006-03-30,2006-03-30,,,Pederson,D,42%,False,"March 30, 2006"
2006,Arizona,General,Arizona State University,2006-04-20 to 2006-04-23,2006-04-20,2006-04-23,,,Pederson,D,31%,False,"April 20–23, 2006"
2006,Arizona,General,SurveyUSA,2006-05-08,2006-05-08,2006-05-08,,,Pederson,D,37%,False,"May 8, 2006"
2006,Arizona,General,Arizona State University,2006-06-20,2006-06-20,2006-06-20,,,Pederson,D,29%,False,"June 20, 2006"
2006,Arizona,General,Zogby,2006-06-21,2006-06-21,2006-06-21,,,Pederson,D,42%,False,"June 21, 2006"
2006,Arizona,General,SurveyUSA,2006-07-17,2006-07-17,2006-07-17,,,Pederson,D,40%,False,"July 17, 2006"
2006,Arizona,General,Zogby,2006-07-24,2006-07-24,2006-07-24,,,Pederson,D,40%,False,"July 24, 2006"
2006,Arizona,General,Behavior Research Center,2006-07-26,2006-07-26,2006-07-26,,,Pederson,D,27%,False,"July 26, 2006"
2006,Arizona,General,Zogby,2006-08-28,2006-08-28,2006-08-28,,,Pederson,D,44%,False,"August 28, 2006"
2006,Arizona,General,Arizona State University,2006-08-29,2006-08-29,2006-08-29,,,Pederson,D,36%,False,"August 29, 2006"
2006,Arizona,General,Harstad Strategic Research (D),2006-09-07,2006-09-07,2006-09-07,,,Pederson,D,41%,False,"September 7, 2006"
