Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
1966,Alabama,1966 Democratic U.S. Senate primary,Primary,Winning,False,Democratic Party (United States),John Sparkman (inc.),"378,295",56.98%
1966,Alabama,1966 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),Frank E. Dixon,"133,139",20.05%
1966,Alabama,1966 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),John G. Crommelin,"114,622",17.26%
1966,Alabama,1966 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),Margaret E. Stewart,"37,889",5.71%
1966,Alabama,1966 Democratic U.S. Senate primary,Primary,Total,False,,,"663,945",100.00%
1966,Alaska,1966 Senate primary,Primary,Winning,False,Democratic Party (United States),Bob Bartlett (inc.),"27,994",57.40%
1966,Alaska,1966 Senate primary,Primary,Winning,False,Republican Party (United States),Lee McKinley,"9,310",19.09%
1966,Alaska,1966 Senate primary,Primary,Candidate,False,Republican Party (United States),Lawrence M. Brayton,"5,492",11.26%
1966,Alaska,1966 Senate primary,Primary,Candidate,False,Republican Party (United States),Maxine B. Whaley,"8,662",3.83%
1966,Alaska,1966 Senate primary,Primary,Candidate,False,Democratic Party (United States),T. J. Bichsel,"1,864",3.82%
1966,Alaska,1966 Senate primary,Primary,Candidate,False,Democratic Party (United States),Robert L. Veach,"1,299",2.66%
1966,Alaska,1966 Senate primary,Primary,Candidate,False,Democratic Party (United States),David Boyer,944,1.94%
1966,Alaska,1966 Senate primary,Primary,Total,False,,,"48,769",100.00%
1966,Arkansas,1966 Democratic U.S. Senate primary results,Primary,Winning,False,Democratic Party (United States),John L. McClellan (inc.),"220,588",77.19%
1966,Arkansas,1966 Democratic U.S. Senate primary results,Primary,Candidate,False,Democratic Party (United States),Foster Johnson,"91,746",22.81%
1966,Arkansas,1966 Democratic U.S. Senate primary results,Primary,Total,False,,,"402,272",100.00%
1966,Illinois,Democratic primary results,Primary,Winning,True,Democratic Party (United States),Paul H. Douglas,"840,936",100
1966,Illinois,Democratic primary results,Primary,Write-in,False,,,3,0.00
1966,Illinois,Democratic primary results,Primary,Total,False,,,"840,939",100
1966,Illinois,Republican primary results,Primary,Winning,False,Republican Party (United States),Charles H. Percy,"605,815",90.64
1966,Illinois,Republican primary results,Primary,Candidate,False,Republican Party (United States),Howard J. Doyle,"38,636",5.78
1966,Illinois,Republican primary results,Primary,Candidate,False,Republican Party (United States),"Lar ""America First"" Daly","23,889",3.57
1966,Illinois,Republican primary results,Primary,Write-in,False,,,23,0.00
1966,Illinois,Republican primary results,Primary,Total,False,,,"668,363",100
1966,Iowa,1966 Republican Senate primary,Primary,Winning,True,Republican Party (United States),Jack Miller,"141,141",83.94%
1966,Iowa,1966 Republican Senate primary,Primary,Candidate,False,Republican Party (United States),Herbert F. Hoover,"27,007",16.06%
1966,Iowa,1966 Republican Senate primary,Primary,Total,False,,,"168,148",100.00%
1966,Iowa,1966 Democratic Senate primary,Primary,Winning,False,Democratic Party (United States),E.B. Smith,"39,870",50.14%
1966,Iowa,1966 Democratic Senate primary,Primary,Candidate,False,Democratic Party (United States),Gary Cameron,"22,650",28.49%
1966,Iowa,1966 Democratic Senate primary,Primary,Candidate,False,Democratic Party (United States),Ernest J. Seemann,"8,646",10.87%
1966,Iowa,1966 Democratic Senate primary,Primary,Candidate,False,Democratic Party (United States),Robert L. Nereim,"8,343",10.49%
1966,Iowa,1966 Democratic Senate primary,Primary,Candidate,False,Write-in,All others,2,0.00%
1966,Iowa,1966 Democratic Senate primary,Primary,Total,False,,,"79,511",100.00%
1966,Kansas,Democratic primary results,Primary,Winning,False,Democratic Party (United States),James Floyd Breeding,"51,860",49.92
