Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
1968,Alabama,1968 Democratic run-off results,General,Winning,False,Democratic Party (United States),James B. Allen,"196,511",50.52%
1968,Alabama,1968 Democratic run-off results,General,Candidate,False,Democratic Party (United States),Armistead I. Selden Jr.,"192,448",49.48%
1968,Alabama,1968 Democratic run-off results,General,Total,False,,,"388,959",100.00%
1968,Alabama,1968 United States Senate election in Alabama,General,Winning,False,Democratic Party (United States),James B. Allen,"638,774",69.99%
1968,Alabama,1968 United States Senate election in Alabama,General,Candidate,False,Republican Party (United States),Perry O. Hooper Sr.,"201,227",22.05%
1968,Alabama,1968 United States Senate election in Alabama,General,Candidate,False,National Democratic Party of Alabama,Robert P. Schwenn,"72,699",7.97%
1968,Alabama,1968 United States Senate election in Alabama,General,Total,False,,,"912,700",100.00%
1968,Alaska,1968 United States Senate election in Alaska,General,Winning,False,Democratic Party (United States),Mike Gravel,"36,527",45.13%
1968,Alaska,1968 United States Senate election in Alaska,General,Candidate,False,Republican Party (United States),Elmer Rasmuson,"30,286",37.42%
1968,Alaska,1968 United States Senate election in Alaska,General,Candidate,True,Write-in,Ernest Gruening,"14,118",17.44%
1968,Alaska,1968 United States Senate election in Alaska,General,Total,False,,,"80,931",100.00%
1968,Arizona,"United States Senate election in Arizona, 1968",General,Winning,False,Republican Party (United States),Barry Goldwater,"274,607",57.22%
1968,Arizona,"United States Senate election in Arizona, 1968",General,Candidate,False,Democratic Party (United States),Roy Elson,"205,338",42.78%
1968,Arkansas,General election results,General,Winning,True,Democratic Party (United States),J. William Fulbright,"349,965",59.15%
1968,Arkansas,General election results,General,Candidate,False,Republican Party (United States),Charles T. Bernard,"241,731",40.85%
1968,Arkansas,General election results,General,Total,False,,,"591,696",100.00%
1968,California,1968 United States Senate election in California,General,Winning,False,Democratic Party (United States),Alan Cranston,"3,680,352",51.82%
1968,California,1968 United States Senate election in California,General,Candidate,False,Republican Party (United States),Max Rafferty,"3,329,148",46.87%
