Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
1946,Alabama (special),1946 Democratic U.S. Senate primary,Primary,Winning,False,Democratic Party (United States),John Sparkman,"85,049",50.14%
1946,Alabama (special),1946 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),James A. Simpson,"46,762",27.57%
1946,Alabama (special),1946 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),Frank W. Boykin,"35,982",21.21%
1946,Alabama (special),1946 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),Ted Allen,"1,260",0.74%
1946,Alabama (special),1946 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),Thomas H. Maxwell,585,0.35%
1946,Alabama (special),1946 Democratic U.S. Senate primary,Primary,Total,False,,,"169,638",100.00%
1946,Arizona,Democratic primary results,Primary,Winning,True,Democratic Party (United States),Ernest McFarland,"61,287",79.5%
1946,Arizona,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Harry J. Valentine,"15,818",20.5%
1946,Arizona,Democratic primary results,Primary,Total,False,,,"77,105",100.0
1946,Florida,1946 Democratic U.S. Senate primary,Primary,Winning,True,Democratic Party (United States),Spessard L. Holland,"204,352",60.72%
1946,Florida,1946 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),Robert A. Green,"109,040",32.40%
1946,Florida,1946 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),Polly Rose Balfe,"14,553",4.32%
1946,Florida,1946 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),Henry M. Burch,"8,600",2.56%
1946,Florida,1946 Democratic U.S. Senate primary,Primary,Total,False,,,"336,545",100.00%
1946,Idaho (special),Democratic primary results,Primary,Winning,False,Democratic Party (United States),George E. Donart,"19,629",49.49
1946,Idaho (special),Democratic primary results,Primary,Candidate,True,Democratic Party (United States),Charles Gossett,"17,102",43.11
1946,Idaho (special),Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Paul L. Geddes,"2,934",7.40
1946,Idaho (special),Democratic primary results,Primary,Total,False,,,"39,665",
1946,Idaho (special),Republican primary results,Primary,Winning,False,Republican Party (United States),Henry Dworshak,"26,953",72.41
1946,Idaho (special),Republican primary results,Primary,Candidate,False,Republican Party (United States),Richard H. Wells,"7,699",20.69
1946,Idaho (special),Republican primary results,Primary,Candidate,False,Republican Party (United States),Orrin E. Lee,"2,569",6.90
1946,Idaho (special),Republican primary results,Primary,Total,False,,,"37,221",
1946,Kentucky (special),Republican primary results,Primary,Winning,False,Republican Party (United States),John Sherman Cooper,48092,85.85
1946,Kentucky (special),Republican primary results,Primary,Candidate,False,Republican Party (United States),Roscoe Conklin Douglas,7927,14.15
1946,Kentucky (special),Republican primary results,Primary,Total,False,,,56019,100.00
1946,Kentucky (special),Democratic primary results,Primary,Winning,False,Democratic Party (United States),John Y. Brown,55297,43.64
1946,Kentucky (special),Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Philip P. Ardery,42423,33.48
1946,Kentucky (special),Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Blakey Helm,9864,7.79
1946,Kentucky (special),Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Norris Brooks Vincent,7253,5.72
1946,Kentucky (special),Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Tom Logan,4690,3.70
1946,Kentucky (special),Democratic primary results,Primary,Candidate,False,Democratic Party (United States),George T. Smith,2444,1.93
1946,Kentucky (special),Democratic primary results,Primary,Candidate,False,Democratic Party (United States),John J. Thobe,1826,1.44
