Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
1940,Arizona,Democratic primary results,Primary,Winning,False,Democratic Party (United States),Ernest McFarland,"63,353",56.64%
1940,Arizona,Democratic primary results,Primary,Candidate,True,Democratic Party (United States),Henry F. Ashurst,"37,955",33.93%
1940,Arizona,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Henderson Stockton,"5,220",4.67%
1940,Arizona,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Robert E. Miller,"4,306",3.85%
1940,Arizona,Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Erwin H. Karz,"1,022",0.91%
1940,Arizona,Democratic primary results,Primary,Total,False,,,"111,856",100.00
1940,Arizona,Republican primary results,Primary,Winning,False,Republican Party (United States),"Irving A. Jennings, Sr.","5,487",57.46%
1940,Arizona,Republican primary results,Primary,Candidate,False,Republican Party (United States),Burt H. Clingan,"4,062",42.54%
1940,Arizona,Republican primary results,Primary,Total,False,,,"9,549",100.00
1940,California,Primary election results,Primary,Winning,True,Republican Party (United States),Hiram Johnson,"612,561",82.02%
1940,California,Primary election results,Primary,Candidate,False,Democratic Party (United States),Ellis E. Patterson,"54,834",7.34%
1940,California,Primary election results,Primary,Candidate,False,Democratic Party (United States),John Anson Ford,"46,310",6.20%
1940,California,Primary election results,Primary,Candidate,False,Democratic Party (United States),Sam Yorty,"33,142",4.44%
1940,California,Primary election results,Primary,Total,False,,,"1,007,926",100.00%
1940,California,Primary election results,Primary,Winning,True,Republican Party (United States),Hiram Johnson,"507,389",50.34%
1940,California,Primary election results,Primary,Candidate,False,Democratic Party (United States),Ellis E. Patterson,"206,479",20.49%
1940,California,Primary election results,Primary,Candidate,False,Democratic Party (United States),John Anson Ford,"175,110",17.37%
1940,California,Primary election results,Primary,Candidate,False,Democratic Party (United States),Sam Yorty,"74,332",7.38%
1940,California,Primary election results,Primary,Candidate,False,Democratic Party (United States),James D. Meredith,"26,425",2.62%
1940,California,Primary election results,Primary,Candidate,False,Democratic Party (United States),Richard S. Otto,"18,191",1.81%
1940,California,Primary election results,Primary,Total,False,,,"746,847",100.00%
1940,California,Primary election results,Primary,Winning,True,Republican Party (United States),Hiram Johnson,"2,060",61.40%
1940,California,Primary election results,Primary,Candidate,False,Democratic Party (United States),Richard S. Otto,"1,295",38.60%
1940,California,Primary election results,Primary,Total,False,,,"3,355",100.00%
1940,California,Primary election results,Primary,Winning,False,Prohibition Party (United States),Fred Dyster,"1,314",77.66%
1940,California,Primary election results,Primary,Candidate,False,Republican Party (United States),Hiram Johnson (incumbent) (write-in),378,22.34%
1940,California,Primary election results,Primary,Total,False,,,"1,692",100.00%
1940,Florida,1940 Democratic U.S. Senate primary,Primary,Winning,True,Democratic Party (United States),Charles O. Andrews,"179,195",40.92%
1940,Florida,1940 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),Jerry W. Carter,"80,869",18.47%
1940,Florida,1940 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),Bernarr Macfadden,"14,553",16.32%
1940,Florida,1940 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),Fred P. Cone,"68,584",15.66%
1940,Florida,1940 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),Charles Francis Coe,"33,463",7.64%
1940,Florida,1940 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),O. B. Hazen,"4,370",1.00%
1940,Florida,1940 Democratic U.S. Senate primary,Primary,Total,False,,,"437,968",100.00%
1940,Idaho (special),Democratic primary results,Primary,Winning,False,Democratic Party (United States),Glen H. Taylor,"18,984",35.78
1940,Idaho (special),Democratic primary results,Primary,Candidate,False,Democratic Party (United States),James R. Bothwell,"17,935",33.80
1940,Idaho (special),Democratic primary results,Primary,Candidate,False,Democratic Party (United States),George E. Donart,"16,145",30.42
1940,Idaho (special),Democratic primary results,Primary,Total,False,,,"53,064",
1940,Idaho (special),Republican primary results,Primary,Winning,True,Republican Party (United States),John Thomas,"32,732",60.66
1940,Idaho (special),Republican primary results,Primary,Candidate,False,Republican Party (United States),Abe McGregor Goff,"7,476",13.86
1940,Idaho (special),Republican primary results,Primary,Candidate,False,Republican Party (United States),"J. D. ""Cy"" Price","4,647",8.61
1940,Idaho (special),Republican primary results,Primary,Candidate,False,Republican Party (United States),E. W. Sinclair,"4,021",7.45
1940,Idaho (special),Republican primary results,Primary,Candidate,False,Republican Party (United States),Frank H. Adams,"2,094",3.88
1940,Idaho (special),Republican primary results,Primary,Candidate,False,Republican Party (United States),Elvin Dulaney,"1,537",2.85
1940,Idaho (special),Republican primary results,Primary,Candidate,False,Republican Party (United States),Frank B. Dotson,"1,451",2.69
1940,Idaho (special),Republican primary results,Primary,Total,False,,,"53,958",
1940,Illinois (special),Democratic primary,Primary,Winning,True,Democratic Party (United States),James M. Slattery,"796,036",60.89
1940,Illinois (special),Democratic primary,Primary,Candidate,False,Democratic Party (United States),Benjamin S. Adamowski,"511,231",39.11
1940,Illinois (special),Democratic primary,Primary,Total,False,,,"1,307,267",100
1940,Illinois (special),Republican primary,Primary,Winning,False,Republican Party (United States),C. Wayland Brooks,"618,857",59.61
1940,Illinois (special),Republican primary,Primary,Candidate,False,Republican Party (United States),Ralph E. Church,"419,315",40.39
1940,Illinois (special),Republican primary,Primary,Total,False,,,"1,038,172",100
1940,Kentucky (special),Democratic primary results,Primary,Winning,True,Democratic Party (United States),Happy Chandler,176520,79.19
1940,Kentucky (special),Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Charles R. Farnsley,26061,11.69
1940,Kentucky (special),Democratic primary results,Primary,Candidate,False,Democratic Party (United States),M. E. Gilbert,7788,3.49
1940,Kentucky (special),Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Joseph G. Thornbury,4909,2.20
1940,Kentucky (special),Democratic primary results,Primary,Candidate,False,Democratic Party (United States),Jack Harrod,4189,1.88
1940,Kentucky (special),Democratic primary results,Primary,Candidate,False,Democratic Party (United States),John J. Thobe,3439,1.54
1940,Kentucky (special),Democratic primary results,Primary,Total,False,,,222906,100.00
1940,Maine,1940 Republican U.S. Senate primary,Primary,Winning,False,Republican Party (United States),Owen Brewster,"70,623",58.88%
1940,Maine,1940 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (United States),Lewis O. Barrows,"49,327",41.12%
1940,Maine,1940 Republican U.S. Senate primary,Primary,Total,False,,,"119,950",100.00%
1940,Maine,1940 Democratic U.S. Senate primary,Primary,Winning,False,Democratic Party (United States),Louis J. Brann,"23,015",100.00%
1940,Maine,1940 Democratic U.S. Senate primary,Primary,Total,False,,,"23,015",100.00%
1940,Maryland,1940 Democratic U.S. Senate primary,Primary,Winning,False,Democratic Party (US),George L. P. Radcliffe (inc.),"175,857",64.11%
1940,Maryland,1940 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (US),Howard Bruce,"95,757",34.91%
1940,Maryland,1940 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (US),Vincent L. Gierttoski,"2,695",0.98%
