Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
1952,California,1952 Republican U.S. Senate primary,Primary,Winning,False,Republican Party (United States),William F. Knowland (inc.),"1,341,170",87.68%
1952,California,1952 Republican U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),Clinton D. McKinnon (cross-filing),"140,571",9.19%
1952,California,1952 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (US),Robert D. Adams,"47,969",3.14%
1952,California,1952 Republican U.S. Senate primary,Primary,Total,False,,,"1,529,710",100.00
1952,California,1952 Democratic U.S. Senate primary,Primary,Winning,False,Republican Party (United States),William F. Knowland (inc.) (cross-filing),"966,881",55.54%
1952,California,1952 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),Clinton D. McKinnon,"633,556",36.39%
1952,California,1952 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (US),Arthur W. Watwood,"140,406",8.07%
1952,California,1952 Democratic U.S. Senate primary,Primary,Total,False,,,"1,740,843",100.00
1952,Florida,1952 Democratic U.S. Senate primary,Primary,Winning,True,Democratic Party (United States),Spessard L. Holland,"485,515",84.21%
1952,Florida,1952 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),William A. Gaston,"91,011",15.79%
1952,Florida,1952 Democratic U.S. Senate primary,Primary,Total,False,,,"576,526",100.00%
1952,Maine,1952 Republican U.S. Senate primary,Primary,Winning,False,Republican Party (United States),Frederick G. Payne,"68,690",51.25%
1952,Maine,1952 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (United States),Owen Brewster (inc.),"65,334",48.75%
1952,Maine,1952 Republican U.S. Senate primary,Primary,Total,False,,,"134,024",100.00%
1952,Maine,1952 Democratic U.S. Senate primary,Primary,Winning,False,Democratic Party (United States),Roger P. Dube,"12,569",56.77%
1952,Maine,1952 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),Earl S. Grant,"9,572",43.23%
1952,Maine,1952 Democratic U.S. Senate primary,Primary,Total,False,,,"22,141",100.00%
1952,Maryland,1952 Democratic U.S. Senate primary,Primary,Winning,False,Democratic Party (US),George P. Mahoney,"136,932",51.05%
1952,Maryland,1952 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (US),Lansdale G. Sasscer,"122,679",45.74%
1952,Maryland,1952 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (US),Stephen Petticord,"8,620",3.21%
1952,Maryland,1952 Democratic U.S. Senate primary,Primary,Total,False,,,"268,231",100.00%
1952,Maryland,1952 Republican U.S. Senate primary,Primary,Winning,False,Republican Party (US),James Glenn Beall,"54,045",52.85%
1952,Maryland,1952 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (US),H. Grady Gore,"32,804",32.08%
1952,Maryland,1952 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (US),Royden Addison Blunt,"7,298",7.14%
1952,Maryland,1952 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (US),Herman L. Mills,"5,466",5.35%
1952,Maryland,1952 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (US),Thomas Hankinson,"2,652",2.59%
1952,Maryland,1952 Republican U.S. Senate primary,Primary,Total,False,,,"102,265",100.00%
1952,Massachusetts,1952 Republican U.S. Senate primary,Primary,Winning,True,Republican Party (US),Henry Cabot Lodge Jr.,"394,896",99.98%
1952,Massachusetts,1952 Republican U.S. Senate primary,Primary,Write-in,False,,,93,0.02%
1952,Massachusetts,1952 Republican U.S. Senate primary,Primary,Total,False,,,"394,989",100.00%
1952,Massachusetts,1952 Democratic U.S. Senate primary,Primary,Winning,False,Democratic Party (US),John F. Kennedy,"394,138",100.00%
1952,Massachusetts,1952 Democratic U.S. Senate primary,Primary,Write-in,False,,,9,0.00%
1952,Massachusetts,1952 Democratic U.S. Senate primary,Primary,Total,False,,,"394,147",100.00%
1952,Minnesota,Democratic primary election results,Primary,Winning,False,Minnesota Democratic–Farmer–Labor Party,William E. (Bill) Carlson,"126,426",54.37%
1952,Minnesota,Democratic primary election results,Primary,Candidate,False,Minnesota Democratic–Farmer–Labor Party,John A. McDonough,"64,094",27.56%
1952,Minnesota,Democratic primary election results,Primary,Candidate,False,Minnesota Democratic–Farmer–Labor Party,F. H. Shoemaker,"42,029",18.07%
1952,Minnesota,Democratic primary election results,Primary,Total,False,,,"232,549",100.00%
1952,Minnesota,Republican primary election results,Primary,Winning,True,Republican Party of Minnesota,Edward J. Thye,"321,659",84.84%
1952,Minnesota,Republican primary election results,Primary,Candidate,False,Republican Party of Minnesota,Edward C. Slettedahl,"23,427",6.18%
1952,Minnesota,Republican primary election results,Primary,Candidate,False,Republican Party of Minnesota,John M. Arneson,"13,653",3.60%
1952,Minnesota,Republican primary election results,Primary,Candidate,False,Republican Party of Minnesota,Arthur D. Russell,"11,221",2.96%
1952,Minnesota,Republican primary election results,Primary,Candidate,False,Republican Party of Minnesota,A. B. Gilbert,"9,191",2.42%
1952,Minnesota,Republican primary election results,Primary,Total,False,,,"379,151",100.00%
1952,Mississippi,1952 Democratic U.S. Senate primary,Primary,Winning,True,Democratic Party (United States),John C. Stennis,"191,380",89.35%
1952,Mississippi,1952 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),William P. Davis,"22,802",10.65%
1952,Mississippi,1952 Democratic U.S. Senate primary,Primary,Total,False,,,"214,182",100.00%
1952,Missouri,1952 Republican U.S. Senate primary,Primary,Winning,True,Republican Party (United States),James P. Kem,"304,191",84.63%
1952,Missouri,1952 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (United States),William McKinley Thomas,"39,531",10.96%
1952,Missouri,1952 Republican U.S. Senate primary,Primary,Candidate,False,Republican Party (United States),Herman G. Grosby,"16,974",4.71%
1952,Missouri,1952 Republican U.S. Senate primary,Primary,Total,False,,,"360,696",100.00%
1952,Missouri,1952 Democratic U.S. Senate primary,Primary,Winning,False,Democratic Party (United States),Stuart Symington,"368,595",62.09%
1952,Missouri,1952 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),Buck Taylor,"180,849",30.46%
1952,Missouri,1952 Democratic U.S. Senate primary,Primary,Candidate,False,Democratic Party (United States),John A. Johnson,"44,216",7.45%
1952,Missouri,1952 Democratic U.S. Senate primary,Primary,Total,False,,,"593,660",100.00%
1952,Montana,Democratic Party primary results,Primary,Winning,False,Democratic Party (United States),Mike Mansfield,"74,239",100.00
1952,Montana,Democratic Party primary results,Primary,Total,False,,,"74,239",100.00
