Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
1923,Minnesota (special),Special election results,General,Winning,False,Farmer–Labor Party,Magnus Johnson,"290,165",57.48%
1923,Minnesota (special),Special election results,General,Candidate,False,Republican Party of Minnesota,J. A. O. Preus,"195,319",38.69%
1923,Minnesota (special),Special election results,General,Candidate,False,Democratic Party of Minnesota,James A. Carley,"19,311",3.83%
1923,Minnesota (special),Special election results,General,Total,False,,,"504,795",100.00%
1923,Vermont (special),"United States Senate special election in Vermont, 1923",General,Winning,False,Republican Party (United States),Porter H. Dale,"30,388",65.65%
1923,Vermont (special),"United States Senate special election in Vermont, 1923",General,Candidate,False,Democratic Party (United States),Park H. Pollard,"15,580",33.66%
1923,Vermont (special),"United States Senate special election in Vermont, 1923",General,Total,False,,,"46,286",100.00%
