Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
1960,New Jersey,1960 United States Senate election in New Jersey,General,Candidate,False,Socialist Workers Party (United States),Gladys Grauer,"11,784",0.44%
1960,New Jersey,1960 United States Senate election in New Jersey,General,Candidate,False,Socialist Labor Party of America,Albert Ronis,"3,599",0.14%
1960,North Carolina,1960 U.S. Senate election in North Carolina,General,Winning,True,Democratic Party (United States),B. Everett Jordan,"793,521",61.44
1960,North Carolina,1960 U.S. Senate election in North Carolina,General,Candidate,False,Republican Party (United States),R. Kyle Hayes,"497,964",38.56
1960,North Carolina,1960 U.S. Senate election in North Carolina,General,Total,False,,,"1,291,485",100.00%
1960,North Dakota (special),"1960 United States Senate special election, North Dakota",General,Winning,False,North Dakota Democratic–Nonpartisan League Party,Quentin Burdick,"104,593",49.72%
1960,North Dakota (special),"1960 United States Senate special election, North Dakota",General,Candidate,False,Republican Party (US),John E. Davis,"103,475",49.19%
1960,North Dakota (special),"1960 United States Senate special election, North Dakota",General,Candidate,False,Independent (US),Eugene Van Der Hoeven,"1,337",0.64%
1960,North Dakota (special),"1960 United States Senate special election, North Dakota",General,Candidate,False,Independent (US),Clarence Haggard,934,0.45%
1960,Oklahoma,1960 United States Senate election in Oklahoma,General,Winning,False,Democratic Party (United States),Robert S. Kerr (inc.),"474,116",54.84%
1960,Oklahoma,1960 United States Senate election in Oklahoma,General,Candidate,False,Republican Party (United States),B. Hayden Crawford,"385,646",44.61%
1960,Oklahoma,1960 United States Senate election in Oklahoma,General,Candidate,False,Independent (politician),Billy E. Brown,"4,713",0.55%
1960,Oregon (special),1960 United States Senate election in Oregon,General,Winning,False,Democratic Party (United States),Maurine Neuberger,"412,757",54.61%
1960,Oregon (special),1960 United States Senate election in Oregon,General,Candidate,False,Republican Party (United States),Elmo Smith,"343,009",45.38%
1960,Oregon (special),1960 United States Senate election in Oregon,General,Write-in,False,,,109,0.01%
1960,Oregon (special),1960 United States Senate special election in Oregon,General,Winning,False,Democratic Party (United States),Maurine Neuberger,"422,024",54.98%
1960,Oregon (special),1960 United States Senate special election in Oregon,General,Candidate,False,Republican Party (United States),Elmo Smith,"345,464",45.01%
1960,Oregon (special),1960 United States Senate special election in Oregon,General,Write-in,False,,,93,0.01%
1960,Oregon,1960 United States Senate election in Oregon,General,Winning,False,Democratic Party (United States),Maurine Neuberger,"412,757",54.61%
1960,Oregon,1960 United States Senate election in Oregon,General,Candidate,False,Republican Party (United States),Elmo Smith,"343,009",45.38%
1960,Oregon,1960 United States Senate election in Oregon,General,Write-in,False,,,109,0.01%
1960,Oregon,1960 United States Senate special election in Oregon,General,Winning,False,Democratic Party (United States),Maurine Neuberger,"422,024",54.98%
1960,Oregon,1960 United States Senate special election in Oregon,General,Candidate,False,Republican Party (United States),Elmo Smith,"345,464",45.01%
1960,Oregon,1960 United States Senate special election in Oregon,General,Write-in,False,,,93,0.01%
1960,Rhode Island,General election results,General,Winning,False,Democratic Party (US),Claiborne Pell,"275,575",68.90
