Year,State,Primary_Type,Poll_Source,Date,Date_Start,Date_End,Sample,MoE,Candidate,Party,Pct,Incumbent,Date_Original
2012,Pennsylvania,Republican Primary,Public Policy Polling,2012-03-08 to 2012-03-11,2012-03-08,2012-03-11,564,4.1,David Christian,R,10%,False,"March 8–11, 2012"
2012,Pennsylvania,Republican Primary,Franklin & Marshall College,2012-03-20 to 2012-03-25,2012-03-20,2012-03-25,505,4.2,David Christian,R,1%,False,"March 20–25, 2012"
2012,Pennsylvania,Republican Primary,Public Policy Polling,2011-11-17 to 2011-11-20,2011-11-17,2011-11-20,400,4.9,Laureen Cummings,R,2%,False,"November 17–20, 2011"
2012,Pennsylvania,Republican Primary,Tribune-Review,2012-02-02 to 2012-02-06,2012-02-02,2012-02-06,500,4.4,John Kensinger,R,3%,False,"February 2–6, 2012"
2012,Pennsylvania,Republican Primary,Public Policy Polling,2011-11-17 to 2011-11-20,2011-11-17,2011-11-20,400,4.9,Sam Rohrer,R,25%,False,"November 17–20, 2011"
2012,Pennsylvania,Republican Primary,Tribune-Review,2012-02-02 to 2012-02-06,2012-02-02,2012-02-06,500,4.4,Sam Rohrer,R,10%,False,"February 2–6, 2012"
2012,Pennsylvania,Republican Primary,Public Policy Polling,2012-03-08 to 2012-03-11,2012-03-08,2012-03-11,564,4.1,Sam Rohrer,R,16%,False,"March 8–11, 2012"
2012,Pennsylvania,Republican Primary,Franklin & Marshall College,2012-03-20 to 2012-03-25,2012-03-20,2012-03-25,505,4.2,Sam Rohrer,R,7%,False,"March 20–25, 2012"
2012,Pennsylvania,Republican Primary,Public Policy Polling,2011-11-17 to 2011-11-20,2011-11-17,2011-11-20,400,4.9,Marc Scaringi,R,0%,False,"November 17–20, 2011"
2012,Pennsylvania,Republican Primary,Tribune-Review,2012-02-02 to 2012-02-06,2012-02-02,2012-02-06,500,4.4,Marc Scaringi,R,1%,False,"February 2–6, 2012"
2012,Pennsylvania,Republican Primary,Public Policy Polling,2012-03-08 to 2012-03-11,2012-03-08,2012-03-11,564,4.1,Marc Scaringi,R,8%,False,"March 8–11, 2012"
2012,Pennsylvania,Republican Primary,Franklin & Marshall College,2012-03-20 to 2012-03-25,2012-03-20,2012-03-25,505,4.2,Marc Scaringi,R,1%,False,"March 20–25, 2012"
