year,state,state_code,county,subdivision_type,candidate,party,votes,percentage,total_votes,winning_party
1944,Alabama,AL,Colbert,County,Claude A. Watson,Prohibition,6,0.15,3889,Democratic
1944,Alabama,AL,Colbert,County,Norman Thomas,Socialist,2,0.05,3889,Democratic
1944,Alabama,AL,Conecuh,County,Franklin D. Roosevelt,Democratic,1498,91.34,1640,Democratic
1944,Alabama,AL,Conecuh,County,Thomas E. Dewey,Republican,127,7.74,1640,Democratic
1944,Alabama,AL,Conecuh,County,Claude A. Watson,Prohibition,9,0.55,1640,Democratic
1944,Alabama,AL,Conecuh,County,Norman Thomas,Socialist,6,0.37,1640,Democratic
1944,Alabama,AL,Coosa,County,Franklin D. Roosevelt,Democratic,1079,72.86,1481,Democratic
1944,Alabama,AL,Coosa,County,Thomas E. Dewey,Republican,394,26.6,1481,Democratic
1944,Alabama,AL,Coosa,County,Claude A. Watson,Prohibition,5,0.34,1481,Democratic
1944,Alabama,AL,Coosa,County,Norman Thomas,Socialist,3,0.2,1481,Democratic
1944,Alabama,AL,Covington,County,Franklin D. Roosevelt,Democratic,2972,91.98,3231,Democratic
1944,Alabama,AL,Covington,County,Thomas E. Dewey,Republican,256,7.92,3231,Democratic
1944,Alabama,AL,Covington,County,Claude A. Watson,Prohibition,2,0.06,3231,Democratic
1944,Alabama,AL,Covington,County,Norman Thomas,Socialist,1,0.03,3231,Democratic
1944,Alabama,AL,Crenshaw,County,Franklin D. Roosevelt,Democratic,1980,94.06,2105,Democratic
1944,Alabama,AL,Crenshaw,County,Thomas E. Dewey,Republican,118,5.61,2105,Democratic
1944,Alabama,AL,Crenshaw,County,Claude A. Watson,Prohibition,6,0.29,2105,Democratic
1944,Alabama,AL,Crenshaw,County,Norman Thomas,Socialist,0,0.0,2105,Democratic
1944,Alabama,AL,Cullman,County,Franklin D. Roosevelt,Democratic,3898,63.43,6145,Democratic
1944,Alabama,AL,Cullman,County,Thomas E. Dewey,Republican,2202,35.83,6145,Democratic
1944,Alabama,AL,Cullman,County,Claude A. Watson,Prohibition,41,0.67,6145,Democratic
1944,Alabama,AL,Cullman,County,Norman Thomas,Socialist,4,0.07,6145,Democratic
1944,Alabama,AL,Dale,County,Franklin D. Roosevelt,Democratic,2094,85.57,2447,Democratic
1944,Alabama,AL,Dale,County,Thomas E. Dewey,Republican,325,13.28,2447,Democratic
1944,Alabama,AL,Dale,County,Claude A. Watson,Prohibition,8,0.33,2447,Democratic
1944,Alabama,AL,Dale,County,Norman Thomas,Socialist,1,0.04,2447,Democratic
1944,Alabama,AL,Dallas,County,Franklin D. Roosevelt,Democratic,2883,94.74,3043,Democratic
1944,Alabama,AL,Dallas,County,Thomas E. Dewey,Republican,149,4.9,3043,Democratic
1944,Alabama,AL,Dallas,County,Claude A. Watson,Prohibition,5,0.16,3043,Democratic
1944,Alabama,AL,Dallas,County,Norman Thomas,Socialist,5,0.16,3043,Democratic
1944,Alabama,AL,DeKalb,County,Franklin D. Roosevelt,Democratic,4366,62.35,7002,Democratic
1944,Alabama,AL,DeKalb,County,Thomas E. Dewey,Republican,2627,37.52,7002,Democratic
1944,Alabama,AL,DeKalb,County,Claude A. Watson,Prohibition,9,0.13,7002,Democratic
1944,Alabama,AL,DeKalb,County,Norman Thomas,Socialist,0,0.0,7002,Democratic
1944,Alabama,AL,Elmore,County,Franklin D. Roosevelt,Democratic,3108,94.32,3295,Democratic
1944,Alabama,AL,Elmore,County,Thomas E. Dewey,Republican,184,5.58,3295,Democratic
1944,Alabama,AL,Elmore,County,Claude A. Watson,Prohibition,3,0.09,3295,Democratic
1944,Alabama,AL,Elmore,County,Norman Thomas,Socialist,0,0.0,3295,Democratic
1944,Alabama,AL,Escambia,County,Franklin D. Roosevelt,Democratic,2077,88.2,2355,Democratic
1944,Alabama,AL,Escambia,County,Thomas E. Dewey,Republican,266,11.3,2355,Democratic
1944,Alabama,AL,Escambia,County,Claude A. Watson,Prohibition,12,0.51,2355,Democratic
1944,Alabama,AL,Escambia,County,Norman Thomas,Socialist,0,0.0,2355,Democratic
1944,Alabama,AL,Etowah,County,Franklin D. Roosevelt,Democratic,5895,78.38,7521,Democratic
1944,Alabama,AL,Etowah,County,Thomas E. Dewey,Republican,1525,20.28,7521,Democratic
1944,Alabama,AL,Etowah,County,Claude A. Watson,Prohibition,89,1.18,7521,Democratic
1944,Alabama,AL,Etowah,County,Norman Thomas,Socialist,12,0.16,7521,Democratic
1944,Alabama,AL,Fayette,County,Franklin D. Roosevelt,Democratic,1648,64.1,2571,Democratic
1944,Alabama,AL,Fayette,County,Thomas E. Dewey,Republican,913,35.51,2571,Democratic
1944,Alabama,AL,Fayette,County,Claude A. Watson,Prohibition,10,0.39,2571,Democratic
1944,Alabama,AL,Fayette,County,Norman Thomas,Socialist,0,0.0,2571,Democratic
1944,Alabama,AL,Franklin,County,Franklin D. Roosevelt,Democratic,2709,59.3,4568,Democratic
1944,Alabama,AL,Franklin,County,Thomas E. Dewey,Republican,1853,40.56,4568,Democratic
1944,Alabama,AL,Franklin,County,Claude A. Watson,Prohibition,6,0.13,4568,Democratic
1944,Alabama,AL,Franklin,County,Norman Thomas,Socialist,0,0.0,4568,Democratic
1944,Alabama,AL,Geneva,County,Franklin D. Roosevelt,Democratic,2004,83.36,2404,Democratic
1944,Alabama,AL,Geneva,County,Thomas E. Dewey,Republican,385,16.01,2404,Democratic
1944,Alabama,AL,Geneva,County,Claude A. Watson,Prohibition,15,0.62,2404,Democratic
1944,Alabama,AL,Geneva,County,Norman Thomas,Socialist,0,0.0,2404,Democratic
1944,Alabama,AL,Greene,County,Franklin D. Roosevelt,Democratic,676,93.63,722,Democratic
1944,Alabama,AL,Greene,County,Thomas E. Dewey,Republican,45,6.23,722,Democratic
1944,Alabama,AL,Greene,County,Claude A. Watson,Prohibition,1,0.14,722,Democratic
1944,Alabama,AL,Greene,County,Norman Thomas,Socialist,0,0.0,722,Democratic
1944,Alabama,AL,Hale,County,Franklin D. Roosevelt,Democratic,1265,97.46,1298,Democratic
1944,Alabama,AL,Hale,County,Thomas E. Dewey,Republican,33,2.54,1298,Democratic
1944,Alabama,AL,Hale,County,Claude A. Watson,Prohibition,0,0.0,1298,Democratic
1944,Alabama,AL,Hale,County,Norman Thomas,Socialist,0,0.0,1298,Democratic
1944,Alabama,AL,Henry,County,Franklin D. Roosevelt,Democratic,1635,97.15,1683,Democratic
1944,Alabama,AL,Henry,County,Thomas E. Dewey,Republican,46,2.73,1683,Democratic
1944,Alabama,AL,Henry,County,Claude A. Watson,Prohibition,2,0.12,1683,Democratic
1944,Alabama,AL,Henry,County,Norman Thomas,Socialist,0,0.0,1683,Democratic
1944,Alabama,AL,Houston,County,Franklin D. Roosevelt,Democratic,3349,91.8,3648,Democratic
1944,Alabama,AL,Houston,County,Thomas E. Dewey,Republican,282,7.73,3648,Democratic
1944,Alabama,AL,Houston,County,Claude A. Watson,Prohibition,16,0.44,3648,Democratic
1944,Alabama,AL,Houston,County,Norman Thomas,Socialist,1,0.03,3648,Democratic
1944,Alabama,AL,Jackson,County,Franklin D. Roosevelt,Democratic,2967,74.18,4000,Democratic
1944,Alabama,AL,Jackson,County,Thomas E. Dewey,Republican,1026,25.65,4000,Democratic
1944,Alabama,AL,Jackson,County,Claude A. Watson,Prohibition,6,0.15,4000,Democratic
1944,Alabama,AL,Jackson,County,Norman Thomas,Socialist,1,0.03,4000,Democratic
1944,Alabama,AL,Jefferson,County,Franklin D. Roosevelt,Democratic,31101,80.4,38684,Democratic
1944,Alabama,AL,Jefferson,County,Thomas E. Dewey,Republican,7409,19.15,38684,Democratic
1944,Alabama,AL,Jefferson,County,Claude A. Watson,Prohibition,157,0.41,38684,Democratic
1944,Alabama,AL,Jefferson,County,Norman Thomas,Socialist,17,0.04,38684,Democratic
1944,Alabama,AL,Lamar,County,Franklin D. Roosevelt,Democratic,2025,86.1,2352,Democratic
1944,Alabama,AL,Lamar,County,Thomas E. Dewey,Republican,310,13.18,2352,Democratic
1944,Alabama,AL,Lamar,County,Claude A. Watson,Prohibition,16,0.68,2352,Democratic
1944,Alabama,AL,Lamar,County,Norman Thomas,Socialist,1,0.04,2352,Democratic
1944,Alabama,AL,Lauderdale,County,Franklin D. Roosevelt,Democratic,4001,86.77,4611,Democratic
1944,Alabama,AL,Lauderdale,County,Thomas E. Dewey,Republican,590,12.8,4611,Democratic
1944,Alabama,AL,Lauderdale,County,Claude A. Watson,Prohibition,19,0.41,4611,Democratic
1944,Alabama,AL,Lauderdale,County,Norman Thomas,Socialist,1,0.02,4611,Democratic
1944,Alabama,AL,Lawrence,County,Franklin D. Roosevelt,Democratic,1893,76.86,2463,Democratic
1944,Alabama,AL,Lawrence,County,Thomas E. Dewey,Republican,565,22.94,2463,Democratic
1944,Alabama,AL,Lawrence,County,Claude A. Watson,Prohibition,5,0.2,2463,Democratic
1944,Alabama,AL,Lawrence,County,Norman Thomas,Socialist,0,0.0,2463,Democratic
1944,Alabama,AL,Lee,County,Franklin D. Roosevelt,Democratic,2011,93.49,2151,Democratic
1944,Alabama,AL,Lee,County,Thomas E. Dewey,Republican,134,6.23,2151,Democratic
1944,Alabama,AL,Lee,County,Claude A. Watson,Prohibition,5,0.23,2151,Democratic
1944,Alabama,AL,Lee,County,Norman Thomas,Socialist,1,0.05,2151,Democratic
1944,Alabama,AL,Limestone,County,Franklin D. Roosevelt,Democratic,2605,94.93,2744,Democratic
1944,Alabama,AL,Limestone,County,Thomas E. Dewey,Republican,129,4.7,2744,Democratic
1944,Alabama,AL,Limestone,County,Claude A. Watson,Prohibition,10,0.36,2744,Democratic
1944,Alabama,AL,Limestone,County,Norman Thomas,Socialist,0,0.0,2744,Democratic
1944,Alabama,AL,Lowndes,County,Franklin D. Roosevelt,Democratic,802,97.92,819,Democratic
1944,Alabama,AL,Lowndes,County,Thomas E. Dewey,Republican,16,1.95,819,Democratic
1944,Alabama,AL,Lowndes,County,Claude A. Watson,Prohibition,1,0.12,819,Democratic
1944,Alabama,AL,Lowndes,County,Norman Thomas,Socialist,0,0.0,819,Democratic
1944,Alabama,AL,Macon,County,Franklin D. Roosevelt,Democratic,1032,92.56,1115,Democratic
1944,Alabama,AL,Macon,County,Thomas E. Dewey,Republican,82,7.35,1115,Democratic
1944,Alabama,AL,Macon,County,Claude A. Watson,Prohibition,1,0.09,1115,Democratic
1944,Alabama,AL,Macon,County,Norman Thomas,Socialist,0,0.0,1115,Democratic
1944,Alabama,AL,Madison,County,Franklin D. Roosevelt,Democratic,4951,91.33,5421,Democratic
1944,Alabama,AL,Madison,County,Thomas E. Dewey,Republican,455,8.39,5421,Democratic
1944,Alabama,AL,Madison,County,Claude A. Watson,Prohibition,11,0.2,5421,Democratic
1944,Alabama,AL,Madison,County,Norman Thomas,Socialist,4,0.07,5421,Democratic
1944,Alabama,AL,Marengo,County,Franklin D. Roosevelt,Democratic,1746,94.69,1844,Democratic
1944,Alabama,AL,Marengo,County,Thomas E. Dewey,Republican,89,4.83,1844,Democratic
1944,Alabama,AL,Marengo,County,Claude A. Watson,Prohibition,7,0.38,1844,Democratic
1944,Alabama,AL,Marengo,County,Norman Thomas,Socialist,2,0.11,1844,Democratic
1944,Alabama,AL,Marion,County,Franklin D. Roosevelt,Democratic,1866,59.48,3137,Democratic
1944,Alabama,AL,Marion,County,Thomas E. Dewey,Republican,1260,40.17,3137,Democratic
1944,Alabama,AL,Marion,County,Claude A. Watson,Prohibition,10,0.32,3137,Democratic
1944,Alabama,AL,Marion,County,Norman Thomas,Socialist,0,0.0,3137,Democratic
1944,Alabama,AL,Marshall,County,Franklin D. Roosevelt,Democratic,3356,73.58,4561,Democratic
1944,Alabama,AL,Marshall,County,Thomas E. Dewey,Republican,1200,26.31,4561,Democratic
1944,Alabama,AL,Marshall,County,Claude A. Watson,Prohibition,5,0.11,4561,Democratic
1944,Alabama,AL,Marshall,County,Norman Thomas,Socialist,0,0.0,4561,Democratic
1944,Alabama,AL,Mobile,County,Franklin D. Roosevelt,Democratic,9439,75.98,12423,Democratic
1944,Alabama,AL,Mobile,County,Thomas E. Dewey,Republican,2867,23.08,12423,Democratic
1944,Alabama,AL,Mobile,County,Claude A. Watson,Prohibition,86,0.69,12423,Democratic
1944,Alabama,AL,Mobile,County,Norman Thomas,Socialist,25,0.2,12423,Democratic
1944,Alabama,AL,Monroe,County,Franklin D. Roosevelt,Democratic,1991,97.55,2041,Democratic
1944,Alabama,AL,Monroe,County,Thomas E. Dewey,Republican,46,2.25,2041,Democratic
1944,Alabama,AL,Monroe,County,Claude A. Watson,Prohibition,4,0.2,2041,Democratic
1944,Alabama,AL,Monroe,County,Norman Thomas,Socialist,0,0.0,2041,Democratic
1944,Alabama,AL,Montgomery,County,Franklin D. Roosevelt,Democratic,9143,95.62,9562,Democratic
1944,Alabama,AL,Montgomery,County,Thomas E. Dewey,Republican,381,3.98,9562,Democratic
1944,Alabama,AL,Montgomery,County,Claude A. Watson,Prohibition,32,0.33,9562,Democratic
1944,Alabama,AL,Montgomery,County,Norman Thomas,Socialist,9,0.09,9562,Democratic
1944,Alabama,AL,Morgan,County,Franklin D. Roosevelt,Democratic,4124,85.24,4838,Democratic
1944,Alabama,AL,Morgan,County,Thomas E. Dewey,Republican,664,13.72,4838,Democratic
1944,Alabama,AL,Morgan,County,Claude A. Watson,Prohibition,49,1.01,4838,Democratic
1944,Alabama,AL,Morgan,County,Norman Thomas,Socialist,0,0.0,4838,Democratic
1944,Alabama,AL,Perry,County,Franklin D. Roosevelt,Democratic,1004,95.35,1053,Democratic
1944,Alabama,AL,Perry,County,Thomas E. Dewey,Republican,47,4.46,1053,Democratic
1944,Alabama,AL,Perry,County,Claude A. Watson,Prohibition,2,0.19,1053,Democratic
1944,Alabama,AL,Perry,County,Norman Thomas,Socialist,0,0.0,1053,Democratic
1944,Alabama,AL,Pickens,County,Franklin D. Roosevelt,Democratic,1482,87.23,1699,Democratic
1944,Alabama,AL,Pickens,County,Thomas E. Dewey,Republican,209,12.3,1699,Democratic
1944,Alabama,AL,Pickens,County,Claude A. Watson,Prohibition,8,0.47,1699,Democratic
1944,Alabama,AL,Pickens,County,Norman Thomas,Socialist,0,0.0,1699,Democratic
1944,Alabama,AL,Pike,County,Franklin D. Roosevelt,Democratic,2328,93.87,2480,Democratic
1944,Alabama,AL,Pike,County,Thomas E. Dewey,Republican,90,3.63,2480,Democratic
1944,Alabama,AL,Pike,County,Claude A. Watson,Prohibition,31,1.25,2480,Democratic
1944,Alabama,AL,Pike,County,Norman Thomas,Socialist,30,1.21,2480,Democratic
1944,Alabama,AL,Randolph,County,Franklin D. Roosevelt,Democratic,1785,71.06,2512,Democratic
1944,Alabama,AL,Randolph,County,Thomas E. Dewey,Republican,702,27.95,2512,Democratic
1944,Alabama,AL,Randolph,County,Claude A. Watson,Prohibition,25,1.0,2512,Democratic
1944,Alabama,AL,Randolph,County,Norman Thomas,Socialist,0,0.0,2512,Democratic
1944,Alabama,AL,Russell,County,Franklin D. Roosevelt,Democratic,2109,94.66,2228,Democratic
1944,Alabama,AL,Russell,County,Thomas E. Dewey,Republican,115,5.16,2228,Democratic
1944,Alabama,AL,Russell,County,Claude A. Watson,Prohibition,4,0.18,2228,Democratic
1944,Alabama,AL,Russell,County,Norman Thomas,Socialist,0,0.0,2228,Democratic
1944,Alabama,AL,Shelby,County,Franklin D. Roosevelt,Democratic,1955,67.11,2913,Democratic
1944,Alabama,AL,Shelby,County,Thomas E. Dewey,Republican,945,32.44,2913,Democratic
1944,Alabama,AL,Shelby,County,Claude A. Watson,Prohibition,8,0.27,2913,Democratic
1944,Alabama,AL,Shelby,County,Norman Thomas,Socialist,2,0.07,2913,Democratic
1944,Alabama,AL,St. Clair,County,Franklin D. Roosevelt,Democratic,1819,61.66,2950,Democratic
1944,Alabama,AL,St. Clair,County,Thomas E. Dewey,Republican,1117,37.86,2950,Democratic
1944,Alabama,AL,St. Clair,County,Claude A. Watson,Prohibition,13,0.44,2950,Democratic
1944,Alabama,AL,St. Clair,County,Norman Thomas,Socialist,1,0.03,2950,Democratic
1944,Alabama,AL,Sumter,County,Franklin D. Roosevelt,Democratic,1075,95.05,1131,Democratic
1944,Alabama,AL,Sumter,County,Thomas E. Dewey,Republican,53,4.69,1131,Democratic
1944,Alabama,AL,Sumter,County,Claude A. Watson,Prohibition,3,0.27,1131,Democratic
1944,Alabama,AL,Sumter,County,Norman Thomas,Socialist,0,0.0,1131,Democratic
1944,Alabama,AL,Talladega,County,Franklin D. Roosevelt,Democratic,3102,81.5,3806,Democratic
1944,Alabama,AL,Talladega,County,Thomas E. Dewey,Republican,675,17.74,3806,Democratic
1944,Alabama,AL,Talladega,County,Claude A. Watson,Prohibition,25,0.66,3806,Democratic
1944,Alabama,AL,Talladega,County,Norman Thomas,Socialist,2,0.05,3806,Democratic
1944,Alabama,AL,Tallapoosa,County,Franklin D. Roosevelt,Democratic,3326,95.88,3469,Democratic
1944,Alabama,AL,Tallapoosa,County,Thomas E. Dewey,Republican,136,3.92,3469,Democratic
1944,Alabama,AL,Tallapoosa,County,Claude A. Watson,Prohibition,7,0.2,3469,Democratic
1944,Alabama,AL,Tallapoosa,County,Norman Thomas,Socialist,0,0.0,3469,Democratic
1944,Alabama,AL,Tuscaloosa,County,Franklin D. Roosevelt,Democratic,4939,88.62,5573,Democratic
1944,Alabama,AL,Tuscaloosa,County,Thomas E. Dewey,Republican,584,10.48,5573,Democratic
1944,Alabama,AL,Tuscaloosa,County,Claude A. Watson,Prohibition,20,0.36,5573,Democratic
1944,Alabama,AL,Tuscaloosa,County,Norman Thomas,Socialist,4,0.07,5573,Democratic
1944,Alabama,AL,Walker,County,Franklin D. Roosevelt,Democratic,4619,66.87,6907,Democratic
1944,Alabama,AL,Walker,County,Thomas E. Dewey,Republican,2241,32.45,6907,Democratic
1944,Alabama,AL,Walker,County,Claude A. Watson,Prohibition,32,0.46,6907,Democratic
1944,Alabama,AL,Walker,County,Norman Thomas,Socialist,12,0.17,6907,Democratic
1944,Alabama,AL,Washington,County,Franklin D. Roosevelt,Democratic,1447,92.28,1568,Democratic
1944,Alabama,AL,Washington,County,Thomas E. Dewey,Republican,115,7.33,1568,Democratic
1944,Alabama,AL,Washington,County,Claude A. Watson,Prohibition,6,0.38,1568,Democratic
