year,state,state_code,county,subdivision_type,candidate,party,votes,percentage,total_votes,winning_party
1924,Alabama,AL,Autauga,County,John W. Davis,Democratic,781,81.87,954,Democratic
1924,Alabama,AL,Autauga,County,Calvin Coolidge,Republican,146,15.3,954,Democratic
1924,Alabama,AL,Autauga,County,Robert M. La Follette,Progressive,22,2.31,954,Democratic
1924,Alabama,AL,Autauga,County,Herman P. Faris,National Prohibition,5,0.52,954,Democratic
1924,Alabama,AL,Baldwin,County,John W. Davis,Democratic,1023,51.72,1978,Democratic
1924,Alabama,AL,Baldwin,County,Calvin Coolidge,Republican,549,27.76,1978,Democratic
1924,Alabama,AL,Baldwin,County,Robert M. La Follette,Progressive,392,19.82,1978,Democratic
1924,Alabama,AL,Baldwin,County,Herman P. Faris,National Prohibition,14,0.71,1978,Democratic
1924,Alabama,AL,Barbour,County,John W. Davis,Democratic,1340,91.59,1463,Democratic
1924,Alabama,AL,Barbour,County,Calvin Coolidge,Republican,78,5.33,1463,Democratic
1924,Alabama,AL,Barbour,County,Robert M. La Follette,Progressive,40,2.73,1463,Democratic
1924,Alabama,AL,Barbour,County,Herman P. Faris,National Prohibition,5,0.34,1463,Democratic
1924,Alabama,AL,Bibb,County,John W. Davis,Democratic,875,63.68,1374,Democratic
1924,Alabama,AL,Bibb,County,Calvin Coolidge,Republican,251,18.27,1374,Democratic
1924,Alabama,AL,Bibb,County,Robert M. La Follette,Progressive,240,17.47,1374,Democratic
1924,Alabama,AL,Bibb,County,Herman P. Faris,National Prohibition,8,0.58,1374,Democratic
1924,Alabama,AL,Blount,County,John W. Davis,Democratic,2083,56.15,3710,Democratic
1924,Alabama,AL,Blount,County,Calvin Coolidge,Republican,1518,40.92,3710,Democratic
1924,Alabama,AL,Blount,County,Robert M. La Follette,Progressive,103,2.78,3710,Democratic
1924,Alabama,AL,Blount,County,Herman P. Faris,National Prohibition,6,0.16,3710,Democratic
1924,Alabama,AL,Bullock,County,John W. Davis,Democratic,763,98.83,772,Democratic
1924,Alabama,AL,Bullock,County,Calvin Coolidge,Republican,8,1.04,772,Democratic
1924,Alabama,AL,Bullock,County,Robert M. La Follette,Progressive,1,0.13,772,Democratic
1924,Alabama,AL,Bullock,County,Herman P. Faris,National Prohibition,0,0.0,772,Democratic
1924,Alabama,AL,Butler,County,John W. Davis,Democratic,1050,83.33,1260,Democratic
