year,state,state_code,county,subdivision_type,candidate,party,votes,percentage,total_votes,winning_party
1932,Alabama,AL,Autauga,County,Franklin D. Roosevelt,Democratic,1322,89.81,1472,Democratic
1932,Alabama,AL,Autauga,County,Herbert Hoover,Republican,138,9.38,1472,Democratic
1932,Alabama,AL,Autauga,County,Norman Thomas,Socialist,11,0.75,1472,Democratic
1932,Alabama,AL,Autauga,County,William Z. Foster,Communist,1,0.07,1472,Democratic
1932,Alabama,AL,Autauga,County,William D. Upshaw,Prohibition,0,0.0,1472,Democratic
1932,Alabama,AL,Baldwin,County,Franklin D. Roosevelt,Democratic,2097,75.43,2780,Democratic
1932,Alabama,AL,Baldwin,County,Herbert Hoover,Republican,544,19.57,2780,Democratic
1932,Alabama,AL,Baldwin,County,Norman Thomas,Socialist,131,4.71,2780,Democratic
1932,Alabama,AL,Baldwin,County,William Z. Foster,Communist,8,0.29,2780,Democratic
1932,Alabama,AL,Baldwin,County,William D. Upshaw,Prohibition,0,0.0,2780,Democratic
1932,Alabama,AL,Barbour,County,Franklin D. Roosevelt,Democratic,2207,96.88,2278,Democratic
1932,Alabama,AL,Barbour,County,Herbert Hoover,Republican,64,2.81,2278,Democratic
1932,Alabama,AL,Barbour,County,Norman Thomas,Socialist,6,0.26,2278,Democratic
1932,Alabama,AL,Barbour,County,William Z. Foster,Communist,1,0.04,2278,Democratic
1932,Alabama,AL,Barbour,County,William D. Upshaw,Prohibition,0,0.0,2278,Democratic
1932,Alabama,AL,Bibb,County,Franklin D. Roosevelt,Democratic,1636,90.29,1812,Democratic
1932,Alabama,AL,Bibb,County,Herbert Hoover,Republican,145,8.0,1812,Democratic
1932,Alabama,AL,Bibb,County,Norman Thomas,Socialist,31,1.71,1812,Democratic
1932,Alabama,AL,Bibb,County,William Z. Foster,Communist,0,0.0,1812,Democratic
1932,Alabama,AL,Bibb,County,William D. Upshaw,Prohibition,0,0.0,1812,Democratic
1932,Alabama,AL,Blount,County,Franklin D. Roosevelt,Democratic,2232,77.99,2862,Democratic
1932,Alabama,AL,Blount,County,Herbert Hoover,Republican,582,20.34,2862,Democratic
1932,Alabama,AL,Blount,County,Norman Thomas,Socialist,43,1.5,2862,Democratic
1932,Alabama,AL,Blount,County,William Z. Foster,Communist,5,0.17,2862,Democratic
1932,Alabama,AL,Blount,County,William D. Upshaw,Prohibition,0,0.0,2862,Democratic
1932,Alabama,AL,Bullock,County,Franklin D. Roosevelt,Democratic,1004,98.72,1017,Democratic
1932,Alabama,AL,Bullock,County,Herbert Hoover,Republican,12,1.18,1017,Democratic
1932,Alabama,AL,Bullock,County,Norman Thomas,Socialist,1,0.1,1017,Democratic
1932,Alabama,AL,Bullock,County,William Z. Foster,Communist,0,0.0,1017,Democratic
1932,Alabama,AL,Bullock,County,William D. Upshaw,Prohibition,0,0.0,1017,Democratic
