year,state,state_code,county,subdivision_type,candidate,party,votes,percentage,total_votes,winning_party
2020,California,CA,Merced,County,Donald Trump,Republican,39397,43.51,90554,Democratic
2020,California,CA,Merced,County,Other,Other,2166,2.39,90554,Democratic
2020,California,CA,Modoc,County,Joe Biden,Democratic,1150,26.48,4343,Republican
2020,California,CA,Modoc,County,Donald Trump,Republican,3109,71.59,4343,Republican
2020,California,CA,Modoc,County,Other,Other,84,1.93,4343,Republican
2020,California,CA,Mono,County,Joe Biden,Democratic,4013,59.56,6738,Democratic
2020,California,CA,Mono,County,Donald Trump,Republican,2513,37.3,6738,Democratic
2020,California,CA,Mono,County,Other,Other,212,3.15,6738,Democratic
2020,California,CA,Monterey,County,Joe Biden,Democratic,113953,69.52,163923,Democratic
2020,California,CA,Monterey,County,Donald Trump,Republican,46299,28.24,163923,Democratic
2020,California,CA,Monterey,County,Other,Other,3671,2.24,163923,Democratic
2020,California,CA,Napa,County,Joe Biden,Democratic,49817,69.05,72150,Democratic
2020,California,CA,Napa,County,Donald Trump,Republican,20676,28.66,72150,Democratic
2020,California,CA,Napa,County,Other,Other,1657,2.3,72150,Democratic
2020,California,CA,Nevada,County,Joe Biden,Democratic,36359,56.15,64750,Democratic
2020,California,CA,Nevada,County,Donald Trump,Republican,26779,41.36,64750,Democratic
2020,California,CA,Nevada,County,Other,Other,1612,2.49,64750,Democratic
2020,California,CA,Orange,County,Joe Biden,Democratic,814009,53.48,1522113,Democratic
2020,California,CA,Orange,County,Donald Trump,Republican,676498,44.44,1522113,Democratic
2020,California,CA,Orange,County,Other,Other,31606,2.08,1522113,Democratic
2020,California,CA,Placer,County,Joe Biden,Democratic,106869,45.46,235084,Republican
2020,California,CA,Placer,County,Donald Trump,Republican,122488,52.1,235084,Republican
2020,California,CA,Placer,County,Other,Other,5727,2.44,235084,Republican
2020,California,CA,Plumas,County,Joe Biden,Democratic,4561,40.51,11260,Republican
2020,California,CA,Plumas,County,Donald Trump,Republican,6445,57.24,11260,Republican
2020,California,CA,Plumas,County,Other,Other,254,2.26,11260,Republican
2020,California,CA,Riverside,County,Joe Biden,Democratic,528340,52.98,997156,Democratic
2020,California,CA,Riverside,County,Donald Trump,Republican,449144,45.04,997156,Democratic
2020,California,CA,Riverside,County,Other,Other,19672,1.97,997156,Democratic
2020,California,CA,Sacramento,County,Joe Biden,Democratic,440808,61.36,718440,Democratic
2020,California,CA,Sacramento,County,Donald Trump,Republican,259405,36.11,718440,Democratic
2020,California,CA,Sacramento,County,Other,Other,18227,2.54,718440,Democratic
2020,California,CA,San Benito,County,Joe Biden,Democratic,17628,61.14,28830,Democratic
2020,California,CA,San Benito,County,Donald Trump,Republican,10590,36.73,28830,Democratic
2020,California,CA,San Benito,County,Other,Other,612,2.12,28830,Democratic
