year,state,state_code,county,subdivision_type,candidate,party,votes,percentage,total_votes,winning_party
1956,Alabama,AL,Autauga,County,Adlai Stevenson,Democratic,1161,50.77,2287,Democratic
1956,Alabama,AL,Autauga,County,Dwight D. Eisenhower,Republican,857,37.47,2287,Democratic
1956,Alabama,AL,Autauga,County,Unpledged electors,Independent,269,11.76,2287,Democratic
1956,Alabama,AL,Baldwin,County,Adlai Stevenson,Democratic,3878,46.08,8415,Republican
1956,Alabama,AL,Baldwin,County,Dwight D. Eisenhower,Republican,4293,51.02,8415,Republican
1956,Alabama,AL,Baldwin,County,Unpledged electors,Independent,244,2.9,8415,Republican
1956,Alabama,AL,Barbour,County,Adlai Stevenson,Democratic,2530,73.35,3449,Democratic
1956,Alabama,AL,Barbour,County,Dwight D. Eisenhower,Republican,777,22.53,3449,Democratic
1956,Alabama,AL,Barbour,County,Unpledged electors,Independent,142,4.12,3449,Democratic
1956,Alabama,AL,Bibb,County,Adlai Stevenson,Democratic,1471,56.97,2582,Democratic
1956,Alabama,AL,Bibb,County,Dwight D. Eisenhower,Republican,1004,38.88,2582,Democratic
1956,Alabama,AL,Bibb,County,Unpledged electors,Independent,107,4.14,2582,Democratic
1956,Alabama,AL,Blount,County,Adlai Stevenson,Democratic,3208,54.17,5922,Democratic
1956,Alabama,AL,Blount,County,Dwight D. Eisenhower,Republican,2628,44.38,5922,Democratic
1956,Alabama,AL,Blount,County,Unpledged electors,Independent,86,1.45,5922,Democratic
1956,Alabama,AL,Bullock,County,Adlai Stevenson,Democratic,812,64.86,1252,Democratic
1956,Alabama,AL,Bullock,County,Dwight D. Eisenhower,Republican,304,24.28,1252,Democratic
1956,Alabama,AL,Bullock,County,Unpledged electors,Independent,136,10.86,1252,Democratic
1956,Alabama,AL,Butler,County,Adlai Stevenson,Democratic,1958,55.42,3533,Democratic
1956,Alabama,AL,Butler,County,Dwight D. Eisenhower,Republican,1324,37.48,3533,Democratic
1956,Alabama,AL,Butler,County,Unpledged electors,Independent,251,7.1,3533,Democratic
