year,state,state_code,county,subdivision_type,candidate,party,votes,percentage,total_votes,winning_party
1948,Alabama,AL,Autauga,County,Strom Thurmond,Dixiecrat,1160,90.2,1286,Dixiecrat
1948,Alabama,AL,Autauga,County,Thomas E. Dewey,Republican,110,8.55,1286,Dixiecrat
1948,Alabama,AL,Autauga,County,Henry A. Wallace,Progressive,2,0.16,1286,Dixiecrat
1948,Alabama,AL,Autauga,County,Claude A. Watson,Prohibition,14,1.09,1286,Dixiecrat
1948,Alabama,AL,Baldwin,County,Strom Thurmond,Dixiecrat,2577,74.8,3445,Dixiecrat
1948,Alabama,AL,Baldwin,County,Thomas E. Dewey,Republican,767,22.26,3445,Dixiecrat
1948,Alabama,AL,Baldwin,County,Henry A. Wallace,Progressive,67,1.94,3445,Dixiecrat
1948,Alabama,AL,Baldwin,County,Claude A. Watson,Prohibition,34,0.99,3445,Dixiecrat
1948,Alabama,AL,Barbour,County,Strom Thurmond,Dixiecrat,1679,93.9,1788,Dixiecrat
1948,Alabama,AL,Barbour,County,Thomas E. Dewey,Republican,101,5.65,1788,Dixiecrat
1948,Alabama,AL,Barbour,County,Henry A. Wallace,Progressive,2,0.11,1788,Dixiecrat
1948,Alabama,AL,Barbour,County,Claude A. Watson,Prohibition,6,0.34,1788,Dixiecrat
1948,Alabama,AL,Bibb,County,Strom Thurmond,Dixiecrat,1188,88.46,1343,Dixiecrat
1948,Alabama,AL,Bibb,County,Thomas E. Dewey,Republican,123,9.16,1343,Dixiecrat
1948,Alabama,AL,Bibb,County,Henry A. Wallace,Progressive,8,0.6,1343,Dixiecrat
1948,Alabama,AL,Bibb,County,Claude A. Watson,Prohibition,24,1.79,1343,Dixiecrat
1948,Alabama,AL,Blount,County,Strom Thurmond,Dixiecrat,1768,68.98,2563,Dixiecrat
1948,Alabama,AL,Blount,County,Thomas E. Dewey,Republican,771,30.08,2563,Dixiecrat
1948,Alabama,AL,Blount,County,Henry A. Wallace,Progressive,2,0.08,2563,Dixiecrat
1948,Alabama,AL,Blount,County,Claude A. Watson,Prohibition,22,0.86,2563,Dixiecrat
1948,Alabama,AL,Bullock,County,Strom Thurmond,Dixiecrat,799,98.76,809,Dixiecrat
1948,Alabama,AL,Bullock,County,Thomas E. Dewey,Republican,10,1.24,809,Dixiecrat
