year,level,state,state_code,district,total_votes,candidate,party,votes,percentage,winner,incumbent,open_seat
1987,house,California,CA,5,73279,Nancy Pelosi,Democratic,46428,63.36,True,False,True
1987,house,California,CA,5,73279,Harriet Ross,Republican,22478,30.68,False,False,True
1987,house,California,CA,5,73279,Karen Edwards,Independent,1602,2.19,False,False,True
1987,house,California,CA,5,73279,Theodore Zurr,Freedom,1105,1.51,False,False,True
1987,house,California,CA,5,73279,Sam Grove,Libertarian,1007,1.37,False,False,True
1987,house,California,CA,5,73279,Catherine Renee Sedwick,Independent,659,0.9,False,False,True
