year,level,state,state_code,district,total_votes,candidate,party,votes,percentage,winner,incumbent,open_seat
2019,house,North Carolina,NC,9,190506,Dan Bishop,Republican,96573,50.69,True,False,True
2019,house,North Carolina,NC,9,190506,Dan McCready,Democratic,92785,48.7,False,False,True
2019,house,North Carolina,NC,9,190506,Jeff Scott,Libertarian,773,0.41,False,False,True
2019,house,North Carolina,NC,9,190506,Allen Smith,Green,375,0.2,False,False,True
2019,house,Pennsylvania,PA,12,132195,Fred Keller,Republican,90000,68.08,True,False,True
2019,house,Pennsylvania,PA,12,132195,Marc Friedenberg,Democratic,42195,31.92,False,False,True
