year,level,state,state_code,district,total_votes,candidate,party,votes,percentage,winner,incumbent,open_seat
1966,house,Alabama,AL,1,,Jack Edwards,Republican,,65.8,True,True,False
1966,house,Alabama,AL,1,,Warren L. Finch,Democratic,,34.2,False,False,False
1966,house,Alabama,AL,2,,William L. Dickinson,Republican,,54.6,True,True,False
1966,house,Alabama,AL,2,,Robert F. Whaley,Democratic,,45.4,False,False,False
1966,house,Alabama,AL,3,,George W. Andrews,Democratic,,100.0,True,True,False
1966,house,Alabama,AL,4,,Bill Nichols,Democratic,,58.4,True,False,False
1966,house,Alabama,AL,4,,Glenn Andrews,Republican,,41.6,False,True,False
1966,house,Alabama,AL,5,,Armistead I. Selden Jr.,Democratic,,100.0,True,True,False
1966,house,Alabama,AL,6,,John H. Buchanan Jr.,Republican,,63.4,True,True,False
1966,house,Alabama,AL,6,,Walter Emmett Perry,Democratic,,36.6,False,False,False
1966,house,Alabama,AL,7,,Tom Bevill,Democratic,,64.4,True,False,True
1966,house,Alabama,AL,7,,Wayman Sherrer,Republican,,35.6,False,False,True
1966,house,Alabama,AL,8,,Robert E. Jones Jr.,Democratic,,72.2,True,True,False
1966,house,Alabama,AL,8,,Don Mayhall,Republican,,27.8,False,False,False
1966,house,Alaska,AK,AL,65907,Howard Pollock,Republican,,51.6,True,False,False
1966,house,Alaska,AK,AL,65907,Ralph Rivers,Democratic,,48.4,False,True,False
1966,house,Arizona,AZ,1,,John Jacob Rhodes,Republican,,67.1,True,True,False
1966,house,Arizona,AZ,1,,L. Alton Riggs,Democratic,,32.9,False,False,False
1966,house,Arizona,AZ,2,,Mo Udall,Democratic,,59.6,True,True,False
1966,house,Arizona,AZ,2,,G. Alfred McGinnis,Republican,,40.4,False,False,False
1966,house,Arizona,AZ,3,,Sam Steiger,Republican,,56.9,True,False,False
1966,house,Arizona,AZ,3,,George F. Senner Jr.,Democratic,,43.1,False,True,False
1966,house,Arkansas,AR,1,,Ezekiel C. Gathings,Democratic,,100.0,True,True,False
1966,house,Arkansas,AR,2,,Wilbur Mills,Democratic,,100.0,True,True,False
1966,house,Arkansas,AR,3,,John Paul Hammerschmidt,Republican,,53.1,True,False,False
1966,house,Arkansas,AR,3,,James William Trimble,Democratic,,46.9,False,True,False
1966,house,Arkansas,AR,4,,David Pryor,Democratic,,65.0,True,False,True
1966,house,Arkansas,AR,4,,Lynn Lowe,Republican,,35.0,False,False,True
1966,house,California,CA,1,221643,Don Clausen,Republican,,65.1,True,True,False
1966,house,California,CA,1,221643,Thomas T. Storer,Democratic,77000,34.9,False,False,False
1966,house,California,CA,2,184952,Bizz Johnson,Democratic,,70.9,True,True,False
1966,house,California,CA,2,184952,William H. Romack Jr.,Republican,53753,29.1,False,False,False
1966,house,California,CA,3,212251,John E. Moss,Democratic,143177,67.5,True,True,False
1966,house,California,CA,3,212251,Terry G. Feil,Republican,69057,32.5,False,False,False
1966,house,California,CA,4,114286,Robert Leggett,Democratic,,59.5,True,True,False
1966,house,California,CA,4,114286,Tom McHatton,Republican,46337,40.5,False,False,False
1966,house,California,CA,5,79254,Phillip Burton,Democratic,56476,71.3,True,True,False
1966,house,California,CA,5,79254,Terry R. Macken,Republican,22778,28.7,False,False,False
1966,house,California,CA,6,173020,William S. Mailliard,Republican,132506,76.6,True,True,False
1966,house,California,CA,6,173020,Le Rue Grim,Democratic,40514,23.4,False,False,False
1966,house,California,CA,7,132484,Jeffery Cohelan,Democratic,84644,64.4,True,True,False
1966,house,California,CA,7,132484,Malcolm M. Champlin,Republican,46763,35.6,False,False,False
1966,house,California,CA,8,141014,George P. Miller,Democratic,92263,65.4,True,True,False
1966,house,California,CA,8,141014,Raymond P. Britton,Republican,48727,34.6,False,False,False
1966,house,California,CA,9,154110,Don Edwards,Democratic,97311,63.2,True,True,False
1966,house,California,CA,9,154110,Wilbur G. Durkee,Republican,56784,36.8,False,False,False
1966,house,California,CA,10,226572,Charles Gubser,Republican,,69.1,True,True,False
1966,house,California,CA,10,226572,George Leppert,Democratic,70013,30.9,False,False,False
1966,house,California,CA,11,191372,J. Arthur Younger,Republican,113679,59.4,True,True,False
1966,house,California,CA,11,191372,W. Mark Sullivan,Democratic,77605,40.6,False,False,False
1966,house,California,CA,12,139909,Burt Talcott,Republican,,77.3,True,True,False
1966,house,California,CA,12,139909,Gerald V. Barron,Democratic,31787,22.7,False,False,False
1966,house,California,CA,13,173010,Charles M. Teague,Republican,116701,67.5,True,True,False
1966,house,California,CA,13,173010,Charles A. Storke,Democratic,56240,32.5,False,False,False
1966,house,California,CA,14,192752,Jerome Waldie,Democratic,108668,56.4,True,True,False
1966,house,California,CA,14,192752,Frank Newman,Republican,,43.6,False,False,False
1966,house,California,CA,15,143288,John J. McFall,Democratic,81733,57.0,True,True,False
1966,house,California,CA,15,143288,Sam Van Dyken,Republican,61550,43.0,False,False,False
1966,house,California,CA,16,165579,B. F. Sisk,Democratic,,71.4,True,True,False
1966,house,California,CA,16,165579,Cecil F. White,Republican,47329,28.6,False,False,False
1966,house,California,CA,17,126584,Cecil R. King,Democratic,76962,60.8,True,True,False
1966,house,California,CA,17,126584,Don Cortum,Republican,49615,39.2,False,False,False
1966,house,California,CA,18,173058,Bob Mathias,Republican,96699,55.9,True,False,False
1966,house,California,CA,18,173058,Harlan Hagen,Democratic,76346,44.1,False,True,False
1966,house,California,CA,19,132706,Chet Holifield,Democratic,82592,62.3,True,True,False
1966,house,California,CA,19,132706,William R. Sutton,Republican,50068,37.7,False,False,False
1966,house,California,CA,20,175689,H. Allen Smith,Republican,128896,73.4,True,True,False
1966,house,California,CA,20,175689,Raymond Freschi,Democratic,46730,26.6,False,False,False
1966,house,California,CA,21,87522,Augustus Hawkins,Democratic,,84.8,True,True,False
1966,house,California,CA,21,87522,Rayfield Lundy,Republican,13294,15.2,False,False,False
1966,house,California,CA,22,176656,James C. Corman,Democratic,94420,53.5,True,True,False
1966,house,California,CA,22,176656,Bob Cline,Republican,,46.5,False,False,False
1966,house,California,CA,23,138474,Del M. Clawson,Republican,93320,67.4,True,True,False
1966,house,California,CA,23,138474,Ed O'Connor,Democratic,45141,32.6,False,False,False
1966,house,California,CA,24,194446,Glenard P. Lipscomb,Republican,148190,76.3,True,True,False
1966,house,California,CA,24,194446,Earl G. McNall,Democratic,46115,23.7,False,False,False
1966,house,California,CA,25,133512,Charles E. Wiggins,Republican,70154,52.6,True,False,False
1966,house,California,CA,25,133512,Ronald B. Cameron,Democratic,63345,47.4,False,True,False
1966,house,California,CA,26,165750,Thomas M. Rees,Democratic,103289,62.3,True,True,False
1966,house,California,CA,26,165750,Irving Teichner,Republican,62441,37.7,False,False,False
1966,house,California,CA,27,143717,Edwin Reinecke,Republican,93890,65.3,True,True,False
1966,house,California,CA,27,143717,"John A. ""Jack"" Howard",Democratic,49785,34.7,False,False,False
1966,house,California,CA,28,292491,Alphonzo E. Bell Jr.,Republican,211404,72.3,True,True,False
1966,house,California,CA,28,292491,"Lawrence ""Lorry"" Sherman",Democratic,81007,27.7,False,False,False
1966,house,California,CA,29,135202,George Brown Jr.,Democratic,69115,51.1,True,True,False
1966,house,California,CA,29,135202,Bill Orozco,Republican,66079,48.9,False,False,False
1966,house,California,CA,30,108699,Edward R. Roybal,Democratic,72173,66.4,True,True,False
1966,house,California,CA,30,108699,Henri O'Bryant Jr.,Republican,36506,33.6,False,False,False
1966,house,California,CA,31,146605,Charles H. Wilson,Democratic,92875,63.4,True,True,False
1966,house,California,CA,31,146605,Theodore Smith,Republican,53708,36.6,False,False,False
1966,house,California,CA,32,173954,Craig Hosmer,Republican,139328,80.1,True,True,False
1966,house,California,CA,32,173954,Tracy Odell,Democratic,34609,19.9,False,False,False
1966,house,California,CA,33,191480,Jerry Pettis,Republican,102401,53.5,True,False,False
1966,house,California,CA,33,191480,Kenneth W. Dyal,Democratic,89071,46.5,False,True,False
1966,house,California,CA,34,129391,Richard T. Hanna,Democratic,127976,55.8,True,True,False
1966,house,California,CA,34,129391,Frank LaMagna,Republican,101410,44.2,False,False,False
1966,house,California,CA,35,259476,James B. Utt,Republican,189582,73.1,True,True,False
1966,house,California,CA,35,259476,Thomas B. Lenhart,Democratic,69873,26.9,False,False,False
1966,house,California,CA,36,163979,Bob Wilson,Republican,119274,72.9,True,True,False
1966,house,California,CA,36,163979,William C. Godfrey,Democratic,,27.1,False,False,False
1966,house,California,CA,37,130940,Lionel Van Deerlin,Democratic,80060,61.2,True,True,False
1966,house,California,CA,37,130940,Samuel S. Vener,Republican,50817,38.8,False,False,False
1966,house,California,CA,38,152774,John V. Tunney,Democratic,83216,54.5,True,True,False
1966,house,California,CA,38,152774,Robert R. Barry,Republican,69444,45.5,False,False,False
1966,house,Colorado,CO,1,,Byron G. Rogers,Democratic,,56.0,True,True,False
1966,house,Colorado,CO,1,,Greg Pearson,Republican,,44.0,False,False,False
1966,house,Colorado,CO,2,,Donald G. Brotzman,Republican,,51.7,True,False,False
1966,house,Colorado,CO,2,,Roy H. McVicker,Democratic,,47.1,False,True,False
1966,house,Colorado,CO,2,,Joe Lucero,Independent,,1.2,False,False,False
1966,house,Colorado,CO,3,,Frank Evans,Democratic,,51.7,True,True,False
1966,house,Colorado,CO,3,,David W. Enoch,Republican,,48.3,False,False,False
1966,house,Colorado,CO,4,,Wayne N. Aspinall,Democratic,,58.6,True,True,False
1966,house,Colorado,CO,4,,James Paul Johnson,Republican,,41.4,False,False,False
1966,house,Connecticut,CT,1,,Emilio Q. Daddario,Democratic,,58.0,True,True,False
1966,house,Connecticut,CT,1,,John L. Bonee,Republican,,41.2,False,False,False
1966,house,Connecticut,CT,1,,Donald B. LaCroix,People's Choice,,0.8,False,False,False
1966,house,Connecticut,CT,2,,William St. Onge,Democratic,,56.2,True,True,False
1966,house,Connecticut,CT,2,,Joseph H. Goldberg,Republican,,43.2,False,False,False
