year,level,state,state_code,district,total_votes,candidate,party,votes,percentage,winner,incumbent,open_seat
2000,house,California,CA,6,294893,Alan Roy Barreca,Natural Law,,1.0,False,False,False
2000,house,California,CA,7,218150,George Miller,Democratic,159692,76.5,True,True,False
2000,house,California,CA,7,218150,Christopher Hoffman,Republican,,21.2,False,False,False
2000,house,California,CA,7,218150,Martin Sproul,Natural Law,4943,2.3,False,False,False
2000,house,California,CA,8,215428,Nancy Pelosi,Democratic,181847,84.5,True,True,False
2000,house,California,CA,8,215428,Adam Sparks,Republican,25298,11.7,False,False,False
2000,house,California,CA,8,215428,Erik Bauman,Libertarian,5645,2.6,False,False,False
2000,house,California,CA,8,215428,David Smithstein,Natural Law,2638,1.2,False,False,False
2000,house,California,CA,9,229917,Barbara Lee,Democratic,182352,85.0,True,True,False
2000,house,California,CA,9,229917,Arneze Washington,Republican,21033,9.8,False,False,False
2000,house,California,CA,9,229917,Fred Foldvary,Libertarian,,3.3,False,False,False
2000,house,California,CA,9,229917,Ellen Jefferds,Natural Law,4214,1.9,False,False,False
2000,house,California,CA,10,317830,Ellen Tauscher,Democratic,160429,52.7,True,True,False
2000,house,California,CA,10,317830,Claude B. Hutchison Jr.,Republican,134863,44.2,False,False,False
2000,house,California,CA,10,317830,Valerie Janlois,Libertarian,9527,3.1,False,False,False
2000,house,California,CA,11,213441,Richard Pombo,Republican,120635,57.9,True,True,False
2000,house,California,CA,11,213441,Tom Santos,Democratic,,38.1,False,False,False
2000,house,California,CA,11,213441,Kathryn Russow,Libertarian,,2.4,False,False,False
2000,house,California,CA,11,213441,Jon Kurey,Natural Law,,1.6,False,False,False
2000,house,California,CA,12,212556,Tom Lantos,Democratic,158404,74.6,True,True,False
2000,house,California,CA,12,212556,Mike Garza,Republican,44162,20.8,False,False,False
2000,house,California,CA,12,212556,Barbara Less,Libertarian,,3.0,False,False,False
2000,house,California,CA,12,212556,Rifkin Young,Natural Law,3559,1.6,False,False,False
2000,house,California,CA,13,196022,Pete Stark,Democratic,129012,70.5,True,True,False
2000,house,California,CA,13,196022,James Goetz,Republican,,24.3,False,False,False
2000,house,California,CA,13,196022,Howard Mora,Libertarian,4623,2.6,False,False,False
2000,house,California,CA,13,196022,Timothy Hoehner,Natural Law,,1.4,False,False,False
2000,house,California,CA,13,196022,Don Grundmann,American Independent,,1.2,False,False,False
2000,house,California,CA,14,239719,Anna Eshoo,Democratic,161720,70.3,True,True,False
2000,house,California,CA,14,239719,Bill Quraishi,Republican,59338,25.8,False,False,False
2000,house,California,CA,14,239719,Joseph Dehn III,Libertarian,,2.0,False,False,False
2000,house,California,CA,14,239719,John H. Black,Natural Law,,1.9,False,False,False
2000,house,California,CA,15,248276,Mike Honda,Democratic,128545,54.3,True,False,True
2000,house,California,CA,15,248276,Jim Cunneen,Republican,99866,42.2,False,False,True
2000,house,California,CA,15,248276,Ed Wimmers,Libertarian,4820,2.0,False,False,True
2000,house,California,CA,15,248276,Douglas Gorney,Natural Law,,1.5,False,False,True
2000,house,California,CA,16,172488,Zoe Lofgren,Democratic,115118,72.1,True,True,False
2000,house,California,CA,16,172488,Horace Gene Thayn,Republican,37213,23.3,False,False,False
2000,house,California,CA,16,172488,Dennis Michael Umphress,Libertarian,4742,3.0,False,False,False
2000,house,California,CA,16,172488,Edward Klein,Natural Law,,1.6,False,False,False
2000,house,California,CA,17,216359,Sam Farr,Democratic,143219,68.7,True,True,False
2000,house,California,CA,17,216359,Clint Engler,Republican,51557,24.7,False,False,False
2000,house,California,CA,17,216359,E. Craig Coffin,Green,8215,4.0,False,False,False
2000,house,California,CA,17,216359,Rick Garrett,Libertarian,,1.2,False,False,False
2000,house,California,CA,17,216359,Larry Fenton,Reform,2263,1.0,False,False,False
2000,house,California,CA,17,216359,Scott Hartley,Natural Law,,0.4,False,False,False
2000,house,California,CA,18,184545,Gary Condit,Democratic,118842,67.2,True,True,False
2000,house,California,CA,18,184545,Steve Wilson,Republican,,31.3,False,False,False
2000,house,California,CA,18,184545,Page Roth Riskin,Natural Law,2860,1.5,False,False,False
2000,house,California,CA,19,231153,George Radanovich,Republican,144517,65.0,True,True,False
2000,house,California,CA,19,231153,Dan Rosenberg,Democratic,70578,31.8,False,False,False
2000,house,California,CA,19,231153,Elizabeth Taylor,Libertarian,4264,1.9,False,False,False
2000,house,California,CA,19,231153,Bob Miller,Natural Law,1990,0.8,False,False,False
2000,house,California,CA,19,231153,Edmon Kaiser,American Independent,,0.5,False,False,False
2000,house,California,CA,20,128557,Cal Dooley,Democratic,66235,52.4,True,True,False
2000,house,California,CA,20,128557,Rich Rodriguez,Republican,57563,45.5,False,False,False
2000,house,California,CA,20,128557,Walter Kenneth Ruehlig,Natural Law,1416,1.1,False,False,False
2000,house,California,CA,20,128557,Arnold Kriegbaum,Libertarian,1320,1.0,False,False,False
2000,house,California,CA,21,200906,Bill Thomas,Republican,142539,71.6,True,True,False
2000,house,California,CA,21,200906,Pedro Martinez Jr.,Democratic,,24.8,False,False,False
2000,house,California,CA,21,200906,James R. S. Manion,Libertarian,7243,3.6,False,False,False
2000,house,California,CA,22,260602,Lois Capps,Democratic,135538,53.2,True,True,False
2000,house,California,CA,22,260602,Mike Stoker,Republican,113094,44.4,False,False,False
2000,house,California,CA,22,260602,Dick Porter,Reform,,0.9,False,False,False
2000,house,California,CA,22,260602,Joe Furcinite,Libertarian,2060,0.8,False,False,False
2000,house,California,CA,22,260602,Carlos Aguirre,Natural Law,,0.7,False,False,False
2000,house,California,CA,23,231881,Elton Gallegly,Republican,119479,54.1,True,True,False
2000,house,California,CA,23,231881,Michael Case,Democratic,89918,40.7,False,False,False
2000,house,California,CA,23,231881,Cary Savitch,Reform,6473,3.0,False,False,False
2000,house,California,CA,23,231881,Roger Peebles,Libertarian,3708,1.6,False,False,False
2000,house,California,CA,23,231881,Stephen Hospodar,Natural Law,,0.6,False,False,False
2000,house,California,CA,24,380235,Brad Sherman,Democratic,155398,66.1,True,True,False
2000,house,California,CA,24,380235,Jerry Doyle,Republican,70169,29.8,False,False,False
2000,house,California,CA,24,380235,Juan Carlos Ros,Libertarian,6966,2.9,False,False,False
2000,house,California,CA,24,380235,Michael Cuddehe,Natural Law,2911,1.2,False,False,False
2000,house,California,CA,25,239037,Buck McKeon,Republican,,62.3,True,True,False
2000,house,California,CA,25,239037,Sid Gold,Democratic,73921,33.2,False,False,False
2000,house,California,CA,25,239037,Bruce Acker,Libertarian,,3.2,False,False,False
2000,house,California,CA,25,239037,Mews Small,Natural Law,3010,1.3,False,False,False
2000,house,California,CA,26,130354,Howard Berman,Democratic,96500,84.1,True,True,False
2000,house,California,CA,26,130354,Bill Farley,Libertarian,13052,11.4,False,False,False
2000,house,California,CA,26,130354,David Cossak,Natural Law,,4.5,False,False,False
2000,house,California,CA,27,228609,Adam Schiff,Democratic,113708,52.7,True,False,False
2000,house,California,CA,27,228609,James E. Rogan,Republican,,43.9,False,True,False
2000,house,California,CA,27,228609,Ted Brown,Libertarian,3675,1.7,False,False,False
2000,house,California,CA,27,228609,Miriam Hospodar,Natural Law,,1.7,False,False,False
2000,house,California,CA,28,221868,David Dreier,Republican,116557,56.9,True,True,False
2000,house,California,CA,28,221868,Janice Nelson,Democratic,,39.9,False,False,False
2000,house,California,CA,28,221868,Randall Weissbuch,Libertarian,,1.3,False,False,False
2000,house,California,CA,28,221868,M. Lawrence Allison,Natural Law,,1.0,False,False,False
2000,house,California,CA,28,221868,Joe Haytas,American Independent,,0.9,False,False,False
2000,house,California,CA,29,260204,Henry Waxman,Democratic,180295,75.7,True,True,False
2000,house,California,CA,29,260204,Jim Scileppi,Republican,45784,19.3,False,False,False
2000,house,California,CA,29,260204,Jack C. Anderson,Libertarian,,3.3,False,False,False
2000,house,California,CA,29,260204,Bruce Currivan,Natural Law,4178,1.7,False,False,False
2000,house,California,CA,30,110604,Xavier Becerra,Democratic,83223,83.3,True,True,False
2000,house,California,CA,30,110604,Tony Goss,Republican,11788,11.8,False,False,False
2000,house,California,CA,30,110604,Jason Heath,Libertarian,,2.9,False,False,False
2000,house,California,CA,30,110604,Gary Hearne,Natural Law,,2.0,False,False,False
2000,house,California,CA,31,129794,Hilda Solis,Democratic,89600,79.4,True,False,False
2000,house,California,CA,31,129794,Krista Lieberg-Wong,Green,10294,9.1,False,False,False
2000,house,California,CA,31,129794,Michael McGuire,Libertarian,7138,6.3,False,False,False
2000,house,California,CA,31,129794,Richard Griffin,Natural Law,,5.2,False,False,False
2000,house,California,CA,32,181563,Julian Dixon,Democratic,,83.6,True,True,False
2000,house,California,CA,32,181563,Kathy Williamson,Republican,19924,12.2,False,False,False
2000,house,California,CA,32,181563,Bob Weber,Libertarian,3875,2.3,False,False,False
2000,house,California,CA,32,181563,Rashied Jibri,Natural Law,3281,1.9,False,False,False
2000,house,California,CA,33,80333,Lucille Roybal-Allard,Democratic,60510,84.6,True,True,False
2000,house,California,CA,33,80333,Wayne Miller,Republican,8260,11.6,False,False,False
2000,house,California,CA,33,80333,Nathan Craddock,Libertarian,,2.2,False,False,False
2000,house,California,CA,33,80333,William Harpur,Natural Law,1200,1.6,False,False,False
2000,house,California,CA,34,164083,Grace Napolitano,Democratic,105980,71.3,True,True,False
2000,house,California,CA,34,164083,Robert Arthur Canales,Republican,33445,22.5,False,False,False
2000,house,California,CA,34,164083,Julia Simon,Natural Law,,6.2,False,False,False
2000,house,California,CA,35,126566,Maxine Waters,Democratic,100569,86.6,True,True,False
2000,house,California,CA,35,126566,Carl McGill,Republican,12582,10.9,False,False,False
2000,house,California,CA,35,126566,Gordon Mego,American Independent,,1.6,False,False,False
2000,house,California,CA,35,126566,Rick Dunstan,Natural Law,1153,0.9,False,False,False
2000,house,California,CA,36,254385,Jane Harman,Democratic,115651,48.4,True,False,False
2000,house,California,CA,36,254385,Steven T. Kuykendall,Republican,111199,46.6,False,True,False
2000,house,California,CA,36,254385,Daniel Sherman,Libertarian,,2.6,False,False,False
2000,house,California,CA,36,254385,John Konopka,Reform,,1.4,False,False,False
2000,house,California,CA,36,254385,Matt Ornati,Natural Law,2264,0.9,False,False,False
2000,house,California,CA,37,125154,Juanita Millender-McDonald,Democratic,,82.4,True,True,False
2000,house,California,CA,37,125154,Vernon Van,Republican,12762,11.3,False,False,False
2000,house,California,CA,37,125154,Margaret Glazer,Natural Law,4094,3.6,False,False,False
2000,house,California,CA,37,125154,Herb Peters,Libertarian,3150,2.7,False,False,False
2000,house,California,CA,38,193896,Steve Horn,Republican,87266,48.5,True,True,False
2000,house,California,CA,38,193896,Gerrie Schipske,Democratic,,47.5,False,False,False
2000,house,California,CA,38,193896,Jack Neglia,Libertarian,3614,2.0,False,False,False
2000,house,California,CA,38,193896,Karen Blasdell-Wilkinson,Natural Law,3744,2.0,False,False,False
