year,level,state,state_code,district,total_votes,candidate,party,votes,percentage,winner,incumbent,open_seat
1948,house,Alabama,AL,1,,Frank W. Boykin,Democratic,,100.0,True,True,False
1948,house,Alabama,AL,2,,George M. Grant,Democratic,,100.0,True,True,False
1948,house,Alabama,AL,3,,George W. Andrews,Democratic,,100.0,True,True,False
1948,house,Alabama,AL,4,,Sam Hobbs,Democratic,,85.0,True,True,False
1948,house,Alabama,AL,4,,H. Hogan Stewart,Republican,,15.0,False,False,False
1948,house,Alabama,AL,5,,Albert Rains,Democratic,,100.0,True,True,False
1948,house,Alabama,AL,6,,Edward deGraffenried,Democratic,,82.3,True,False,False
1948,house,Alabama,AL,6,,William P. Ivey,Republican,,17.7,False,False,False
1948,house,Alabama,AL,7,,Carl Elliott,Democratic,,100.0,True,False,False
1948,house,Alabama,AL,8,,Robert E. Jones Jr.,Democratic,,88.4,True,True,False
1948,house,Alabama,AL,8,,Harry J. Frahn,Republican,,11.6,False,False,False
1948,house,Alabama,AL,9,,Laurie C. Battle,Democratic,,87.1,True,True,False
1948,house,Alabama,AL,9,,Hiram Dodd,Republican,,12.9,False,False,False
1948,house,Arizona,AZ,1,,John R. Murdock,Democratic,,58.4,True,False,False
1948,house,Arizona,AZ,1,,John Hunt Udall,Republican,,41.0,False,False,False
1948,house,Arizona,AZ,1,,A. E. Templin,Prohibition,,0.7,False,False,False
1948,house,Arizona,AZ,2,,Harold Patten,Democratic,,62.8,True,False,True
1948,house,Arizona,AZ,2,,Albert R. Buehman,Republican,,35.0,False,False,True
1948,house,Arizona,AZ,2,,John P. Foley,Progressive,,1.7,False,False,True
1948,house,Arizona,AZ,2,,T. C. Abbott,Prohibition,,0.4,False,False,True
1948,house,Arkansas,AR,1,,Ezekiel C. Gathings,Democratic,,100.0,True,True,False
1948,house,Arkansas,AR,2,,Wilbur Mills,Democratic,,100.0,True,True,False
1948,house,Arkansas,AR,3,,James William Trimble,Democratic,,100.0,True,True,False
1948,house,Arkansas,AR,4,,Boyd Anderson Tackett,Democratic,,100.0,True,False,True
1948,house,Arkansas,AR,5,,Brooks Hays,Democratic,,100.0,True,True,False
1948,house,Arkansas,AR,6,,William F. Norrell,Democratic,,100.0,True,True,False
1948,house,Arkansas,AR,7,,Oren Harris,Democratic,,100.0,True,True,False
1948,house,California,CA,1,152302,Hubert B. Scudder,Republican,82947,54.5,True,False,True
1948,house,California,CA,1,152302,Sterling J. Norgard,Democratic,68951,45.3,False,False,True
1948,house,California,CA,1,152302,Roger Kent,Write-in,,0.2,False,False,True
1948,house,California,CA,2,78555,Clair Engle,Democratic,78555,100.0,True,True,False
1948,house,California,CA,3,197449,J. Leroy Johnson,Republican,,84.4,True,True,False
1948,house,California,CA,3,197449,James B. Willard,Progressive,,15.6,False,False,False
1948,house,California,CA,4,144528,Franck R. Havenner,Democratic,73704,51.0,True,True,False
1948,house,California,CA,4,144528,William S. Mailliard,Republican,68875,47.7,False,False,False
1948,house,California,CA,4,144528,Francis J. McTernan Jr.,Progressive,1949,1.3,False,False,False
1948,house,California,CA,5,116347,Richard J. Welch,Republican,116347,100.0,True,True,False
1948,house,California,CA,6,194985,George P. Miller,Democratic,194985,100.0,True,True,False
1948,house,California,CA,7,152852,John J. Allen Jr.,Republican,78534,51.4,True,True,False
1948,house,California,CA,7,152852,Buell G. Gallagher,Democratic,74318,48.6,False,False,False
1948,house,California,CA,8,202413,Jack Z. Anderson,Republican,161743,79.9,True,True,False
1948,house,California,CA,8,202413,Paul Taylor,Progressive,40670,20.1,False,False,False
1948,house,California,CA,9,141962,Cecil F. White,Democratic,72826,51.3,True,False,False
1948,house,California,CA,9,141962,Bertrand W. Gearhart,Republican,66563,46.9,False,True,False
1948,house,California,CA,9,141962,Josephine F. Daniels,Progressive,2573,1.8,False,False,False
1948,house,California,CA,10,94616,Thomas H. Werdel,Republican,67448,71.3,True,False,True
1948,house,California,CA,10,94616,Sam James Miller,Progressive,27168,28.7,False,False,True
1948,house,California,CA,11,107882,Ernest K. Bramblett,Republican,87143,80.8,True,True,False
1948,house,California,CA,11,107882,Cole Weston,Progressive,14582,13.5,False,False,False
1948,house,California,CA,11,107882,George E. Outland,Write-in,,5.7,False,False,False
1948,house,California,CA,12,161140,Richard Nixon,Republican,141509,87.8,True,True,False
1948,house,California,CA,12,161140,Una W. Rice,Progressive,19631,12.2,False,False,False
1948,house,California,CA,13,119575,Norris Poulson,Republican,62951,52.6,True,True,False
1948,house,California,CA,13,119575,Ned R. Healy,Democratic,56624,47.4,False,False,False
1948,house,California,CA,14,137096,Helen Gahagan Douglas,Democratic,89581,65.3,True,True,False
1948,house,California,CA,14,137096,W. Wallace Braden,Republican,44611,32.5,False,False,False
1948,house,California,CA,14,137096,Sidney Moore,Progressive,2904,2.1,False,False,False
1948,house,California,CA,15,158940,Gordon L. McDonough,Republican,131933,83.0,True,True,False
1948,house,California,CA,15,158940,Maynard J. Omerberg,Progressive,27007,17.0,False,False,False
1948,house,California,CA,16,212466,Donald L. Jackson,Republican,121198,57.0,True,True,False
1948,house,California,CA,16,212466,Ellis E. Patterson,Democratic,91268,43.0,False,False,False
1948,house,California,CA,17,194782,Cecil R. King,Democratic,194782,100.0,True,True,False
1948,house,California,CA,18,206640,Clyde Doyle,Democratic,105687,51.1,True,False,False
1948,house,California,CA,18,206640,Willis W. Bradley,Republican,92721,44.9,False,True,False
1948,house,California,CA,18,206640,Stanley Moffatt,Progressive,8232,4.0,False,False,False
1948,house,California,CA,19,104526,Chet Holifield,Democratic,72900,69.7,True,True,False
1948,house,California,CA,19,104526,Joseph Francis Quigley,Republican,28698,27.5,False,False,False
1948,house,California,CA,19,104526,Jacob Berman,Progressive,1915,1.8,False,False,False
1948,house,California,CA,19,104526,Myra Tanner Weiss,Independent,1013,1.0,False,False,False
1948,house,California,CA,20,250942,John Carl Hinshaw,Republican,204710,81.6,True,True,False
1948,house,California,CA,20,250942,William B. Esterman,Progressive,46232,18.4,False,False,False
1948,house,California,CA,21,111216,Harry R. Sheppard,Democratic,61383,55.2,True,True,False
1948,house,California,CA,21,111216,Lowell E. Lathrop,Republican,47411,42.6,False,False,False
1948,house,California,CA,21,111216,Howard G. Louks,Progressive,,2.2,False,False,False
1948,house,California,CA,22,115697,John Phillips,Republican,,100.0,True,True,False
1948,house,California,CA,23,201689,Clinton D. McKinnon,Democratic,112534,55.8,True,False,False
1948,house,California,CA,23,201689,Charles K. Fletcher,Republican,87138,43.2,False,True,False
1948,house,California,CA,23,201689,Harry C. Steinmetz,Progressive,2017,1.0,False,False,False
1948,house,Colorado,CO,1,,John A. Carroll,Democratic,,64.8,True,True,False
1948,house,Colorado,CO,1,,Christopher F. Cusack,Republican,,35.2,False,False,False
1948,house,Colorado,CO,2,,William S. Hill,Republican,,51.9,True,True,False
1948,house,Colorado,CO,2,,George L. Bickel,Democratic,,48.1,False,False,False
1948,house,Colorado,CO,3,,John H. Marsalis,Democratic,,50.7,True,False,False
1948,house,Colorado,CO,3,,John Chenoweth,Republican,,49.3,False,True,False
1948,house,Colorado,CO,4,,Wayne N. Aspinall,Democratic,,51.9,True,False,False
1948,house,Colorado,CO,4,,Robert F. Rockwell,Republican,,48.1,False,True,False
1948,house,Connecticut,CT,1,,Abraham Ribicoff,Democratic,,54.7,True,False,False
1948,house,Connecticut,CT,1,,William J. Miller,Republican,,44.2,False,True,False
1948,house,Connecticut,CT,1,,Harold Conroy,People's,,1.1,False,False,False
1948,house,Connecticut,CT,2,,Chase G. Woodhouse,Democratic,,51.6,True,False,False
1948,house,Connecticut,CT,2,,Horace Seely-Brown Jr.,Republican,,48.4,False,True,False
1948,house,Connecticut,CT,3,,John A. McGuire,Democratic,,49.7,True,False,False
1948,house,Connecticut,CT,3,,Ellsworth Foote,Republican,,49.0,False,True,False
1948,house,Connecticut,CT,3,,John Marsalka,People's,,1.3,False,False,False
1948,house,Connecticut,CT,4,,John Davis Lodge,Republican,,55.2,True,True,False
1948,house,Connecticut,CT,4,,William Gaston,Democratic,,43.4,False,False,False
1948,house,Connecticut,CT,4,,Stanley W. Mayhew,Socialist,,1.5,False,False,False
1948,house,Connecticut,CT,5,,James T. Patterson,Republican,,51.1,True,True,False
1948,house,Connecticut,CT,5,,Vincent P. Kiernan,Democratic,,47.4,False,False,False
1948,house,Connecticut,CT,5,,Charles E. Didsbury,People's,,1.0,False,False,False
1948,house,Connecticut,CT,5,,William A. Sherman,Socialist,,0.5,False,False,False
1948,house,Connecticut,CT,AL,,Antoni Sadlak,Republican,,49.3,True,True,False
