year,level,state,state_code,district,total_votes,candidate,party,votes,percentage,winner,incumbent,open_seat
1964,house,Alabama,AL,1,,Jack Edwards,Republican,,59.9,True,False,True
1964,house,Alabama,AL,1,,John M. Tyson,Democratic,,40.1,False,False,True
1964,house,Alabama,AL,2,,William L. Dickinson,Republican,,61.7,True,False,False
1964,house,Alabama,AL,2,,George M. Grant,Democratic,,36.6,False,False,False
1964,house,Alabama,AL,2,,George Rivers,Independent,,1.7,False,False,False
1964,house,Alabama,AL,3,,George W. Andrews,Democratic,,100.0,True,False,False
1964,house,Alabama,AL,4,,Glenn Andrews,Republican,,58.6,True,False,False
1964,house,Alabama,AL,4,,Kenneth A. Roberts,Democratic,,40.6,False,False,False
1964,house,Alabama,AL,4,,Rod Lumley,Independent,,0.9,False,False,False
1964,house,Alabama,AL,5,,Armistead I. Selden Jr.,Democratic,,53.0,True,False,False
1964,house,Alabama,AL,5,,Robert French,Republican,,47.0,False,False,False
1964,house,Alabama,AL,6,,John H. Buchanan Jr.,Republican,,60.6,True,False,False
1964,house,Alabama,AL,6,,George Huddleston Jr.,Democratic,,39.4,False,False,False
1964,house,Alabama,AL,7,,James D. Martin,Republican,,59.6,True,False,True
1964,house,Alabama,AL,7,,George C. Hawkins,Democratic,,40.4,False,False,True
1964,house,Alabama,AL,8,,Robert E. Jones Jr.,Democratic,,100.0,True,False,False
1964,house,Alaska,AK,AL,67146,Ralph Rivers,Democratic,,51.5,True,True,False
1964,house,Alaska,AK,AL,67146,Lowell Thomas Jr.,Republican,32556,48.5,False,False,False
1964,house,Arizona,AZ,1,,John Jacob Rhodes,Republican,,55.3,True,True,False
1964,house,Arizona,AZ,1,,John Ahearn,Democratic,,44.7,False,False,False
1964,house,Arizona,AZ,2,,Mo Udall,Democratic,,58.7,True,True,False
1964,house,Arizona,AZ,2,,William E. Kimble,Republican,,41.3,False,False,False
1964,house,Arizona,AZ,3,,George F. Senner Jr.,Democratic,,51.5,True,True,False
1964,house,Arizona,AZ,3,,Sam Steiger,Republican,,48.5,False,False,False
1964,house,Arkansas,AR,1,,Ezekiel C. Gathings,Democratic,,100.0,True,True,False
1964,house,Arkansas,AR,2,,Wilbur Mills,Democratic,,100.0,True,True,False
1964,house,Arkansas,AR,3,,James William Trimble,Democratic,,54.7,True,True,False
1964,house,Arkansas,AR,3,,J. E. Hinshaw,Republican,,45.3,False,False,False
1964,house,Arkansas,AR,4,,Oren Harris,Democratic,,100.0,True,True,False
1964,house,California,CA,1,238710,Don Clausen,Republican,,59.1,True,True,False
1964,house,California,CA,1,238710,George McCabe,Democratic,97651,40.9,False,False,False
1964,house,California,CA,2,194620,Bizz Johnson,Democratic,,64.6,True,True,False
1964,house,California,CA,2,194620,Chester C. Merriam,Republican,68835,35.4,False,False,False
1964,house,California,CA,3,224332,John E. Moss,Democratic,166688,74.3,True,True,False
1964,house,California,CA,3,224332,Einar B. Gjelsteen,Republican,,25.7,False,False,False
1964,house,California,CA,4,118122,Robert Leggett,Democratic,,71.9,True,True,False
1964,house,California,CA,4,118122,Ivan Norris,Republican,33160,28.1,False,False,False
1964,house,California,CA,5,71639,Phillip Burton,Democratic,71638,100.0,True,True,False
1964,house,California,CA,6,197763,William S. Mailliard,Republican,125869,63.6,True,True,False
1964,house,California,CA,6,197763,Thomas P. O'Toole,Democratic,,36.4,False,False,False
1964,house,California,CA,7,192592,Jeffery Cohelan,Democratic,100901,66.1,True,True,False
1964,house,California,CA,7,192592,Lawrence E. McNutt,Republican,51675,33.9,False,False,False
1964,house,California,CA,8,154842,George P. Miller,Democratic,108771,70.3,True,True,False
1964,house,California,CA,8,154842,Donald E. McKay,Republican,46063,29.7,False,False,False
1964,house,California,CA,9,166229,Don Edwards,Democratic,115954,69.8,True,True,False
1964,house,California,CA,9,166229,William P. Hyde,Republican,,30.2,False,False,False
1964,house,California,CA,10,239277,Charles Gubser,Republican,,63.1,True,True,False
1964,house,California,CA,10,239277,E. Day Carman,Democratic,88240,36.9,False,False,False
1964,house,California,CA,11,211774,J. Arthur Younger,Republican,116022,54.8,True,True,False
1964,house,California,CA,11,211774,W. Mark Sullivan,Democratic,95747,45.2,False,False,False
1964,house,California,CA,12,150373,Burt Talcott,Republican,,61.9,True,True,False
1964,house,California,CA,12,150373,Sanford Bolz,Democratic,,38.1,False,False,False
1964,house,California,CA,13,182511,Charles M. Teague,Republican,104744,57.4,True,True,False
1964,house,California,CA,13,182511,George E. Taylor,Democratic,77763,42.6,False,False,False
1964,house,California,CA,14,180759,John F. Baldwin Jr.,Republican,117272,64.9,True,True,False
1964,house,California,CA,14,180759,Russell M. Koch,Democratic,63469,35.1,False,False,False
1964,house,California,CA,15,154552,John J. McFall,Democratic,109560,70.9,True,True,False
1964,house,California,CA,15,154552,Kenneth Gibson,Republican,44977,29.1,False,False,False
1964,house,California,CA,16,176340,B. F. Sisk,Democratic,,66.8,True,True,False
1964,house,California,CA,16,176340,David T. Harris,Republican,58604,33.2,False,False,False
1964,house,California,CA,17,141348,Cecil R. King,Democratic,95640,67.7,True,True,False
1964,house,California,CA,17,141348,Robert Muncaster,Republican,45688,32.3,False,False,False
1964,house,California,CA,18,181839,Harlan Hagen,Democratic,121304,66.7,True,True,False
1964,house,California,CA,18,181839,James E. Williams Jr.,Republican,60523,33.3,False,False,False
1964,house,California,CA,19,149693,Chet Holifield,Democratic,97934,65.4,True,True,False
1964,house,California,CA,19,149693,C. Everett Hunt,Republican,51747,34.6,False,False,False
1964,house,California,CA,20,195054,H. Allen Smith,Republican,132402,67.9,True,True,False
1964,house,California,CA,20,195054,C. Bernard Kaufman,Democratic,62645,32.1,False,False,False
1964,house,California,CA,21,117677,Augustus Hawkins,Democratic,,90.3,True,True,False
1964,house,California,CA,21,117677,Rayfield Lundy,Republican,11374,9.7,False,False,False
1964,house,California,CA,22,186294,James C. Corman,Democratic,94141,50.5,True,True,False
1964,house,California,CA,22,186294,Robert C. Cline,Republican,92133,49.5,False,False,False
1964,house,California,CA,23,163664,Del M. Clawson,Republican,90721,55.4,True,True,False
1964,house,California,CA,23,163664,H. O. Van Petten,Democratic,,44.6,False,False,False
1964,house,California,CA,24,205758,Glenard P. Lipscomb,Republican,139784,67.9,True,True,False
1964,house,California,CA,24,205758,Bryan W. Stevens,Democratic,65967,32.1,False,False,False
1964,house,California,CA,25,146672,Ronald B. Cameron,Democratic,81320,55.4,True,True,False
1964,house,California,CA,25,146672,Frank J. Walton,Republican,65344,44.6,False,False,False
1964,house,California,CA,26,193247,James Roosevelt,Democratic,136025,70.4,True,True,False
1964,house,California,CA,26,193247,Gil Seton,Republican,57209,29.6,False,False,False
1964,house,California,CA,27,160743,Edwin Reinecke,Republican,83141,51.7,True,False,True
1964,house,California,CA,27,160743,Tom Bane,Democratic,77587,48.3,False,False,True
1964,house,California,CA,28,313366,Alphonzo E. Bell Jr.,Republican,205473,65.6,True,True,False
1964,house,California,CA,28,313366,Gerald H. Gottlieb,Democratic,,34.4,False,False,False
1964,house,California,CA,29,154049,George Brown Jr.,Democratic,90208,58.6,True,True,False
1964,house,California,CA,29,154049,Charles J. Farrington Jr.,Republican,63836,41.4,False,False,False
1964,house,California,CA,30,136248,Edward R. Roybal,Democratic,90329,66.3,True,True,False
1964,house,California,CA,30,136248,Alfred J. Feder,Republican,45912,33.7,False,False,False
1964,house,California,CA,31,178529,Charles H. Wilson,Democratic,114246,64.0,True,True,False
1964,house,California,CA,31,178529,Norman G. Shanahan,Republican,64256,36.0,False,False,False
1964,house,California,CA,32,192385,Craig Hosmer,Republican,132603,68.9,True,True,False
1964,house,California,CA,32,192385,Michael Cullen,Democratic,59765,31.1,False,False,False
1964,house,California,CA,33,210830,Kenneth W. Dyal,Democratic,109047,51.7,True,False,True
1964,house,California,CA,33,210830,Jerry Pettis,Republican,101742,48.3,False,False,True
1964,house,California,CA,34,236206,Richard T. Hanna,Democratic,137588,58.3,True,True,False
1964,house,California,CA,34,236206,Robert A. Geier,Republican,98606,41.7,False,False,False
1964,house,California,CA,35,258101,James B. Utt,Republican,167791,65.0,True,True,False
1964,house,California,CA,35,258101,Paul B. Carpenter,Democratic,90295,35.0,False,False,False
1964,house,California,CA,36,178395,Bob Wilson,Republican,105346,59.1,True,True,False
1964,house,California,CA,36,178395,Quintin Whelan,Democratic,73034,40.9,False,False,False
1964,house,California,CA,37,147008,Lionel Van Deerlin,Democratic,85624,58.2,True,True,False
1964,house,California,CA,37,147008,Dick Wilson,Republican,61373,41.8,False,False,False
1964,house,California,CA,38,162187,John V. Tunney,Democratic,85661,52.8,True,False,False
1964,house,California,CA,38,162187,Patrick M. Martin,Republican,76525,47.2,False,True,False
1964,house,Colorado,CO,1,,Byron G. Rogers,Democratic,,67.5,True,True,False
1964,house,Colorado,CO,1,,Glenn R. Jones,Republican,,31.9,False,False,False
1964,house,Colorado,CO,1,,Allen D. Taplin,Socialist Workers,,0.6,False,False,False
1964,house,Colorado,CO,2,,Roy H. McVicker,Democratic,,50.6,True,False,False
1964,house,Colorado,CO,2,,Donald G. Brotzman,Republican,,49.4,False,True,False
1964,house,Colorado,CO,3,,Frank Evans,Democratic,,51.2,True,False,False
1964,house,Colorado,CO,3,,John Chenoweth,Republican,,48.8,False,True,False
1964,house,Colorado,CO,4,,Wayne N. Aspinall,Democratic,,63.0,True,True,False
1964,house,Colorado,CO,4,,Edwin S. Lamm,Republican,,37.0,False,False,False
1964,house,Connecticut,CT,1,,Emilio Q. Daddario,Democratic,,70.0,True,True,False
1964,house,Connecticut,CT,1,,James F. Collins,Republican,,30.0,False,False,False
1964,house,Connecticut,CT,2,,William St. Onge,Democratic,,63.3,True,True,False
1964,house,Connecticut,CT,2,,Belton A. Copp,Republican,,36.7,False,False,False
1964,house,Connecticut,CT,3,,Robert Giaimo,Democratic,,63.9,True,True,False
1964,house,Connecticut,CT,3,,Bernard J. Burns,Republican,,36.1,False,False,False
1964,house,Connecticut,CT,4,,Donald J. Irwin,Democratic,,51.8,True,False,False
1964,house,Connecticut,CT,4,,Abner W. Sibal,Republican,,48.2,False,True,False
1964,house,Connecticut,CT,5,,John S. Monagan,Democratic,,67.3,True,True,False
1964,house,Connecticut,CT,5,,Charles W. Terrell Jr.,Republican,,32.7,False,False,False
1964,house,Connecticut,CT,6,,Bernard F. Grabowski,Democratic,,58.7,True,False,False
1964,house,Connecticut,CT,6,,Thomas Meskill,Republican,,41.3,False,False,False
1964,house,Delaware,DE,AL,198871,Harris McDowell,Democratic,112361,56.6,True,True,False
1964,house,Delaware,DE,AL,198871,James H. Snowden,Republican,86254,43.4,False,False,False
1964,house,Delaware,DE,AL,198871,La Forest,Socialist Labor,256,0.04,False,False,False
1964,house,Florida,FL,1,,Bob Sikes,Democratic,,100.0,True,True,True
1964,house,Florida,FL,2,,Charles E. Bennett,Democratic,,72.7,True,True,False
1964,house,Florida,FL,2,,William T. Stockton Jr.,Republican,,27.3,False,False,False
1964,house,Florida,FL,3,,Claude Pepper,Democratic,,65.7,True,True,False
1964,house,Florida,FL,3,,Paul J. O'Neill,Republican,,34.3,False,False,False
1964,house,Florida,FL,4,,Dante Fascell,Democratic,,63.9,True,True,False
1964,house,Florida,FL,4,,Jay McGlon,Republican,,36.1,False,False,False
1964,house,Florida,FL,5,,Syd Herlong,Democratic,,100.0,True,True,False
1964,house,Florida,FL,6,,Paul Rogers,Democratic,,66.0,True,True,False
1964,house,Florida,FL,6,,John D. Steele,Republican,,34.0,False,False,False
1964,house,Florida,FL,7,,James A. Haley,Democratic,,100.0,True,True,False
1964,house,Florida,FL,8,,D. R. Matthews,Democratic,,100.0,True,True,False
1964,house,Florida,FL,9,,Don Fuqua,Democratic,,100.0,True,True,False
1964,house,Florida,FL,10,,Sam Gibbons,Democratic,,100.0,True,True,False
1964,house,Florida,FL,11,,Edward Gurney,Republican,,60.6,True,True,False
1964,house,Florida,FL,11,,Thomas S. Kenney,Democratic,,39.4,False,False,False
1964,house,Florida,FL,12,,William C. Cramer,Republican,,60.6,True,True,False
1964,house,Florida,FL,12,,F. Marion Harrelson,Democratic,,39.4,False,False,False
1964,house,Georgia,GA,1,,G. Elliott Hagan,Democratic,,72.3,True,True,False
1964,house,Georgia,GA,1,,Milton Lent,Independent,,27.7,False,False,False
1964,house,Georgia,GA,2,,Maston E. O'Neal Jr.,Democratic,,100.0,True,False,True
1964,house,Georgia,GA,3,,Bo Callaway,Republican,,57.2,True,False,True
1964,house,Georgia,GA,3,,Garland T. Byrd,Democratic,,42.8,False,False,True
1964,house,Georgia,GA,4,,James MacKay,Democratic,,56.9,True,False,True
1964,house,Georgia,GA,4,,Roscoe Pickett,Republican,,43.1,False,False,True
1964,house,Georgia,GA,5,,Charles L. Weltner,Democratic,,54.0,True,True,False
