year,level,state,state_code,district,total_votes,candidate,party,votes,percentage,winner,incumbent,open_seat
1940,house,Alabama,AL,1,,Frank W. Boykin,Democratic,,100.0,True,True,False
1940,house,Alabama,AL,2,,George M. Grant,Democratic,,100.0,True,True,False
1940,house,Alabama,AL,3,,Henry B. Steagall,Democratic,,99.6,True,True,False
1940,house,Alabama,AL,3,,Thomas G. McNaron,Republican,,0.4,False,False,False
1940,house,Alabama,AL,4,,Sam Hobbs,Democratic,,87.9,True,True,False
1940,house,Alabama,AL,4,,Thomas G. McNaron,Republican,,12.1,False,False,False
1940,house,Alabama,AL,5,,Joe Starnes,Democratic,,100.0,True,True,False
1940,house,Alabama,AL,6,,Pete Jarman,Democratic,,100.0,True,True,False
1940,house,Alabama,AL,7,,Walter W. Bankhead,Democratic,,70.9,True,False,True
1940,house,Alabama,AL,7,,A. W. Hargett,Republican,,29.1,False,False,True
1940,house,Alabama,AL,8,,John Sparkman,Democratic,,100.0,True,True,False
1940,house,Alabama,AL,9,,Luther Patrick,Democratic,,99.1,True,True,False
1940,house,Alabama,AL,9,,W. A. Denson,Independent,,0.9,False,False,False
1940,house,Arizona,AZ,AL,,John R. Murdock,Democratic,,71.1,True,True,False
1940,house,Arizona,AZ,AL,,K. T. Palmer,Republican,,28.9,False,False,False
1940,house,Arkansas,AR,1,,Ezekiel C. Gathings,Democratic,,100.0,True,True,False
1940,house,Arkansas,AR,2,,Wilbur Mills,Democratic,,100.0,True,True,False
1940,house,Arkansas,AR,3,,Clyde T. Ellis,Democratic,,71.1,True,True,False
1940,house,Arkansas,AR,3,,Claude M. Williams,Republican,,28.9,False,False,False
1940,house,Arkansas,AR,4,,William Fadjo Cravens,Democratic,,100.0,True,True,False
1940,house,Arkansas,AR,5,,David D. Terry,Democratic,,100.0,True,True,False
1940,house,Arkansas,AR,6,,William F. Norrell,Democratic,,100.0,True,True,False
1940,house,Arkansas,AR,7,,Oren Harris,Democratic,,100.0,True,False,False
1940,house,California,CA,1,111022,Clarence F. Lea,Democratic,103547,93.3,True,True,False
1940,house,California,CA,1,111022,Albert J. Lima,Communist,5647,5.1,False,False,False
1940,house,California,CA,1,111022,Ernest S. Mitchell,Write-in,,1.6,False,False,False
1940,house,California,CA,2,71033,Harry Lane Englebright,Republican,71033,100.0,True,True,False
1940,house,California,CA,3,148873,Frank H. Buck,Democratic,135461,91.0,True,True,False
1940,house,California,CA,3,148873,C. H. Farman,Prohibition,10539,7.1,False,False,False
1940,house,California,CA,3,148873,Charles Gricus,Communist,2751,1.8,False,False,False
1940,house,California,CA,4,138032,Thomas Rolph,Republican,75369,54.6,True,False,False
1940,house,California,CA,4,138032,Franck R. Havenner,Democratic,61341,44.4,False,True,False
1940,house,California,CA,4,138032,Archie Brown,Communist,1322,1.0,False,False,False
1940,house,California,CA,5,124354,Richard J. Welch,Republican,119122,95.8,True,True,False
1940,house,California,CA,5,124354,Walter R. Lambert,Communist,5232,4.2,False,False,False
1940,house,California,CA,6,137010,Albert E. Carter,Republican,131584,96.0,True,True,False
1940,house,California,CA,6,137010,Clarence Paton,Communist,5426,4.0,False,False,False
1940,house,California,CA,7,131353,John H. Tolan,Democratic,72838,55.5,True,True,False
1940,house,California,CA,7,131353,Ralph R. Eltse,Republican,56808,43.2,False,False,False
1940,house,California,CA,7,131353,Alfred N. Johnson,Communist,1707,1.3,False,False,False
1940,house,California,CA,8,153403,Jack Z. Anderson,Republican,148180,96.6,True,True,False
1940,house,California,CA,8,153403,Elizabeth Nicholas,Communist,,3.4,False,False,False
1940,house,California,CA,8,153403,John J. McGrath,Write-in,,0.02,False,False,False
1940,house,California,CA,9,99708,Bertrand W. Gearhart,Republican,99708,100.0,True,True,False
1940,house,California,CA,10,129671,Alfred J. Elliott,Democratic,125845,97.0,True,True,False
1940,house,California,CA,10,129671,Louretta Adams,Communist,3826,3.0,False,False,False
1940,house,California,CA,11,176507,John Carl Hinshaw,Republican,170504,96.6,True,True,False
1940,house,California,CA,11,176507,Orla E. Lair,Communist,6003,3.4,False,False,False
1940,house,California,CA,12,155377,Jerry Voorhis,Democratic,99494,64.0,True,True,False
1940,house,California,CA,12,155377,Irwin W. Minger,Republican,,35.2,False,False,False
1940,house,California,CA,12,155377,Albert Lewis,Communist,1152,0.7,False,False,False
1940,house,California,CA,13,168007,Charles Kramer,Democratic,127167,75.7,True,True,False
1940,house,California,CA,13,168007,Charles Hiram Randall,Prohibition,,21.7,False,False,False
1940,house,California,CA,13,168007,Celeste Strack,Communist,4434,2.6,False,False,False
1940,house,California,CA,14,113808,Thomas F. Ford,Democratic,73137,64.3,True,True,False
1940,house,California,CA,14,113808,Herbert L. Herberts,Republican,37939,33.3,False,False,False
1940,house,California,CA,14,113808,Pettis Perry,Communist,2732,2.4,False,False,False
1940,house,California,CA,15,168106,John M. Costello,Democratic,94435,56.2,True,True,False
1940,house,California,CA,15,168106,Norris J. Nelson,Republican,71667,42.6,False,False,False
