year,state,state_code,office,candidate,party,percentage,winner,incumbent
1952,Arizona,AZ,governor,J. Howard Pyle,Republican,60.2,True,True
1952,Arizona,AZ,governor,Joe C. Haldiman,Democratic,39.8,False,False
1952,Arkansas,AR,governor,Francis Cherry,Democratic,87.4,True,False
1952,Arkansas,AR,governor,Jefferson W. Speck,Republican,12.6,False,False
1952,Colorado,CO,governor,Daniel I. J. Thornton,Republican,57.1,True,True
1952,Colorado,CO,governor,John W. Metzger,Democratic,42.4,False,False
1952,Colorado,CO,governor,Louis K. Stephens,Labor,0.5,False,False
1952,Delaware,DE,governor,J. Caleb Boggs,Republican,52.1,True,False
1952,Delaware,DE,governor,Elbert N. Carvel,Democratic,47.9,False,True
1952,Florida,FL,governor,Daniel T. McCarty,Democratic,74.8,True,False
1952,Florida,FL,governor,Harry S. Swan,Republican,25.2,False,False
1952,Illinois,IL,governor,William Stratton,Republican,52.5,True,False
1952,Illinois,IL,governor,Sherwood Dixon,Democratic,47.3,False,False
1952,Illinois,IL,governor,Louis Fisher,Labor,0.2,False,False
1952,Indiana,IN,governor,George N. Craig,Republican,55.7,True,False
1952,Indiana,IN,governor,John A. Watkins,Democratic,43.6,False,False
1952,Indiana,IN,governor,Lester N. Abel,Prohibition,0.65,False,False
1952,Indiana,IN,governor,Samuel Boorda,Progressive,0.05,False,False
1952,Indiana,IN,governor,Charles Ginsberg,Labor,0.04,False,False
1952,Iowa,IA,governor,William S. Beardsley,Republican,51.9,True,True
1952,Iowa,IA,governor,Herschel C. Loveless,Democratic,47.8,False,False
1952,Iowa,IA,governor,Z. Everett Kellum,Prohibition,0.23,False,False
1952,Iowa,IA,governor,Ernest J. Seemann,Independent,0.1,False,False
1952,Kansas,KS,governor,Edward F. Arn,Republican,56.3,True,True
1952,Kansas,KS,governor,Charles Rooney,Democratic,41.7,False,False
1952,Kansas,KS,governor,David C. White,Prohibition,1.8,False,False
1952,Kansas,KS,governor,W.W. Tamplin,Socialist,0.22,False,False
1952,Maine,ME,governor,Burton M. Cross,Republican,51.7,True,False
1952,Maine,ME,governor,James C. Oliver,Democratic,33.2,False,False
1952,Maine,ME,governor,Neil S. Bishop,Independent Republican,14.4,False,False
1952,Maine,ME,governor,Henry W. Boyker,Independent,0.66,False,False
1952,Massachusetts,MA,governor,Christian Herter,Republican,49.91,True,False
1952,Massachusetts,MA,governor,Paul A. Dever,Democratic,49.29,False,True
