year,state,state_code,office,election,row_type,candidate,party,votes,percentage,winner,incumbent
1986,Alabama,AL,governor,1986 Alabama gubernatorial election,Winning,Guy Hunt,Republican,696203,56.45,True,False
1986,Alabama,AL,governor,1986 Alabama gubernatorial election,Candidate,Bill Baxley,Democratic,537163,43.55,False,False
1986,Alabama,AL,governor,1986 Alabama gubernatorial election,Total,,,1233366,100.0,False,False
1986,Alaska,AK,governor,1986 Alaska gubernatorial election,Winning,Steve Cowper,Democratic,84943,47.31,True,False
1986,Alaska,AK,governor,1986 Alaska gubernatorial election,Candidate,Arliss Sturgulewski,Republican,76515,42.61,False,False
1986,Alaska,AK,governor,1986 Alaska gubernatorial election,Candidate,Joe Vogler,Independence,10013,5.58,False,False
1986,Alaska,AK,governor,1986 Alaska gubernatorial election,Candidate,Mary Jane O'Brannon,Libertarian,1050,0.58,False,False
1986,Alaska,AK,governor,1986 Alaska gubernatorial election,Write-in,[[Write-in Candidate|Write-in Votes]],Write-in Votes,7034,3.92,False,False
1986,Arizona,AZ,governor,"Arizona gubernatorial election, 1986",Winning,Evan Mecham,Republican,343913,39.67,True,False
1986,Arizona,AZ,governor,"Arizona gubernatorial election, 1986",Candidate,Carolyn Warner,Democratic,298986,34.49,False,False
1986,Arizona,AZ,governor,"Arizona gubernatorial election, 1986",Candidate,Bill Schulz,Independent,224085,25.85,False,False
1986,Arizona,AZ,governor,"Arizona gubernatorial election, 1986",Total,,,866984,100.0,False,False
1986,California,CA,governor,1986 California gubernatorial election,Winning,George Deukmejian,Republican,4506601,60.54,True,True
1986,California,CA,governor,1986 California gubernatorial election,Candidate,Tom Bradley,Democratic,2781714,37.37,False,False
1986,California,CA,governor,1986 California gubernatorial election,Candidate,Joseph Fuhrig,Libertarian,52628,0.71,False,False
1986,California,CA,governor,1986 California gubernatorial election,Candidate,Maria Elizabeth Muñoz,Freedom,51995,0.7,False,False
1986,California,CA,governor,1986 California gubernatorial election,Candidate,Gary V. Miller,Independent,50547,0.68,False,False
1986,California,CA,governor,1986 California gubernatorial election,Candidate,Scattering,,66,0.0,False,False
1986,California,CA,governor,1986 California gubernatorial election,Total,,,7443551,100.0,False,False
1986,Colorado,CO,governor,1986 Colorado gubernatorial election,Winning,Roy Romer,Democratic,616325,58.2,True,False
1986,Colorado,CO,governor,1986 Colorado gubernatorial election,Candidate,Ted L. Strickland,Republican,434420,41.03,False,False
1986,Colorado,CO,governor,1986 Colorado gubernatorial election,Candidate,Earl Dodge,Prohibition,8183,0.77,False,False
1986,Florida,FL,governor,"Florida gubernatorial election, 1986",Winning,Bob Martinez,Republican,1847525,54.56,True,False
1986,Florida,FL,governor,"Florida gubernatorial election, 1986",Candidate,Steve Pajcic,Democratic,1538620,45.44,False,False
1986,Florida,FL,governor,"Florida gubernatorial election, 1986",Write-in,,,27,0.0,False,False
1986,Georgia,GA,governor,"Georgia gubernatorial election, 1986",Winning,Joe Frank Harris,Democratic,828465,70.51,True,True
1986,Georgia,GA,governor,"Georgia gubernatorial election, 1986",Candidate,Guy Davis,Republican,346512,29.49,False,False
1986,Hawaii,HI,governor,"Hawaii gubernatorial election, 1986",Winning,John D. Waihe'e III,Democratic,173655,51.98,True,False
1986,Hawaii,HI,governor,"Hawaii gubernatorial election, 1986",Candidate,D. G. Anderson,Republican,160460,48.02,False,False
1986,Illinois,IL,governor,1986 Illinois gubernatorial election,Winning,James R. Thompson (incumbent)/ George Ryan,Republican,1655849,52.67,True,True
1986,Illinois,IL,governor,1986 Illinois gubernatorial election,Candidate,Adlai Stevenson III/ Mike Howlett,Solidarity Party (illinois),1256626,39.97,False,False
1986,Illinois,IL,governor,1986 Illinois gubernatorial election,Candidate,No candidate/ Mark Fairchild,Democratic,208830,6.64,False,False
1986,Illinois,IL,governor,1986 Illinois gubernatorial election,Candidate,Gary L. Shilts/ Gerry Walsh,Libertarian,15646,0.5,False,False
1986,Illinois,IL,governor,1986 Illinois gubernatorial election,Candidate,Diane Roling/ Jim Little,Workers,6843,0.22,False,False
1986,Illinois,IL,governor,1986 Illinois gubernatorial election,Candidate,Charles E. Koen,Write-in,141,0.01,False,False
1986,Illinois,IL,governor,1986 Illinois gubernatorial election,Candidate,Wilbur L. Keeling,Write-in,30,0.0,False,False
1986,Illinois,IL,governor,1986 Illinois gubernatorial election,Candidate,David L. Bernabie,Write-in,13,0.0,False,False
1986,Iowa,IA,governor,1986 Iowa gubernatorial election,Winning,Terry Branstad,Republican,472712,51.91,True,True
1986,Iowa,IA,governor,1986 Iowa gubernatorial election,Candidate,Lowell Junkins,Democratic,436987,47.99,False,False
