year,state,state_code,office,election,row_type,candidate,party,votes,percentage,winner,incumbent
1988,Montana,MT,governor,Democratic Party primary results,Winning,Thomas Lee Judge,Democratic,46412,39.31,True,False
1988,Montana,MT,governor,Democratic Party primary results,Candidate,"Frank B. Morrison, Jr.",Democratic,32124,27.21,False,False
1988,Montana,MT,governor,Democratic Party primary results,Candidate,Mike Greely,Democratic,26827,22.72,False,False
1988,Montana,MT,governor,Democratic Party primary results,Candidate,Ted Neuman,Democratic,7297,6.18,False,False
1988,Montana,MT,governor,Democratic Party primary results,Candidate,"Martin J. ""Red"" Beckman",Democratic,3360,2.85,False,False
1988,Montana,MT,governor,Democratic Party primary results,Candidate,Curly Thornton,Democratic,2038,1.73,False,False
1988,Montana,MT,governor,Democratic Party primary results,Total,,,118058,100.0,False,False
1988,Montana,MT,governor,Republican Primary results,Winning,Stan Stephens,Republican,44022,50.07,True,False
1988,Montana,MT,governor,Republican Primary results,Candidate,Carl Winslow,Republican,37875,43.08,False,False
1988,Montana,MT,governor,Republican Primary results,Candidate,Jim Waltermire,Republican,6024,6.85,False,False
1988,Montana,MT,governor,Republican Primary results,Total,,,87921,100.0,False,False
1988,North Carolina,NC,governor,1988 NC Governor Democratic Primary Election Results,Candidate,Robert B. Jordan,Democratic,404620,79.2,False,False
1988,North Carolina,NC,governor,1988 NC Governor Democratic Primary Election Results,Candidate,Billy Martin,Democratic,60770,11.97,False,False
1988,North Carolina,NC,governor,1988 NC Governor Democratic Primary Election Results,Candidate,Carrol W. Crawford,Democratic,21884,4.3,False,False
1988,North Carolina,NC,governor,1988 NC Governor Democratic Primary Election Results,Candidate,James Lloyd,Democratic,10438,2.06,False,False
1988,North Carolina,NC,governor,1988 NC Governor Democratic Primary Election Results,Candidate,Bruce A. Friedman,Democratic,9876,1.95,False,False
1988,Rhode Island,RI,governor,Democratic primary results,Winning,Bruce Sundlun,Democratic,68065,90.28,True,False
1988,Rhode Island,RI,governor,Democratic primary results,Candidate,Peter Van Daam,Democratic,7328,9.72,False,False
1988,Rhode Island,RI,governor,Democratic primary results,Total,,,75393,100.0,False,False
1988,Utah,UT,governor,"Republican convention, 11 June 1988",Winning,Norm Bangerter,Republican,1502,80.6,True,True
1988,Utah,UT,governor,"Republican convention, 11 June 1988",Candidate,W. Dean Samuels,Republican,361,19.4,False,False
1988,Utah,UT,governor,"Republican convention, 11 June 1988",Candidate,Merrill Cook,Write-in,1,0.1,False,False
1988,Utah,UT,governor,"Republican convention, 11 June 1988",Total,,,1864,,False,False
1988,Utah,UT,governor,"Democratic convention, 25 June 1988",Winning,Ted Wilson,Democratic,1654,97.4,True,False
1988,Utah,UT,governor,"Democratic convention, 25 June 1988",Candidate,David E. Hewett,Democratic,44,2.6,False,False
1988,Utah,UT,governor,"Democratic convention, 25 June 1988",Total,,,1698,,False,False
1988,Utah,UT,governor,"American Party convention, 25 June 1988",Winning,Arly H. Pedersen,American Party (1969),42,77.8,True,False
1988,Utah,UT,governor,"American Party convention, 25 June 1988",Candidate,Lawrence Rey Topham,American Party (1969),12,22.2,False,False
1988,Utah,UT,governor,"American Party convention, 25 June 1988",Total,,,54,,False,False
1988,Vermont,VT,governor,Democratic primary results,Winning,Madeleine M. Kunin (inc.),Democratic,28125,96.8,True,False
1988,Vermont,VT,governor,Democratic primary results,Candidate,Other,Democratic,935,3.2,False,False
1988,Vermont,VT,governor,Democratic primary results,Total,,,29060,100.0,False,False
1988,Vermont,VT,governor,Republican primary results,Winning,Michael Bernhardt,Republican,42988,97.2,True,False
1988,Vermont,VT,governor,Republican primary results,Candidate,Other,Republican,1243,2.8,False,False
1988,Vermont,VT,governor,Republican primary results,Total,,,44231,100.0,False,False
1988,Vermont,VT,governor,Liberty Union primary results,Winning,Richard F. Gottlieb,Union,126,93.3,True,False
1988,Vermont,VT,governor,Liberty Union primary results,Candidate,Other,Union,9,6.7,False,False
1988,Vermont,VT,governor,Liberty Union primary results,Total,,,135,100.0,False,False
1988,Washington,WA,governor,Blanket primary results,Winning,Booth Gardner,Democratic,539243,57.64,True,True
1988,Washington,WA,governor,Blanket primary results,Winning,Bob Williams,Republican,187797,22.07,True,False
1988,Washington,WA,governor,Blanket primary results,Candidate,Norm Maleng,Republican,139274,14.89,False,False
1988,Washington,WA,governor,Blanket primary results,Candidate,Jeanne Dixon,Democratic,31917,3.41,False,False
1988,Washington,WA,governor,Blanket primary results,Candidate,"Richard ""Onery Dick"" Short",Democratic,14782,1.58,False,False
1988,Washington,WA,governor,Blanket primary results,Candidate,Ted Parker Fix,Democratic,9302,0.99,False,False
1988,Washington,WA,governor,Blanket primary results,Candidate,Paul Dean Santos,Republican,7370,0.79,False,False
1988,Washington,WA,governor,Blanket primary results,Candidate,Baba Jeanne Mangaoang,Independent,5818,0.62,False,False
1988,Washington,WA,governor,Blanket primary results,Total,,,935503,100.0,False,False
