year,state,state_code,office,election,row_type,candidate,party,votes,percentage,winner,incumbent
2014,Alabama,AL,governor,2014 Alabama gubernatorial election,Winning,Robert J. Bentley,Republican,750231,63.56,True,True
2014,Alabama,AL,governor,2014 Alabama gubernatorial election,Candidate,Parker Griffith,Democratic,427787,36.24,False,False
2014,Alabama,AL,governor,2014 Alabama gubernatorial election,Write-in,,,2395,0.2,False,False
2014,Alabama,AL,governor,2014 Alabama gubernatorial election,Total,,,1180413,100.0,False,False
2014,Alaska,AK,governor,2014 Alaska gubernatorial election,Winning,Bill Walker,Independent,134658,48.1,True,False
2014,Alaska,AK,governor,2014 Alaska gubernatorial election,Candidate,Sean Parnell,Republican,128435,45.88,False,True
2014,Alaska,AK,governor,2014 Alaska gubernatorial election,Candidate,Carolyn Clift,Libertarian,8985,3.21,False,False
2014,Alaska,AK,governor,2014 Alaska gubernatorial election,Candidate,J. R. Myers,Constitution,6987,2.5,False,False
2014,Alaska,AK,governor,2014 Alaska gubernatorial election,Write-in,,,893,0.32,False,False
2014,Alaska,AK,governor,2014 Alaska gubernatorial election,Total,,,279958,100.0,False,False
2014,Arizona,AZ,governor,"Arizona gubernatorial election, 2014",Winning,Doug Ducey,Republican,805062,53.44,True,False
2014,Arizona,AZ,governor,"Arizona gubernatorial election, 2014",Candidate,Fred DuVal,Democratic,626921,41.62,False,False
2014,Arizona,AZ,governor,"Arizona gubernatorial election, 2014",Candidate,Barry Hess,Libertarian,57337,3.8,False,False
2014,Arizona,AZ,governor,"Arizona gubernatorial election, 2014",Candidate,John Lewis Mealer,Americans Elect,15432,1.02,False,False
2014,Arizona,AZ,governor,"Arizona gubernatorial election, 2014",Candidate,J. Johnson (write-in),None,1520,0.1,False,False
2014,Arizona,AZ,governor,"Arizona gubernatorial election, 2014",Candidate,Brian Bailey (write-in),Independent,50,,False,False
2014,Arizona,AZ,governor,"Arizona gubernatorial election, 2014",Candidate,Alice Novoa (write-in),Republican,43,,False,False
2014,Arizona,AZ,governor,"Arizona gubernatorial election, 2014",Candidate,Cary Dolego (write-in),Independent,29,,False,False
2014,Arizona,AZ,governor,"Arizona gubernatorial election, 2014",Candidate,Curtis Woolsey (write-in),None,15,,False,False
2014,Arizona,AZ,governor,"Arizona gubernatorial election, 2014",Candidate,Diane-Elizabeth R.R. Kennedy (write-in),Independent,7,,False,False
2014,Arizona,AZ,governor,"Arizona gubernatorial election, 2014",Total,,,1506416,100.0,False,False
2014,Arkansas,AR,governor,2014 Arkansas gubernatorial election,Winning,Asa Hutchinson,Republican,470429,55.44,True,False
2014,Arkansas,AR,governor,2014 Arkansas gubernatorial election,Candidate,Mike Ross,Democratic,352115,41.49,False,False
2014,Arkansas,AR,governor,2014 Arkansas gubernatorial election,Candidate,Frank Gilbert,Libertarian,16319,1.92,False,False
2014,Arkansas,AR,governor,2014 Arkansas gubernatorial election,Candidate,Josh Drake,Green,9729,1.15,False,False
2014,Arkansas,AR,governor,2014 Arkansas gubernatorial election,Total,,,848592,100.0,False,False
2014,California,CA,governor,2014 California gubernatorial election,Winning,Jerry Brown,Democratic,4388368,59.97,True,True
2014,California,CA,governor,2014 California gubernatorial election,Candidate,Neel Kashkari,Republican,2929213,40.03,False,False
2014,California,CA,governor,2014 California gubernatorial election,Total,,,7317581,100.0,False,False
2014,Colorado,CO,governor,2014 Colorado gubernatorial election,Winning,John Hickenlooper,Democratic,1006433,49.3,True,True
2014,Colorado,CO,governor,2014 Colorado gubernatorial election,Candidate,Bob Beauprez,Republican,938195,45.95,False,False
2014,Colorado,CO,governor,2014 Colorado gubernatorial election,Candidate,Matthew Hess,Libertarian,39590,1.94,False,False
2014,Colorado,CO,governor,2014 Colorado gubernatorial election,Candidate,Harry Hempy,Green,27391,1.34,False,False
2014,Colorado,CO,governor,2014 Colorado gubernatorial election,Candidate,Mike Dunafon,Independent,24042,1.18,False,False
2014,Colorado,CO,governor,2014 Colorado gubernatorial election,Candidate,Paul Noel Fiorino,Independent,5923,0.29,False,False
2014,Colorado,CO,governor,2014 Colorado gubernatorial election,Write-in,Write-ins,Write-ins,31,0.0,False,False
2014,Connecticut,CT,governor,2014 Connecticut gubernatorial election,Winning,Dannel Malloy,Total,554314,50.73,True,True
2014,Connecticut,CT,governor,2014 Connecticut gubernatorial election,Candidate,Dannel Malloy,Democratic,529552,48.46,False,False
2014,Connecticut,CT,governor,2014 Connecticut gubernatorial election,Candidate,Thomas C. Foley,Republican,503998,46.12,False,False
2014,Connecticut,CT,governor,2014 Connecticut gubernatorial election,Candidate,Joe Visconti,Independent,11456,1.05,False,False
2014,Connecticut,CT,governor,2014 Connecticut gubernatorial election,Write-in,,,708,0.06,False,False
2014,Connecticut,CT,governor,2014 Connecticut gubernatorial election,Total,,,1092773,100.0,False,False
2014,Florida,FL,governor,2014 Florida gubernatorial election,Winning,Rick Scott,Republican,2865343,48.14,True,True
2014,Florida,FL,governor,2014 Florida gubernatorial election,Candidate,Charlie Crist,Democratic,2801198,47.07,False,False
2014,Florida,FL,governor,2014 Florida gubernatorial election,Candidate,Adrian Wyllie,Libertarian,223356,3.75,False,False
2014,Florida,FL,governor,2014 Florida gubernatorial election,Candidate,Glenn Burkett,Independent,41341,0.7,False,False
2014,Florida,FL,governor,2014 Florida gubernatorial election,Candidate,Farid Khavari,Independent,20186,0.34,False,False
2014,Florida,FL,governor,2014 Florida gubernatorial election,Candidate,Write-ins,N/a,137,0.0,False,False
2014,Florida,FL,governor,2014 Florida gubernatorial election,Total,,,5951571,100.0,False,False
2014,Georgia,GA,governor,2014 Georgia gubernatorial election,Winning,Nathan Deal,Republican,1345237,52.74,True,True
2014,Georgia,GA,governor,2014 Georgia gubernatorial election,Candidate,Jason Carter,Democratic,1144794,44.88,False,False
2014,Georgia,GA,governor,2014 Georgia gubernatorial election,Candidate,Andrew Hunt,Libertarian,60185,2.36,False,False
2014,Georgia,GA,governor,2014 Georgia gubernatorial election,Write-in,,,432,0.02,False,False
2014,Georgia,GA,governor,2014 Georgia gubernatorial election,Total,,,2550648,100.0,False,False
2014,Guam,GU,governor,Democratic Party of Guam primary results,Candidate,Carl T.C. Gutierrez and Gary W.F. Gumataotao,Democratic,7330,98.14,False,False
2014,Guam,GU,governor,Democratic Party of Guam primary results,Total,,,7330,100.0,False,False
2014,Guam,GU,governor,Republican Party of Guam primary results,Candidate,Eddie B. Calvo and Ray Tenorio,Republican,11034,99.36,False,False
2014,Guam,GU,governor,Republican Party of Guam primary results,Total,,,11034,100.0,False,False
2014,Guam,GU,governor,2014 Guam gubernatorial election,Winning,Eddie B. Calvo/Ray Tenorio,Republican,22512,63.7,True,True
2014,Guam,GU,governor,2014 Guam gubernatorial election,Candidate,Carl T.C. Gutierrez/Gary W.F. Gumataotao,Democratic,12712,35.97,False,False
2014,Guam,GU,governor,2014 Guam gubernatorial election,Candidate,Write-ins,N/a,117,0.33,False,False
2014,Guam,GU,governor,2014 Guam gubernatorial election,Total,,,35341,100.0,False,False
2014,Hawaii,HI,governor,2014 Hawaii gubernatorial election,Winning,David Ige,Democratic,181106,49.45,True,False
2014,Hawaii,HI,governor,2014 Hawaii gubernatorial election,Candidate,Duke Aiona,Republican,135775,37.08,False,False
2014,Hawaii,HI,governor,2014 Hawaii gubernatorial election,Candidate,Mufi Hannemann,Independent,42934,11.72,False,False
2014,Hawaii,HI,governor,2014 Hawaii gubernatorial election,Candidate,Jeff Davis,Libertarian,6395,1.75,False,False
2014,Hawaii,HI,governor,2014 Hawaii gubernatorial election,Total,,,366210,100.0,False,False
2014,Idaho,ID,governor,"Idaho gubernatorial election, 2014",Winning,Butch Otter,Republican,235405,53.52,True,True
2014,Idaho,ID,governor,"Idaho gubernatorial election, 2014",Candidate,A.J. Balukoff,Democratic,169556,38.55,False,False
2014,Idaho,ID,governor,"Idaho gubernatorial election, 2014",Candidate,John Bujak,Libertarian,17884,4.07,False,False
2014,Idaho,ID,governor,"Idaho gubernatorial election, 2014",Candidate,Jill Humble,Independent,8801,2.0,False,False
2014,Idaho,ID,governor,"Idaho gubernatorial election, 2014",Candidate,Steven Pankey,Constitution,5219,1.19,False,False
2014,Idaho,ID,governor,"Idaho gubernatorial election, 2014",Candidate,Pro-Life,Independent,2870,0.65,False,False
2014,Idaho,ID,governor,"Idaho gubernatorial election, 2014",Write-in,,,95,0.02,False,False
2014,Idaho,ID,governor,"Idaho gubernatorial election, 2014",Total,,,439830,100.0,False,False
2014,Illinois,IL,governor,2014 Illinois gubernatorial election,Winning,Bruce Rauner,Republican,1823627,50.27,True,False
2014,Illinois,IL,governor,2014 Illinois gubernatorial election,Candidate,Pat Quinn,Democratic,1681343,46.35,False,True
2014,Illinois,IL,governor,2014 Illinois gubernatorial election,Candidate,Chad Grimm,Libertarian,121534,3.35,False,False
2014,Illinois,IL,governor,2014 Illinois gubernatorial election,Write-in,,,1186,0.03,False,False
2014,Illinois,IL,governor,2014 Illinois gubernatorial election,Total,,,3627690,100.0,False,False
2014,Iowa,IA,governor,2014 Iowa gubernatorial election,Winning,Terry Branstad (incumbent) / Kim Reynolds,Republican,666032,58.99,True,True
2014,Iowa,IA,governor,2014 Iowa gubernatorial election,Candidate,Jack Hatch / Monica Vernon,Democratic,420787,37.27,False,False
2014,Iowa,IA,governor,2014 Iowa gubernatorial election,Candidate,Lee Deakins Hieb / Tim Watson,Libertarian,20321,1.8,False,False
2014,Iowa,IA,governor,2014 Iowa gubernatorial election,Candidate,Jim Hennager / Mary Margaret Krieg,New Independent Party Iowa,10582,0.94,False,False
2014,Iowa,IA,governor,2014 Iowa gubernatorial election,Candidate,Jonathan R. Narcisse / Michael L. Richards,Iowa,10240,0.91,False,False
