year,state,state_code,office,candidate,party,percentage,winner,incumbent
1935,Kentucky,KY,governor,Happy Chandler,Democratic,54.46,True,False
1935,Kentucky,KY,governor,King Swope,Republican,45.14,False,False
1935,Kentucky,KY,governor,W. E. Cissna,Prohibition,0.2,False,False
1935,Kentucky,KY,governor,W. A. Sandefur,Socialist,0.08,False,False
1935,Kentucky,KY,governor,Herman Horning,Socialist Labor,0.07,False,False
1935,Kentucky,KY,governor,John J. Thobe,Co-operative Commonwealth,0.05,False,False
1935,Louisiana,LA,governor,Richard W. Leche,Democratic,,True,False
1935,Louisiana,LA,governor,''Unopposed'',,,False,False
1935,Mississippi,MS,governor,Hugh L. White,Democratic,,True,False
1935,Mississippi,MS,governor,''Unopposed'',,,False,False
