year,state,state_code,office,election,row_type,candidate,party,votes,percentage,winner,incumbent
1994,Alabama,AL,governor,Democratic primary results,Winning,Jim Folsom Jr.,Democratic,380227.0,54.04,True,True
1994,Alabama,AL,governor,Democratic primary results,Candidate,Paul Hubbert,Democratic,285554.0,40.58,False,False
1994,Alabama,AL,governor,Democratic primary results,Candidate,F. Ross Stewart,Democratic,24354.0,3.46,False,False
1994,Alabama,AL,governor,Democratic primary results,Candidate,Tom Hayden,Democratic,13532.0,1.92,False,False
1994,Alabama,AL,governor,Democratic primary results,Total,,,703667.0,100.0,False,False
1994,Alabama,AL,governor,Republican primary results,Winning,Fob James,Republican,84021.0,39.54,True,False
1994,Alabama,AL,governor,Republican primary results,Winning,Ann Bedsole,Republican,54450.0,25.63,True,False
1994,Alabama,AL,governor,Republican primary results,Candidate,Winton Blount III,Republican,51795.0,24.38,False,False
1994,Alabama,AL,governor,Republican primary results,Candidate,Mickey Kirkland,Republican,18538.0,8.72,False,False
1994,Alabama,AL,governor,Republican primary results,Candidate,Robin Swift,Republican,3138.0,1.48,False,False
1994,Alabama,AL,governor,Republican primary results,Candidate,Jack Pollard,Republican,543.0,0.26,False,False
1994,Alabama,AL,governor,Republican primary results,Total,,,212485.0,100.0,False,False
1994,Alabama,AL,governor,Republican runoff results,Winning,Fob James,Republican,130233.0,62.44,True,False
1994,Alabama,AL,governor,Republican runoff results,Candidate,Ann Bedsole,Republican,78338.0,37.56,False,False
1994,Alabama,AL,governor,Republican runoff results,Total,,,208571.0,100.0,False,False
1994,Alaska,AK,governor,Democratic primary results,Winning,Tony Knowles,Democratic,24727.0,44.07,True,False
1994,Alaska,AK,governor,Democratic primary results,Candidate,Steve McAlpine,Democratic,17482.0,31.16,False,False
1994,Alaska,AK,governor,Democratic primary results,Candidate,Sam Cotten,Democratic,13899.0,24.77,False,False
1994,Alaska,AK,governor,Democratic primary results,Total,,,56108.0,,False,False
1994,Arizona,AZ,governor,Republican primary results,Winning,Fife Symington,Republican,202588.0,68.14,True,True
1994,Arizona,AZ,governor,Republican primary results,Candidate,Barbara Barrett,Republican,94740.0,31.86,False,False
1994,Arizona,AZ,governor,Republican primary results,Total,,,297328.0,100.0,False,False
1994,Arizona,AZ,governor,Democratic primary results,Winning,Eddie Basha,Democratic,96613.0,36.82,True,False
1994,Arizona,AZ,governor,Democratic primary results,Candidate,Terry Goddard,Democratic,92239.0,35.16,False,False
1994,Arizona,AZ,governor,Democratic primary results,Candidate,Paul Johnson,Democratic,73512.0,28.02,False,False
1994,Arizona,AZ,governor,Democratic primary results,Total,,,262364.0,100.0,False,False
1994,California,CA,governor,Republican primary results,Winning,Pete Wilson,Republican,1266832.0,61.44,True,True
1994,California,CA,governor,Republican primary results,Candidate,Ron Unz,Republican,707431.0,34.31,False,False
1994,California,CA,governor,Republican primary results,Candidate,Jim Hart,Republican,44083.0,2.14,False,False
1994,California,CA,governor,Republican primary results,Candidate,Louis Darrigo,Republican,43448.0,2.11,False,False
1994,California,CA,governor,Republican primary results,Candidate,Mike Eagles (write-in),Republican,34.0,0.0,False,False
1994,California,CA,governor,Republican primary results,Total,,,2061828.0,100.0,False,False
1994,California,CA,governor,Democratic primary results,Winning,Kathleen Brown,Democratic,1110372.0,48.38,True,False
1994,California,CA,governor,Democratic primary results,Candidate,John Garamendi,Democratic,755876.0,32.93,False,False
