year,state,state_code,office,election,row_type,candidate,party,votes,percentage,winner,incumbent
1972,Arkansas,AR,governor,Democratic primary results,Winning,Dale Bumpers,Democratic,330088.0,66.71,True,True
1972,Arkansas,AR,governor,Democratic primary results,Candidate,Q. Byrum Hurst,Democratic,81239.0,16.42,False,False
1972,Arkansas,AR,governor,Democratic primary results,Candidate,Mack Harbour,Democratic,55172.0,11.15,False,False
1972,Arkansas,AR,governor,Democratic primary results,Candidate,George W. Davis,Democratic,22284.0,4.5,False,False
1972,Arkansas,AR,governor,Democratic primary results,Candidate,Les Gibbs,Democratic,6068.0,1.23,False,False
1972,Arkansas,AR,governor,Democratic primary results,Total,,,494851.0,100.0,False,False
1972,Arkansas,AR,governor,Republican primary results,Winning,Len E. Blaylock,Republican,,,True,False
1972,Delaware,DE,governor,Republican primary results,Winning,Russell W. Peterson,Republican,23929.0,54.3,True,True
1972,Delaware,DE,governor,Republican primary results,Candidate,David P. Buckson,Republican,20138.0,45.7,False,False
1972,Delaware,DE,governor,Republican primary results,Total,,,44077.0,100.0,False,False
1972,Indiana,IN,governor,Republican nomination results,Winning,Otis Bowen,Republican,1243.0,59.7,True,False
1972,Indiana,IN,governor,Republican nomination results,Candidate,William Sharp,Republican,364.0,17.48,False,False
1972,Indiana,IN,governor,Republican nomination results,Candidate,Phil Gutman,Republican,354.0,17.0,False,False
1972,Indiana,IN,governor,Republican nomination results,Candidate,W.W. 'Dub' Hill,Republican,108.0,5.19,False,False
1972,Indiana,IN,governor,Republican nomination results,Candidate,N/A,,13.0,0.62,False,False
1972,Indiana,IN,governor,Republican nomination results,Total,,,2082.0,100.0,False,False
1972,Kansas,KS,governor,Republican primary results,Winning,Morris Kay,Republican,138815.0,46.59,True,False
1972,Kansas,KS,governor,Republican primary results,Candidate,John Anderson Jr.,Republican,88088.0,29.57,False,False
1972,Kansas,KS,governor,Republican primary results,Candidate,Ray E. Frisbie,Republican,46125.0,15.48,False,False
1972,Kansas,KS,governor,Republican primary results,Candidate,Reynolds Shultz,Republican,24911.0,8.36,False,False
1972,Kansas,KS,governor,Republican primary results,Total,,,297939.0,100.0,False,False
1972,Montana,MT,governor,Democratic Party primary results,Winning,Thomas Lee Judge,Democratic,75917.0,59.87,True,False
1972,Montana,MT,governor,Democratic Party primary results,Candidate,Dick Dzivi,Democratic,38639.0,30.47,False,False
1972,Montana,MT,governor,Democratic Party primary results,Candidate,Eva Levengood Shunkwiler,Democratic,5707.0,4.5,False,False
1972,Montana,MT,governor,Democratic Party primary results,Candidate,Dallas E. Howard,Democratic,4255.0,3.36,False,False
1972,Montana,MT,governor,Democratic Party primary results,Candidate,David E. Burnham,Democratic,2276.0,1.8,False,False
1972,Montana,MT,governor,Democratic Party primary results,Total,,,126794.0,100.0,False,False
1972,Montana,MT,governor,Republican Primary results,Winning,Ed Smith,Republican,39552.0,40.65,True,False
1972,Montana,MT,governor,Republican Primary results,Candidate,Frank Dunkle,Republican,37375.0,38.41,False,False
1972,Montana,MT,governor,Republican Primary results,Candidate,Tom A. Selstad,Republican,18046.0,18.55,False,False
1972,Montana,MT,governor,Republican Primary results,Candidate,Warren McMillan,Republican,2331.0,2.4,False,False
1972,Montana,MT,governor,Republican Primary results,Total,,,97304.0,100.0,False,False
1972,New Hampshire,NH,governor,Democratic primary results,Winning,Roger J. Crowley,Democratic,29326.0,61.37,True,False
1972,New Hampshire,NH,governor,Democratic primary results,Candidate,Robert E. Raiche,Democratic,16216.0,33.94,False,False
