year,state,state_code,office,election,row_type,candidate,party,votes,percentage,winner,incumbent
1993,New Jersey,NJ,governor,1993 New Jersey gubernatorial election,Winning,Christine Todd Whitman,Republican,1236124,49.33,True,False
1993,New Jersey,NJ,governor,1993 New Jersey gubernatorial election,Candidate,James Florio,Democratic,1210031,48.29,False,True
1993,New Jersey,NJ,governor,1993 New Jersey gubernatorial election,Candidate,Pat Daly,Independent,10071,0.4,False,False
1993,New Jersey,NJ,governor,1993 New Jersey gubernatorial election,Candidate,Kenneth R. Kaplan,Libertarian,7935,0.32,False,False
1993,New Jersey,NJ,governor,1993 New Jersey gubernatorial election,Candidate,Tom Blomquist,Conservative,5164,0.21,False,False
1993,New Jersey,NJ,governor,1993 New Jersey gubernatorial election,Candidate,Joseph Marion,Independent,4311,0.17,False,False
1993,New Jersey,NJ,governor,1993 New Jersey gubernatorial election,Candidate,Richary J. Lynch,Independent,4030,0.16,False,False
1993,New Jersey,NJ,governor,1993 New Jersey gubernatorial election,Candidate,Alene S. Ammond,Independent,3330,0.13,False,False
1993,New Jersey,NJ,governor,1993 New Jersey gubernatorial election,Candidate,Tim Feeney,Independent,3306,0.13,False,False
1993,New Jersey,NJ,governor,1993 New Jersey gubernatorial election,Candidate,Michael R. Scully,Independent,3209,0.13,False,False
1993,New Jersey,NJ,governor,1993 New Jersey gubernatorial election,Candidate,Pete DiLauro,Independent,3009,0.12,False,False
1993,New Jersey,NJ,governor,1993 New Jersey gubernatorial election,Candidate,Marilyn Arons,Independent,2884,0.12,False,False
1993,New Jersey,NJ,governor,1993 New Jersey gubernatorial election,Candidate,John L. Kucek,"Populist Party (united States, 1984)",2822,0.11,False,False
1993,New Jersey,NJ,governor,1993 New Jersey gubernatorial election,Candidate,Tom Fuscaldo,Independent,2314,0.09,False,False
1993,New Jersey,NJ,governor,1993 New Jersey gubernatorial election,Candidate,Michael Ziruolo,Independent,2127,0.08,False,False
1993,New Jersey,NJ,governor,1993 New Jersey gubernatorial election,Candidate,Andrew J. Zemel,Independent,1530,0.06,False,False
1993,New Jersey,NJ,governor,1993 New Jersey gubernatorial election,Candidate,Andrea Lippi,Independent,1294,0.05,False,False
1993,New Jersey,NJ,governor,1993 New Jersey gubernatorial election,Candidate,Mark J. Rahn,Workers,1242,0.05,False,False
1993,New Jersey,NJ,governor,1993 New Jersey gubernatorial election,Candidate,Jerry T. Grant,Independent,1231,0.05,False,False
1993,Virginia,VA,governor,1993 Virginia gubernatorial election,Winning,George Allen,Republican,1045319,58.27,True,False
1993,Virginia,VA,governor,1993 Virginia gubernatorial election,Candidate,Mary Sue Terry,Democratic,733527,40.89,False,False
1993,Virginia,VA,governor,1993 Virginia gubernatorial election,Candidate,Nancy B. Spannaus,Independent,14398,0.8,False,False
1993,Virginia,VA,governor,1993 Virginia gubernatorial election,Write-in,Write-ins,Write-ins,672,0.04,False,False
