year,state,state_code,office,candidate,party,percentage,winner,incumbent
1968,Arizona,AZ,governor,Jack Williams,Republican,57.8,True,True
1968,Arizona,AZ,governor,Sam Goddard Jr.,Democratic,42.2,False,False
1968,Arkansas,AR,governor,Winthrop Rockefeller,Republican,52.4,True,True
1968,Arkansas,AR,governor,Marion H. Crank,Democratic,47.6,False,False
1968,Delaware,DE,governor,Russell W. Peterson,Republican,50.51,True,False
1968,Delaware,DE,governor,Charles L. Terry Jr.,Democratic,49.49,False,True
1968,Illinois,IL,governor,Richard B. Ogilvie,Republican,51.2,True,False
1968,Illinois,IL,governor,Samuel H. Shapiro,Democratic,48.4,False,True
1968,Illinois,IL,governor,Edward C. Gross,Labor,0.4,False,False
1968,Indiana,IN,governor,Edgar Whitcomb,Republican,52.7,True,False
1968,Indiana,IN,governor,Robert L. Rock,Democratic,47.1,False,False
1968,Indiana,IN,governor,Melvin E. Hawk,Prohibition,0.15,False,False
1968,Iowa,IA,governor,Robert D. Ray,Republican,54.1,True,False
1968,Iowa,IA,governor,Paul Franzenburg,Democratic,45.9,False,False
1968,Iowa,IA,governor,Harry Miller,Prohibition,0.08,False,False
1968,Kansas,KS,governor,Robert Docking,Democratic,51.9,True,True
1968,Kansas,KS,governor,Rick Harman,Republican,47.6,False,False
1968,Kansas,KS,governor,Marshall Uncapher,Prohibition,0.5,False,False
1968,Missouri,MO,governor,Warren E. Hearnes,Democratic,60.8,True,True
1968,Missouri,MO,governor,Lawrence K. Roos,Republican,39.2,False,False
1968,Montana,MT,governor,Forrest H. Anderson,Democratic,54.1,True,False
1968,Montana,MT,governor,Tim Babcock,Republican,41.9,False,True
1968,Montana,MT,governor,Wayne Montgomery,Independent,4.0,False,False
1968,New Hampshire,NH,governor,Walter R. Peterson Jr.,Republican,52.5,True,False
1968,New Hampshire,NH,governor,Emile R. Bussiere,Democratic,47.4,False,False
1968,New Mexico,NM,governor,David Cargo,Republican,50.21,True,True
1968,New Mexico,NM,governor,Fabian Chavez Jr.,Democratic,49.29,False,False
1968,New Mexico,NM,governor,Jose Maestes,Independent,0.48,False,False
1968,North Carolina,NC,governor,Robert W. Scott,Democratic,52.7,True,False
1968,North Carolina,NC,governor,Jim Gardner,Republican,47.3,False,False
1968,North Dakota,ND,governor,William L. Guy,North Dakota Democratic-npl,54.8,True,True
1968,North Dakota,ND,governor,Robert P. McCarney,Republican,43.7,False,False
1968,North Dakota,ND,governor,Leo Landsberger,Independent,1.5,False,False
1968,Rhode Island,RI,governor,Frank Licht,Democratic,51.0,True,False
1968,Rhode Island,RI,governor,John Chafee,Republican,49.0,False,True
1968,South Dakota,SD,governor,Frank Farrar,Republican,57.7,True,False
1968,South Dakota,SD,governor,Robert Chamberlin,Democratic,42.4,False,False
1968,Texas,TX,governor,Preston Smith,Democratic,57.0,True,False
1968,Texas,TX,governor,Paul Eggers,Republican,43.0,False,False
1968,Utah,UT,governor,Cal Rampton,Democratic,68.7,True,True
1968,Utah,UT,governor,Carl W. Buehner,Republican,31.3,False,False
1968,Vermont,VT,governor,Deane C. Davis,Republican,55.5,True,False
1968,Vermont,VT,governor,John J. Daley,Democratic,44.5,False,False
1968,Washington,WA,governor,Daniel J. Evans,Republican,54.7,True,True
1968,Washington,WA,governor,John J. O'Connell,Democratic,44.3,False,False
1968,Washington,WA,governor,Ken Chriswell,Conservative,0.9,False,False
1968,Washington,WA,governor,Henry Killman,Labor,,False,False
1968,West Virginia,WV,governor,Arch A. Moore Jr.,Republican,50.9,True,False
1968,West Virginia,WV,governor,James Marshall Sprouse,Democratic,49.1,False,False
1968,Wisconsin,WI,governor,Warren P. Knowles,Republican,52.9,True,True
1968,Wisconsin,WI,governor,Bronson La Follette,Democratic,46.8,False,False
1968,Wisconsin,WI,governor,Adolf Wiggert,Labor,0.2,False,False
1968,Wisconsin,WI,governor,Robert Wilkinson,Workers,0.1,False,False
