state,state_code,district,district_note,at_large,map_vintage,is_current_map,years_used,n_years,d_share_mean,national_d_share_mean,pvi_pct,pvi_label,total_votes_mean,counties_whole,counties_partial,votes_from_partial_pct_max
Arizona,AZ,AZ-03,,False,2020s,True,2024,1,48.24,49.25,4.38,D+4.4,45979,0,1,100.0
Arizona,AZ,AZ-04,,False,2000s,False,2004+2008+2012,3,43.94,51.5,-5.54,R+5.5,28947,0,1,100.0
Arizona,AZ,AZ-04,,False,2010s,False,2016+2020,2,44.26,51.71,-8.12,R+8.1,856718,1,6,99.2
Arizona,AZ,AZ-04,,False,2020s,True,2024,1,48.24,49.25,0.57,D+0.6,39709,0,1,100.0
Arizona,AZ,AZ-05,,False,2000s,False,2004+2008+2012,3,43.94,51.5,-9.47,R+9.5,202628,0,1,100.0
Arizona,AZ,AZ-05,,False,2010s,False,2016+2020,2,49.79,51.71,-4.09,R+4.1,59203,0,1,100.0
Arizona,AZ,AZ-05,,False,2020s,True,2024,1,47.14,49.25,-2.69,R+2.7,59164,0,2,100.0
Arizona,AZ,AZ-06,,False,2000s,False,2004+2008+2012,3,43.69,51.5,-11.19,R+11.2,51940,0,2,100.0
Arizona,AZ,AZ-06,,False,2010s,False,2016+2020,2,49.79,51.71,-3.22,R+3.2,125807,0,1,100.0
Arizona,AZ,AZ-06,,False,2020s,True,2024,1,46.49,49.25,-1.13,R+1.1,220311,1,4,98.5
Arizona,AZ,AZ-07,,False,2000s,False,2004+2008+2012,3,46.73,51.5,-4.83,R+4.8,983204,1,5,95.9
Arizona,AZ,AZ-07,,False,2010s,False,2016+2020,2,49.79,51.71,3.4,D+3.4,40702,0,1,100.0
Arizona,AZ,AZ-07,,False,2020s,True,2024,1,51.18,49.25,3.69,D+3.7,1185488,1,5,98.4
Arizona,AZ,AZ-08,,False,2000s,False,2004+2008+2012,3,49.16,51.5,-7.06,R+7.1,140881,1,2,66.7
Arizona,AZ,AZ-08,,False,2010s,False,2016+2020,2,49.79,51.71,-3.47,R+3.5,109156,0,1,100.0
Arizona,AZ,AZ-08,,False,2020s,True,2024,1,48.24,49.25,-1.47,R+1.5,131666,0,1,100.0
Arizona,AZ,AZ-09,,False,2010s,False,2016+2020,2,49.79,51.71,0.47,D+0.5,33302,0,1,100.0
Arizona,AZ,AZ-09,,False,2020s,True,2024,1,44.62,49.25,-4.68,R+4.7,884271,1,3,99.1
California,CA,CA-01,,False,2000s,False,2004+2008+2012,3,65.46,51.5,10.62,D+10.6,291040,5,2,34.9
California,CA,CA-01,,False,2010s,False,2016+2020,2,42.11,51.71,-9.42,R+9.4,360552,8,3,28.3
California,CA,CA-01,,False,2020s,True,2024,1,37.02,49.25,-12.88,R+12.9,312990,9,1,3.0
California,CA,CA-02,,False,2000s,False,2004+2008+2012,3,43.57,51.5,-2.38,R+2.4,311871,8,2,37.5
California,CA,CA-02,,False,2010s,False,2016+2020,2,75.55,51.71,24.09,D+24.1,464940,5,2,42.4
California,CA,CA-02,,False,2020s,True,2024,1,73.75,49.25,24.01,D+24.0,474383,5,2,44.4
California,CA,CA-03,,False,2000s,False,2004+2008+2012,3,55.87,51.5,2.61,D+2.6,483485,3,2,91.7
California,CA,CA-03,,False,2010s,False,2016+2020,2,61.56,51.71,9.02,D+9.0,506494,3,5,86.0
California,CA,CA-03,,False,2020s,True,2024,1,48.18,49.25,-2.15,R+2.1,489169,7,3,33.6
California,CA,CA-04,,False,2000s,False,2004+2008+2012,3,41.89,51.5,-5.14,R+5.1,358908,7,1,6.4
California,CA,CA-04,,False,2010s,False,2016+2020,2,46.03,51.71,-5.9,R+5.9,531412,6,4,65.1
California,CA,CA-04,,False,2020s,True,2024,1,65.64,49.25,16.8,D+16.8,339774,2,3,72.8
California,CA,CA-05,,False,2000s,False,2004+2008+2012,3,56.52,51.5,9.83,D+9.8,79078,0,1,100.0
California,CA,CA-05,,False,2010s,False,2016+2020,2,71.43,51.71,20.72,D+20.7,194274,1,4,65.8
California,CA,CA-05,,False,2020s,True,2024,1,43.04,49.25,-7.68,R+7.7,335897,4,4,74.0
California,CA,CA-06,,False,2000s,False,2004+2008+2012,3,74.82,51.5,17.86,D+17.9,301165,1,2,54.8
California,CA,CA-06,,False,2010s,False,2016+2020,2,63.26,51.71,13.53,D+13.5,103650,0,2,100.0
California,CA,CA-06,,False,2020s,True,2024,1,60.21,49.25,10.23,D+10.2,167652,0,1,100.0
California,CA,CA-07,,False,2000s,False,2004+2008+2012,3,65.57,51.5,12.03,D+12.0,126525,0,2,100.0
California,CA,CA-07,,False,2010s,False,2016+2020,2,63.08,51.71,10.59,D+10.6,360331,0,1,100.0
California,CA,CA-07,,False,2020s,True,2024,1,60.28,49.25,13.32,D+13.3,433877,0,2,100.0
California,CA,CA-08,,False,2000s,False,2004+2008+2012,3,85.69,51.5,25.07,D+25.1,268775,0,1,100.0
California,CA,CA-08,,False,2010s,False,2016+2020,2,55.49,51.71,2.14,D+2.1,747382,2,1,98.1
California,CA,CA-08,,False,2020s,True,2024,1,66.45,49.25,19.84,D+19.8,201450,0,2,100.0
California,CA,CA-09,,False,2000s,False,2004+2008+2012,3,79.33,51.5,20.56,D+20.6,106133,0,1,100.0
California,CA,CA-09,,False,2010s,False,2016+2020,2,63.23,51.71,10.9,D+10.9,336850,0,3,100.0
California,CA,CA-09,,False,2020s,True,2024,1,51.22,49.25,2.3,D+2.3,268331,0,3,100.0
California,CA,CA-10,,False,2000s,False,2004+2008+2012,3,68.01,51.5,11.28,D+11.3,493553,0,4,100.0
California,CA,CA-10,,False,2010s,False,2016+2020,2,52.26,51.71,1.36,D+1.4,252762,1,1,23.7
California,CA,CA-10,,False,2020s,True,2024,1,69.63,49.25,19.46,D+19.5,382017,0,1,100.0
California,CA,CA-11,,False,2000s,False,2004+2008+2012,3,67.72,51.5,10.25,D+10.2,765200,0,4,100.0
California,CA,CA-11,,False,2010s,False,2016+2020,2,73.25,51.71,21.8,D+21.8,352138,0,1,100.0
California,CA,CA-11,,False,2020s,True,2024,1,83.8,49.25,33.76,D+33.8,348189,0,1,100.0
California,CA,CA-12,,False,2000s,False,2004+2008+2012,3,80.18,51.5,21.86,D+21.9,157387,0,2,100.0
California,CA,CA-12,,False,2010s,False,2016+2020,2,88.58,51.71,36.88,D+36.9,341862,0,1,100.0
California,CA,CA-12,,False,2020s,True,2024,1,78.01,49.25,28.77,D+28.8,85955,0,1,100.0
California,CA,CA-13,,False,2000s,False,2004+2008+2012,3,79.33,51.5,20.04,D+20.0,176098,0,1,100.0
California,CA,CA-13,,False,2010s,False,2016+2020,2,83.1,51.71,33.08,D+33.1,91432,0,1,100.0
California,CA,CA-13,,False,2020s,True,2024,1,46.65,49.25,-1.34,R+1.3,399039,1,4,78.3
California,CA,CA-14,,False,2000s,False,2004+2008+2012,3,73.45,51.5,17.17,D+17.2,388859,0,3,100.0
California,CA,CA-14,,False,2010s,False,2016+2020,2,82.28,51.71,30.5,D+30.5,266390,0,2,100.0
California,CA,CA-14,,False,2020s,True,2024,1,78.01,49.25,25.48,D+25.5,534152,0,1,100.0
California,CA,CA-15,,False,2000s,False,2004+2008+2012,3,69.26,51.5,14.61,D+14.6,140531,0,1,100.0
California,CA,CA-15,,False,2010s,False,2016+2020,2,82.78,51.71,29.56,D+29.6,573198,0,2,100.0
California,CA,CA-15,,False,2020s,True,2024,1,78.75,49.25,27.75,D+27.8,128274,0,2,100.0
California,CA,CA-16,,False,2000s,False,2004+2008+2012,3,69.26,51.5,13.85,D+13.8,114341,0,1,100.0
California,CA,CA-16,,False,2010s,False,2016+2020,2,53.68,51.71,3.23,D+3.2,105490,1,2,23.7
California,CA,CA-16,,False,2020s,True,2024,1,74.4,49.25,25.15,D+25.1,358739,0,2,100.0
