year,map_vintage,state,state_code,district,district_note,at_large,counties_whole,counties_partial,counties_whole_list,counties_partial_list,matched_counties,d_votes,r_votes,other_votes,total_votes,d_share_two_party_pct,r_share_two_party_pct,national_d_share_two_party_pct,lean_pct,lean_label,votes_from_partial_pct,lean_pres_pct,lean_house_pct,lean_senate_pct,lean_statewide_pct,weight_pres,weight_house,weight_senate,weight_statewide,sources_used
2016,2010s,Alaska,AK,AK-AL,,True,0,0,,,0,0,0,0,0,,,51.13,-12.94,R+12.9,,,-5.63,-28.08,-5.1,0.0,0.334,0.333,0.333,house+senate+statewide
2016,2010s,Alabama,AL,AL-01,,False,5,1,Baldwin County; Escambia County; Mobile County; Monroe County; Washington County,Clarke County,6,102904,190949,9898,303751,35.02,64.98,51.13,-15.05,R+15.0,0.7,-16.11,,-12.92,,0.667,0.0,0.333,0.0,pres+senate
2016,2010s,Alabama,AL,AL-02,,False,14,1,Autauga County; Barbour County; Bullock County; Butler County; Coffee County; Conecuh County; Covington County; Crenshaw County; Dale County; Elmore County; Geneva County; Henry County; Houston County; Pike County,Montgomery County,15,101576,185183,8047,294807,35.42,64.58,51.13,-11.58,R+11.6,22.0,-15.71,-1.96,-12.92,,0.5,0.25,0.25,0.0,pres+house+senate
2016,2010s,Alabama,AL,AL-03,,False,11,2,Calhoun County; Chambers County; Clay County; Cleburne County; Lee County; Macon County; Randolph County; Russell County; St. Clair County; Talladega County; Tallapoosa County,Cherokee County; Montgomery County,13,99156,185845,9522,294522,34.79,65.21,51.13,-14.99,R+15.0,10.3,-16.34,-14.36,-12.92,,0.5,0.25,0.25,0.0,pres+house+senate
2016,2010s,Alabama,AL,AL-04,,False,12,3,Colbert County; Cullman County; DeKalb County; Etowah County; Fayette County; Franklin County; Lamar County; Lawrence County; Marion County; Marshall County; Walker County; Winston County,Blount County; Cherokee County; Tuscaloosa County,15,65081,243911,9585,318577,21.06,78.94,51.13,-24.35,R+24.4,17.5,-30.07,,-12.92,,0.667,0.0,0.333,0.0,pres+senate
2016,2010s,Alabama,AL,AL-05,,False,5,0,Jackson County; Lauderdale County; Limestone County; Madison County; Morgan County,,5,97169,200644,17023,314836,32.63,67.37,51.13,-16.01,R+16.0,0.0,-18.51,-14.11,-12.92,,0.5,0.25,0.25,0.0,pres+house+senate
2016,2010s,Alabama,AL,AL-06,,False,4,2,Bibb County; Chilton County; Coosa County; Shelby County,Blount County; Jefferson County,6,153376,222668,16181,392225,40.79,59.21,51.13,-13.88,R+13.9,65.9,-10.35,-21.92,-12.92,,0.5,0.25,0.25,0.0,pres+house+senate
2016,2010s,Alabama,AL,AL-07,,False,10,4,Choctaw County; Dallas County; Greene County; Hale County; Lowndes County; Marengo County; Perry County; Pickens County; Sumter County; Wilcox County,Clarke County; Jefferson County; Montgomery County; Tuscaloosa County,14,110286,89055,5313,204655,55.33,44.67,51.13,-1.51,R+1.5,58.9,4.19,,-12.92,,0.667,0.0,0.333,0.0,pres+senate
2016,2010s,Arkansas,AR,AR-01,,False,28,2,Arkansas County; Baxter County; Chicot County; Clay County; Cleburne County; Craighead County; Crittenden County; Cross County; Desha County; Fulton County; Greene County; Independence County; Izard County; Jackson County; Lawrence County; Lee County; Lincoln County; Lonoke County; Mississippi County; Monroe County; Phillips County; Poinsett County; Prairie County; Randolph County; St. Francis County; Sharp County; Stone County; Woodruff County,Jefferson County; Searcy County,30,82336,171647,12822,266806,32.42,67.58,51.13,-16.19,R+16.2,3.8,-18.71,,-11.15,,0.667,0.0,0.333,0.0,pres+senate
2016,2010s,Arkansas,AR,AR-02,,False,7,0,Conway County; Faulkner County; Perry County; Pulaski County; Saline County; Van Buren County; White County,,7,127883,160782,18309,306974,44.3,55.7,51.13,-8.37,R+8.4,0.0,-6.83,-8.66,-11.15,,0.5,0.25,0.25,0.0,pres+house+senate
