year,map_vintage,state,state_code,district,district_note,at_large,counties_whole,counties_partial,counties_whole_list,counties_partial_list,matched_counties,d_votes,r_votes,other_votes,total_votes,d_share_two_party_pct,r_share_two_party_pct,national_d_share_two_party_pct,lean_pct,lean_label,votes_from_partial_pct,lean_pres_pct,lean_house_pct,lean_senate_pct,lean_statewide_pct,weight_pres,weight_house,weight_senate,weight_statewide,sources_used
2020,2010s,Alaska,AK,AK-AL,,True,0,0,,,0,0,0,0,0,,,52.29,-3.93,R+3.9,,,,,-3.93,0.0,0.0,0.0,1.0,statewide
2020,2010s,Alabama,AL,AL-01,,False,5,1,Baldwin County; Escambia County; Mobile County; Monroe County; Washington County,Clarke County,6,116633,209575,4256,330464,35.75,64.25,52.29,-13.62,R+13.6,0.7,-16.53,-15.04,-9.91,-10.07,0.4,0.2,0.2,0.2,pres+house+senate+statewide
2020,2010s,Alabama,AL,AL-02,,False,14,1,Autauga County; Barbour County; Bullock County; Butler County; Coffee County; Conecuh County; Covington County; Crenshaw County; Dale County; Elmore County; Geneva County; Henry County; Houston County; Pike County,Montgomery County,15,114041,196922,3733,314696,36.67,63.33,52.29,-13.42,R+13.4,21.3,-15.61,-15.89,-9.91,-10.07,0.4,0.2,0.2,0.2,pres+house+senate+statewide
2020,2010s,Alabama,AL,AL-03,,False,11,2,Calhoun County; Chambers County; Clay County; Cleburne County; Lee County; Macon County; Randolph County; Russell County; St. Clair County; Talladega County; Tallapoosa County,Cherokee County; Montgomery County,13,114279,208066,4074,326419,35.45,64.55,52.29,-14.36,R+14.4,10.0,-16.83,-18.14,-9.91,-10.07,0.4,0.2,0.2,0.2,pres+house+senate+statewide
2020,2010s,Alabama,AL,AL-04,,False,12,3,Colbert County; Cullman County; DeKalb County; Etowah County; Fayette County; Franklin County; Lamar County; Lawrence County; Marion County; Marshall County; Walker County; Winston County,Blount County; Cherokee County; Tuscaloosa County,15,73628,270271,4094,347993,21.41,78.59,52.29,-22.93,R+22.9,17.4,-30.88,-32.92,-9.91,-10.07,0.4,0.2,0.2,0.2,pres+house+senate+statewide
2020,2010s,Alabama,AL,AL-05,,False,5,0,Jackson County; Lauderdale County; Limestone County; Madison County; Morgan County,,5,129824,228475,7400,365699,36.23,63.77,52.29,-13.02,R+13.0,0.0,-16.05,,-9.91,-10.07,0.5,0.0,0.25,0.25,pres+senate+statewide
2020,2010s,Alabama,AL,AL-06,,False,4,2,Bibb County; Chilton County; Coosa County; Shelby County,Blount County; Jefferson County,6,183666,236151,6608,426424,43.75,56.25,52.29,-9.26,R+9.3,65.0,-8.54,,-9.91,-10.07,0.5,0.0,0.25,0.25,pres+senate+statewide
2020,2010s,Alabama,AL,AL-07,,False,10,4,Choctaw County; Dallas County; Greene County; Hale County; Lowndes County; Marengo County; Perry County; Pickens County; Sumter County; Wilcox County,Clarke County; Jefferson County; Montgomery County; Tuscaloosa County,14,117554,91710,2323,211587,56.17,43.83,52.29,-3.05,R+3.0,60.9,3.89,,-9.91,-10.07,0.5,0.0,0.25,0.25,pres+senate+statewide
2020,2010s,Arkansas,AR,AR-01,,False,28,2,Arkansas County; Baxter County; Chicot County; Clay County; Cleburne County; Craighead County; Crittenden County; Cross County; Desha County; Fulton County; Greene County; Independence County; Izard County; Jackson County; Lawrence County; Lee County; Lincoln County; Lonoke County; Mississippi County; Monroe County; Phillips County; Poinsett County; Prairie County; Randolph County; St. Francis County; Sharp County; Stone County; Woodruff County,Jefferson County; Searcy County,30,79379,189855,8322,277557,29.48,70.52,52.29,-18.18,R+18.2,3.6,-22.8,,,-8.93,0.667,0.0,0.0,0.333,pres+statewide
2020,2010s,Arkansas,AR,AR-02,,False,7,0,Conway County; Faulkner County; Perry County; Pulaski County; Saline County; Van Buren County; White County,,7,147552,177053,8742,333347,45.46,54.54,52.29,-7.14,R+7.1,0.0,-6.83,-5.98,,-8.93,0.5,0.25,0.0,0.25,pres+house+statewide
2020,2010s,Arkansas,AR,AR-03,,False,6,4,Benton County; Boone County; Carroll County; Marion County; Pope County; Washington County,Crawford County; Newton County; Searcy County; Sebastian County,10,111096,194391,9246,314732,36.37,63.63,52.29,-14.57,R+14.6,12.6,-15.92,-17.52,,-8.93,0.5,0.25,0.0,0.25,pres+house+statewide
2020,2010s,Arkansas,AR,AR-04,,False,29,4,Ashley County; Bradley County; Calhoun County; Clark County; Cleveland County; Columbia County; Dallas County; Drew County; Franklin County; Garland County; Grant County; Hempstead County; Hot Spring County; Howard County; Johnson County; Lafayette County; Little River County; Logan County; Madison County; Miller County; Montgomery County; Nevada County; Ouachita County; Pike County; Polk County; Scott County; Sevier County; Union County; Yell County,Crawford County; Jefferson County; Newton County; Sebastian County,33,85905,199348,8180,293433,30.12,69.88,52.29,-18.89,R+18.9,18.6,-22.17,-22.28,,-8.93,0.5,0.25,0.0,0.25,pres+house+statewide
2020,2010s,Arizona,AZ,AZ-01,,False,5,5,Apache County; Coconino County; Graham County; Greenlee County; Navajo County,Gila County; Mohave County; Pima County; Pinal County; Yavapai County,10,172507,189864,5928,368300,47.61,52.39,52.29,-1.53,R+1.5,51.4,-4.68,0.99,1.46,-0.73,0.4,0.2,0.2,0.2,pres+house+senate+statewide
2020,2010s,Arizona,AZ,AZ-02,,False,1,1,Cochise County,Pima County,2,79239,73369,2639,155247,51.92,48.08,52.29,0.9,D+0.9,61.0,-0.36,4.5,1.46,-0.73,0.4,0.2,0.2,0.2,pres+house+senate+statewide
2020,2010s,Arizona,AZ,AZ-03,,False,1,4,Santa Cruz County,Maricopa County; Pima County; Pinal County; Yuma County,5,775561,674175,23199,1472935,53.5,46.5,52.29,3.42,D+3.4,98.7,1.21,13.96,1.46,-0.73,0.4,0.2,0.2,0.2,pres+house+senate+statewide
2020,2010s,Arizona,AZ,AZ-04,,False,1,6,La Paz County,Gila County; Maricopa County; Mohave County; Pinal County; Yavapai County; Yuma County,7,434141,522714,15042,971897,45.37,54.63,52.29,-6.69,R+6.7,99.2,-6.91,-20.38,1.46,-0.73,0.4,0.2,0.2,0.2,pres+house+senate+statewide
2020,2010s,Arizona,AZ,AZ-05,,False,0,1,,Maricopa County,1,33881,32412,1075,67368,51.11,48.89,52.29,-2.23,R+2.2,100.0,-1.18,-9.51,1.46,-0.73,0.4,0.2,0.2,0.2,pres+house+senate+statewide
2020,2010s,Arizona,AZ,AZ-06,,False,0,1,,Maricopa County,1,71997,68876,2285,143158,51.11,48.89,52.29,-0.88,R+0.9,100.0,-1.18,-2.79,1.46,-0.73,0.4,0.2,0.2,0.2,pres+house+senate+statewide
2020,2010s,Arizona,AZ,AZ-07,,False,0,1,,Maricopa County,1,23293,22283,739,46316,51.11,48.89,52.29,4.89,D+4.9,100.0,-1.18,26.08,1.46,-0.73,0.4,0.2,0.2,0.2,pres+house+senate+statewide
2020,2010s,Arizona,AZ,AZ-08,,False,0,1,,Maricopa County,1,62468,59760,1983,124211,51.11,48.89,52.29,-2.36,R+2.4,100.0,-1.18,-10.18,1.46,-0.73,0.4,0.2,0.2,0.2,pres+house+senate+statewide
2020,2010s,Arizona,AZ,AZ-09,,False,0,1,,Maricopa County,1,19058,18232,605,37895,51.11,48.89,52.29,1.88,D+1.9,100.0,-1.18,11.01,1.46,-0.73,0.4,0.2,0.2,0.2,pres+house+senate+statewide
2020,2010s,California,CA,CA-01,,False,8,3,Butte County; Lassen County; Modoc County; Plumas County; Shasta County; Sierra County; Siskiyou County; Tehama County,Glenn County; Nevada County; Placer County,11,164107,212151,9618,385876,43.62,56.38,52.29,-8.32,R+8.3,28.3,-8.67,-7.61,,,0.667,0.333,0.0,0.0,pres+house
2020,2010s,California,CA,CA-02,,False,5,2,Del Norte County; Humboldt County; Marin County; Mendocino County; Trinity County,San Francisco County; Sonoma County,7,367574,116706,12162,496442,75.9,24.1,52.29,24.11,D+24.1,42.4,23.62,25.09,,,0.667,0.333,0.0,0.0,pres+house
