state,state_code,district,district_note,at_large,map_vintage,is_current_map,years_used,n_years,d_share_mean,national_d_share_mean,midterm_lean_pct,midterm_lean_label,total_votes_mean,races_used_mean,statewide_baseline
Arizona,AZ,AZ-04,,False,2010s,False,2014+2018,2,45.6,50.42,-4.82,R+4.8,4294818,2.0,True
Arizona,AZ,AZ-04,,False,2020s,True,2022,1,54.46,50.42,4.04,D+4.0,13916975,5.0,True
Arizona,AZ,AZ-05,,False,2000s,False,2006+2010,2,47.5,51.39,-3.89,R+3.9,3245411,2.0,True
Arizona,AZ,AZ-05,,False,2010s,False,2014+2018,2,45.6,50.42,-4.82,R+4.8,4294818,2.0,True
Arizona,AZ,AZ-05,,False,2020s,True,2022,1,54.46,50.42,4.04,D+4.0,13916975,5.0,True
Arizona,AZ,AZ-06,,False,2000s,False,2006+2010,2,47.5,51.39,-3.89,R+3.9,3245411,2.0,True
Arizona,AZ,AZ-06,,False,2010s,False,2014+2018,2,45.6,50.42,-4.82,R+4.8,4294818,2.0,True
Arizona,AZ,AZ-06,,False,2020s,True,2022,1,54.46,50.42,4.04,D+4.0,13916975,5.0,True
Arizona,AZ,AZ-07,,False,2000s,False,2006+2010,2,47.5,51.39,-3.89,R+3.9,3245411,2.0,True
Arizona,AZ,AZ-07,,False,2010s,False,2014+2018,2,45.6,50.42,-4.82,R+4.8,4294818,2.0,True
Arizona,AZ,AZ-07,,False,2020s,True,2022,1,54.46,50.42,4.04,D+4.0,13916975,5.0,True
Arizona,AZ,AZ-08,,False,2000s,False,2006+2010,2,47.5,51.39,-3.89,R+3.9,3245411,2.0,True
Arizona,AZ,AZ-08,,False,2010s,False,2014+2018,2,45.6,50.42,-4.82,R+4.8,4294818,2.0,True
Arizona,AZ,AZ-08,,False,2020s,True,2022,1,54.46,50.42,4.04,D+4.0,13916975,5.0,True
Arizona,AZ,AZ-09,,False,2010s,False,2014+2018,2,45.6,50.42,-4.82,R+4.8,4294818,2.0,True
Arizona,AZ,AZ-09,,False,2020s,True,2022,1,54.46,50.42,4.04,D+4.0,13916975,5.0,True
California,CA,CA-01,,False,2000s,False,2006+2010,2,53.97,51.39,2.58,D+2.6,18657968,2.0,True
California,CA,CA-01,,False,2010s,False,2014+2018,2,61.36,50.42,10.94,D+10.9,16019073,1.5,True
California,CA,CA-01,,False,2020s,True,2022,1,59.28,50.42,8.86,D+8.9,43116438,4.0,True
California,CA,CA-02,,False,2000s,False,2006+2010,2,53.97,51.39,2.58,D+2.6,18657968,2.0,True
California,CA,CA-02,,False,2010s,False,2014+2018,2,61.36,50.42,10.94,D+10.9,16019073,1.5,True
California,CA,CA-02,,False,2020s,True,2022,1,59.28,50.42,8.86,D+8.9,43116438,4.0,True
